Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Atlanta Hawks,7,1,0.875,0.0,101.9,96.4,5.5,W4,NBA Standings Pre Season 2007-08,3,1,4,0,5,0,5,0,7,1
Orlando Magic,6,1,0.857,0.5,103.3,87.7,15.6,W6,NBA Standings Pre Season 2007-08,4,1,2,0,2,1,4,1,6,1
olden State Warriors,7,2,0.778,0.5,111.3,106.7,4.6,W2,NBA Standings Pre Season 2007-08,1,1,6,1,5,1,6,2,7,2
Indiana Pacers,6,2,0.75,1.0,110.1,102.9,7.2,W2,NBA Standings Pre Season 2007-08,3,1,3,1,0,1,0,1,6,2
an Antonio Spurs,5,2,0.714,1.5,99.0,92.6,6.4,W1,NBA Standings Pre Season 2007-08,4,0,1,2,1,1,2,1,5,2
Toronto Raptors,5,2,0.714,1.5,98.1,86.1,12.0,W4,NBA Standings Pre Season 2007-08,4,0,1,2,0,1,3,1,5,2
ew Jersey Nets,4,2,0.667,2.0,92.3,88.0,4.3,W1,NBA Standings Pre Season 2007-08,2,1,2,1,4,1,4,2,4,2
Denver Nuggets,5,3,0.625,2.0,114.6,107.3,7.3,W1,NBA Standings Pre Season 2007-08,3,0,2,3,2,0,3,1,5,3
Dallas Mavericks,5,3,0.625,2.0,97.3,92.4,4.9,W3,NBA Standings Pre Season 2007-08,4,0,1,3,2,1,3,1,5,3
Phoenix Suns,5,3,0.625,2.0,110.4,105.0,5.4,L1,NBA Standings Pre Season 2007-08,2,1,3,2,2,1,4,3,5,3
Memphis Grizzlies,5,3,0.625,2.0,104.4,103.1,1.3,L1,NBA Standings Pre Season 2007-08,3,1,2,2,2,0,3,0,5,3
Boston Celtics,4,3,0.571,2.5,90.3,84.0,6.3,W1,NBA Standings Pre Season 2007-08,3,1,1,2,2,3,3,3,4,3
ew York Knicks,4,3,0.571,2.5,93.0,95.3,-2.3,L1,NBA Standings Pre Season 2007-08,3,1,1,2,3,3,3,3,4,3
Portland Trail Blazers,4,3,0.571,2.5,105.3,105.3,0.0,L1,NBA Standings Pre Season 2007-08,3,1,1,2,1,2,3,3,4,3
Chicago Bulls,4,3,0.571,2.5,93.1,88.3,4.8,W1,NBA Standings Pre Season 2007-08,4,0,0,3,2,1,3,2,4,3
HUtah Jazz,4,3,0.571,2.5,95.4,93.7,1.7,W1,NBA Standings Pre Season 2007-08,1,2,3,1,0,0,1,2,4,3
ew Orleans Hornets,4,4,0.5,3.0,100.4,101.4,-1.0,W1,NBA Standings Pre Season 2007-08,2,2,2,2,1,1,2,1,4,4
Detroit Pistons,4,4,0.5,3.0,98.0,101.1,-3.1,W1,NBA Standings Pre Season 2007-08,4,1,0,3,0,1,2,1,4,4
LA Clippers,4,4,0.5,3.0,102.8,104.4,-1.6,L1,NBA Standings Pre Season 2007-08,2,2,2,2,4,2,4,4,4,4
Washington Wizards,4,4,0.5,3.0,87.0,90.8,-3.8,L3,NBA Standings Pre Season 2007-08,2,0,2,4,0,1,2,4,4,4
Houston Rockets,3,4,0.429,3.5,101.3,93.1,8.2,L3,NBA Standings Pre Season 2007-08,2,1,1,3,1,4,2,4,3,4
Milwaukee Bucks,3,5,0.375,4.0,89.1,97.4,-8.3,L3,NBA Standings Pre Season 2007-08,2,2,1,3,1,1,1,1,3,5
Sacramento Kings,3,5,0.375,4.0,97.8,97.6,0.2,L2,NBA Standings Pre Season 2007-08,2,2,1,3,0,3,3,5,3,5
Minnesota Timberwolves,3,5,0.375,4.0,93.3,98.0,-4.7,W1,NBA Standings Pre Season 2007-08,1,2,2,3,0,0,0,1,3,5
Los Angeles Lakers,3,6,0.333,4.5,105.4,107.8,-2.4,W1,NBA Standings Pre Season 2007-08,3,6,0,0,1,5,2,6,3,6
Philadelphia 76ers,2,5,0.286,4.5,90.3,91.9,-1.6,W1,NBA Standings Pre Season 2007-08,0,3,2,2,2,3,2,4,2,5
Charlotte Bobcats,2,6,0.25,5.0,96.3,102.5,-6.2,L4,NBA Standings Pre Season 2007-08,2,2,0,4,1,3,2,3,2,6
Seattle SuperSonics,2,6,0.25,5.0,103.9,109.6,-5.7,W1,NBA Standings Pre Season 2007-08,1,2,1,4,0,1,1,5,2,6
Cleveland Cavaliers,1,6,0.143,5.5,83.6,97.4,-13.8,L5,NBA Standings Pre Season 2007-08,1,3,0,3,1,0,1,5,1,6
Miami Heat,0,7,0.0,6.5,85.9,100.4,-14.5,L7,NBA Standings Pre Season 2007-08,0,3,0,4,0,3,0,4,0,7
