Rank,Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
1,Dallas Mavericks,67,15,0.817,0.0,100.0,92.8,7.2,W1,NBA Standings Regular Season 2006-07,36,5,31,10,14,2,40,12,6,4
2,Phoenix Suns,61,21,0.744,6.0,110.2,102.9,7.3,L2,NBA Standings Regular Season 2006-07,33,8,28,13,11,5,36,16,7,3
3,San Antonio Spurs,58,24,0.707,9.0,98.5,90.1,8.4,L3,NBA Standings Regular Season 2006-07,31,10,27,14,10,6,38,14,6,4
4,Detroit Pistons,53,29,0.646,14.0,96.0,91.8,4.2,W2,NBA Standings Regular Season 2006-07,26,15,27,14,9,7,36,16,7,3
5,Houston Rockets,52,30,0.634,15.0,97.0,92.1,4.9,L1,NBA Standings Regular Season 2006-07,28,13,24,17,8,8,28,24,6,4
6,Utah Jazz,51,31,0.622,16.0,101.5,98.6,2.9,W2,NBA Standings Regular Season 2006-07,31,10,20,21,10,6,32,20,4,6
7,Cleveland Cavaliers,50,32,0.61,17.0,96.8,92.9,3.9,W4,NBA Standings Regular Season 2006-07,30,11,20,21,10,6,31,21,7,3
8,Chicago Bulls,49,33,0.598,18.0,98.8,93.8,5.0,L1,NBA Standings Regular Season 2006-07,31,10,18,23,12,4,36,16,7,3
9,Toronto Raptors,47,35,0.573,20.0,99.5,98.5,1.0,L2,NBA Standings Regular Season 2006-07,30,11,17,24,11,5,33,19,7,3
10,Denver Nuggets,45,37,0.549,22.0,105.4,103.7,1.7,W2,NBA Standings Regular Season 2006-07,23,18,22,19,9,7,27,25,9,1
11,Miami Heat,44,38,0.537,23.0,94.6,95.5,-0.9,L2,NBA Standings Regular Season 2006-07,27,14,17,24,9,7,27,25,5,5
12,Los Angeles Lakers,42,40,0.512,25.0,103.3,103.4,-0.1,W2,NBA Standings Regular Season 2006-07,25,16,17,24,10,6,28,24,4,6
13,Golden State Warriors,42,40,0.512,25.0,106.5,106.9,-0.4,W5,NBA Standings Regular Season 2006-07,30,11,12,29,6,10,28,24,9,1
14,New Jersey Nets,41,41,0.5,26.0,97.6,98.3,-0.7,W4,NBA Standings Regular Season 2006-07,24,17,17,24,10,6,31,21,8,2
15,Washington Wizards,41,41,0.5,26.0,104.3,104.9,-0.6,W1,NBA Standings Regular Season 2006-07,26,15,15,26,8,8,27,25,2,8
16,Orlando Magic,40,42,0.488,27.0,94.8,94.0,0.8,W4,NBA Standings Regular Season 2006-07,25,16,15,26,9,7,26,26,7,3
17,LA Clippers,40,42,0.488,27.0,95.6,96.1,-0.5,L1,NBA Standings Regular Season 2006-07,25,16,15,26,8,8,23,29,5,5
18,Oklahoma City Hornets,39,43,0.476,28.0,95.5,97.1,-1.6,W2,NBA Standings Regular Season 2006-07,24,17,15,26,6,10,23,29,7,3
19,Indiana Pacers,35,47,0.427,32.0,95.6,98.0,-2.4,L4,NBA Standings Regular Season 2006-07,22,19,13,28,8,8,25,27,4,6
20,Philadelphia 76ers,35,47,0.427,32.0,94.9,98.0,-3.1,W1,NBA Standings Regular Season 2006-07,21,20,14,27,9,7,24,28,6,4
21,Sacramento Kings,33,49,0.402,34.0,101.3,103.1,-1.8,L2,NBA Standings Regular Season 2006-07,20,21,13,28,5,11,18,34,3,7
22,Charlotte Bobcats,33,49,0.402,34.0,96.9,100.6,-3.7,L1,NBA Standings Regular Season 2006-07,20,21,13,28,9,7,24,28,6,4
23,New York Knicks,33,49,0.402,34.0,97.5,100.3,-2.8,W1,NBA Standings Regular Season 2006-07,19,22,14,27,3,13,22,30,2,8
24,Portland Trail Blazers,32,50,0.39,35.0,94.1,98.4,-4.3,L2,NBA Standings Regular Season 2006-07,18,23,14,27,7,9,19,33,3,7
25,Minnesota Timberwolves,32,50,0.39,35.0,96.1,99.7,-3.6,L7,NBA Standings Regular Season 2006-07,20,21,12,29,6,10,18,34,2,8
26,Seattle SuperSonics,31,51,0.378,36.0,99.1,102.0,-2.9,L5,NBA Standings Regular Season 2006-07,20,21,11,30,8,8,18,34,1,9
27,Atlanta Hawks,30,52,0.366,37.0,93.7,98.4,-4.7,W1,NBA Standings Regular Season 2006-07,18,23,12,29,5,11,17,35,3,7
28,Milwaukee Bucks,28,54,0.341,39.0,99.7,104.0,-4.3,L1,NBA Standings Regular Season 2006-07,18,23,10,31,1,15,15,37,3,7
29,Boston Celtics,24,58,0.293,43.0,95.8,99.2,-3.4,L1,NBA Standings Regular Season 2006-07,12,29,12,29,7,9,16,36,2,8
30,Memphis Grizzlies,22,60,0.268,45.0,101.6,106.7,-5.1,W3,NBA Standings Regular Season 2006-07,14,27,8,33,2,14,14,38,4,6
