Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
MIAMiami Heat,66,16,0.805,0.0,102.9,95.0,7.9,W8,NBA Standings Regular Season 2012-13,37,4,29,12,15,1,41,11,9,1
OKCOklahoma City Thunder,60,22,0.732,6.0,105.7,96.5,9.2,L1,NBA Standings Regular Season 2012-13,34,7,26,15,10,6,39,13,7,3
SASan Antonio Spurs,58,24,0.707,8.0,103.0,96.6,6.4,L3,NBA Standings Regular Season 2012-13,35,6,23,18,12,4,33,19,3,7
DENDenver Nuggets,57,25,0.695,9.0,106.1,101.1,5.0,W3,NBA Standings Regular Season 2012-13,38,3,19,22,11,5,38,14,8,2
LACLA Clippers,56,26,0.683,10.0,101.1,94.6,6.5,W7,NBA Standings Regular Season 2012-13,32,9,24,17,11,5,35,17,7,3
MEMMemphis Grizzlies,56,26,0.683,10.0,93.4,89.3,4.1,W2,NBA Standings Regular Season 2012-13,32,9,24,17,10,6,34,18,8,2
NYNew York Knicks,54,28,0.659,12.0,100.0,95.7,4.3,W1,NBA Standings Regular Season 2012-13,31,10,23,18,10,6,37,15,8,2
INDIndiana Pacers,49,32,0.605,16.5,94.7,90.7,4.0,L3,NBA Standings Regular Season 2012-13,30,11,19,21,13,3,31,20,5,5
BKNBrooklyn Nets,49,33,0.598,17.0,96.9,95.1,1.8,W2,NBA Standings Regular Season 2012-13,26,15,23,18,11,5,36,16,7,3
GSGolden State Warriors,47,35,0.573,19.0,101.2,100.3,0.9,W2,NBA Standings Regular Season 2012-13,28,13,19,22,9,7,28,24,6,4
CHIChicago Bulls,45,37,0.549,21.0,93.2,92.9,0.3,W2,NBA Standings Regular Season 2012-13,24,17,21,20,9,7,34,18,5,5
LALLos Angeles Lakers,45,37,0.549,21.0,102.2,101.0,1.2,W5,NBA Standings Regular Season 2012-13,29,12,16,25,8,8,28,24,8,2
HOUHouston Rockets,45,37,0.549,21.0,106.0,102.5,3.5,L2,NBA Standings Regular Season 2012-13,29,12,16,25,6,10,24,28,6,4
ATLAtlanta Hawks,44,38,0.537,22.0,98.0,97.5,0.5,L2,NBA Standings Regular Season 2012-13,25,16,19,22,11,5,29,23,4,6
HUtah Jazz,43,39,0.524,23.0,98.0,98.1,-0.1,L1,NBA Standings Regular Season 2012-13,30,11,13,28,9,7,26,26,7,3
BOSBoston Celtics,41,40,0.506,24.5,96.5,96.7,-0.2,L1,NBA Standings Regular Season 2012-13,27,13,14,27,7,9,27,24,4,6
Dallas Mavericks,41,41,0.5,25.0,101.1,101.7,-0.6,W1,NBA Standings Regular Season 2012-13,24,17,17,24,7,9,24,28,6,4
MILMilwaukee Bucks,38,44,0.463,28.0,98.9,100.4,-1.5,W1,NBA Standings Regular Season 2012-13,21,20,17,24,7,9,24,28,3,7
Philadelphia 76ers,34,48,0.415,32.0,93.2,96.5,-3.3,W1,NBA Standings Regular Season 2012-13,23,18,11,30,7,9,22,30,5,5
Toronto Raptors,34,48,0.415,32.0,97.2,98.7,-1.5,W5,NBA Standings Regular Season 2012-13,21,20,13,28,5,11,22,30,7,3
Portland Trail Blazers,33,49,0.402,33.0,97.5,100.7,-3.2,L13,NBA Standings Regular Season 2012-13,22,19,11,30,6,10,18,34,0,10
Minnesota Timberwolves,31,51,0.378,35.0,95.7,98.1,-2.4,W1,NBA Standings Regular Season 2012-13,20,21,11,30,4,12,17,35,5,5
Detroit Pistons,29,53,0.354,37.0,94.9,98.8,-3.9,L1,NBA Standings Regular Season 2012-13,18,23,11,30,8,8,25,27,5,5
Washington Wizards,29,53,0.354,37.0,93.2,95.8,-2.6,L6,NBA Standings Regular Season 2012-13,22,19,7,34,5,11,15,37,3,7
Sacramento Kings,28,54,0.341,38.0,100.2,105.1,-4.9,L4,NBA Standings Regular Season 2012-13,20,21,8,33,7,9,14,38,2,8
ew Orleans Hornets,27,55,0.329,39.0,94.1,97.9,-3.8,L5,NBA Standings Regular Season 2012-13,16,25,11,30,5,11,15,37,2,8
Phoenix Suns,25,57,0.305,41.0,95.2,101.6,-6.4,L1,NBA Standings Regular Season 2012-13,17,24,8,33,5,11,17,35,2,8
Cleveland Cavaliers,24,58,0.293,42.0,96.5,101.2,-4.7,L6,NBA Standings Regular Season 2012-13,14,27,10,31,3,13,18,34,2,8
Charlotte Bobcats,21,61,0.256,45.0,93.4,102.7,-9.3,W3,NBA Standings Regular Season 2012-13,15,26,6,35,6,10,18,34,4,6
Orlando Magic,20,62,0.244,46.0,94.1,101.1,-7.0,L3,NBA Standings Regular Season 2012-13,12,29,8,33,3,13,10,42,2,8
