Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Golden State Warriors,11,106.6,36.5,81.2,45.0,11.1,31.0,35.8,22.5,30.5,73.5,11.5,26.8,38.3,17.2,10.3,5.5,14.9,26.6,NBA Team Postseason Stats 2006-07
2,Phoenix Suns,11,104.1,39.0,81.8,47.7,7.1,18.7,37.9,19.0,24.4,78.0,9.2,31.2,40.4,23.4,6.4,5.2,13.8,19.6,NBA Team Postseason Stats 2006-07
3,Dallas Mavericks,6,98.5,34.2,80.8,42.3,7.0,22.2,31.6,23.2,30.0,77.2,14.0,30.3,44.3,17.8,8.3,5.0,16.3,23.8,NBA Team Postseason Stats 2006-07
4,Los Angeles Lakers,5,98.0,38.0,86.0,44.2,6.4,19.8,32.3,15.6,21.6,72.2,14.2,29.2,43.4,14.4,5.8,4.0,15.2,23.0,NBA Team Postseason Stats 2006-07
5,Utah Jazz,17,97.9,36.4,79.4,45.9,4.3,12.6,34.1,20.8,27.7,74.9,13.0,31.2,44.2,22.2,7.4,4.8,16.0,24.6,NBA Team Postseason Stats 2006-07
6,San Antonio Spurs,20,95.7,35.3,76.8,45.9,7.6,19.7,38.4,17.6,24.3,72.4,10.5,30.1,40.6,19.9,7.1,5.5,13.9,20.5,NBA Team Postseason Stats 2006-07
7,Chicago Bulls,10,92.4,32.5,75.6,43.0,5.9,16.6,35.5,21.5,29.5,72.9,11.6,30.3,41.9,20.6,7.0,4.2,15.3,22.1,NBA Team Postseason Stats 2006-07
8,Washington Wizards,4,91.5,34.3,83.0,41.3,6.3,20.5,30.5,16.8,21.8,77.0,10.3,26.3,36.5,18.8,5.5,3.0,8.8,21.3,NBA Team Postseason Stats 2006-07
9,Detroit Pistons,16,91.4,32.7,76.0,43.0,5.8,16.6,35.0,20.2,26.3,76.7,11.8,28.8,40.6,20.1,7.1,4.7,13.3,23.9,NBA Team Postseason Stats 2006-07
10,Toronto Raptors,6,90.8,32.5,73.5,44.2,5.3,14.5,36.8,20.5,25.5,80.4,7.3,30.5,37.8,16.2,7.7,4.0,14.7,21.3,NBA Team Postseason Stats 2006-07
11,New Jersey Nets,12,90.2,32.6,73.3,44.4,7.7,20.8,36.8,17.3,23.3,74.3,8.6,31.3,39.8,23.0,6.3,2.9,16.1,21.2,NBA Team Postseason Stats 2006-07
12,Cleveland Cavaliers,20,88.8,32.1,76.3,42.1,5.4,16.6,32.6,19.2,26.1,73.7,11.9,31.4,43.3,17.5,7.2,3.5,13.0,20.7,NBA Team Postseason Stats 2006-07
13,Miami Heat,4,88.8,33.3,74.8,44.5,5.5,17.0,32.4,16.8,27.3,61.5,8.0,28.3,36.3,17.8,6.3,5.3,14.8,25.3,NBA Team Postseason Stats 2006-07
14,Denver Nuggets,5,88.2,33.6,79.4,42.3,4.6,14.4,31.9,16.4,21.0,78.1,13.0,30.4,43.4,17.6,5.6,4.2,15.2,18.0,NBA Team Postseason Stats 2006-07
15,Orlando Magic,4,88.0,34.5,72.3,47.8,2.5,7.3,34.5,16.5,28.5,57.9,11.3,29.0,40.3,18.0,4.3,3.5,14.8,24.3,NBA Team Postseason Stats 2006-07
16,Houston Rockets,7,87.3,29.7,72.4,41.0,7.1,22.3,32.1,20.7,26.3,78.8,9.9,31.7,41.6,18.1,7.0,4.1,14.9,19.3,NBA Team Postseason Stats 2006-07
