Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Dallas Mavericks,82,103.0,38.5,85.1,45.3,7.8,20.3,38.1,18.1,21.9,82.9,11.1,31.0,42.1,22.4,8.1,5.5,11.6,21.1,NBA Team Regular Season Stats 2002-03
2,Golden State Warriors,82,102.4,37.3,84.6,44.1,5.2,15.1,34.4,22.6,29.0,77.8,15.7,31.0,46.7,20.9,7.2,6.2,15.8,21.8,NBA Team Regular Season Stats 2002-03
3,Sacramento Kings,82,101.7,39.5,85.2,46.4,6.0,15.7,38.1,16.7,22.3,74.6,11.0,33.5,44.5,24.8,9.0,5.6,14.5,20.3,NBA Team Regular Season Stats 2002-03
4,Los Angeles Lakers,82,100.4,37.7,83.6,45.1,5.9,16.7,35.6,19.0,26.0,73.4,13.1,31.1,44.3,23.3,7.8,5.7,14.5,22.9,NBA Team Regular Season Stats 2002-03
5,Milwaukee Bucks,82,99.5,37.1,81.3,45.7,7.1,18.6,38.3,18.1,23.3,77.6,10.7,28.9,39.5,22.2,7.6,4.2,12.7,22.2,NBA Team Regular Season Stats 2002-03
6,Orlando Magic,82,98.5,35.9,82.5,43.6,6.9,19.4,35.7,19.7,25.4,77.7,11.7,29.2,40.9,20.4,8.5,3.7,14.4,23.0,NBA Team Regular Season Stats 2002-03
7,Minnesota Timberwolves,82,98.1,38.7,83.0,46.6,3.6,9.8,36.8,17.1,22.3,77.0,11.7,31.9,43.6,25.2,6.7,5.3,13.7,20.8,NBA Team Regular Season Stats 2002-03
8,Memphis Grizzlies,82,97.5,37.2,82.2,45.2,5.7,15.6,36.5,17.4,23.6,73.9,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,NBA Team Regular Season Stats 2002-03
9,Philadelphia 76ers,82,96.8,36.3,81.0,44.8,3.0,9.6,31.1,21.3,27.5,77.5,12.7,29.5,42.2,21.6,10.3,3.5,14.8,22.0,NBA Team Regular Season Stats 2002-03
10,Indiana Pacers,82,96.8,35.5,80.6,44.1,4.6,13.6,33.9,21.2,27.7,76.6,12.2,32.0,44.2,23.3,8.5,5.4,14.8,22.1,NBA Team Regular Season Stats 2002-03
11,New York Knicks,82,95.9,36.2,82.0,44.1,7.4,19.3,38.3,16.1,19.8,81.5,10.3,29.0,39.2,22.0,7.1,3.1,14.0,23.0,NBA Team Regular Season Stats 2002-03
12,San Antonio Spurs,82,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20.0,7.7,6.5,15.8,20.4,NBA Team Regular Season Stats 2002-03
13,Phoenix Suns,82,95.5,36.6,82.6,44.3,4.8,14.0,34.3,17.4,23.5,74.2,12.8,29.8,42.5,21.0,8.1,4.9,14.7,22.0,NBA Team Regular Season Stats 2002-03
14,New Jersey Nets,82,95.4,35.4,80.3,44.1,4.2,12.7,33.2,20.3,26.8,75.7,12.1,30.8,42.9,23.0,8.7,4.6,14.8,21.6,NBA Team Regular Season Stats 2002-03
15,Portland Trail Blazers,82,95.2,36.4,79.2,46.0,4.6,14.0,33.0,17.7,23.7,74.5,12.1,29.0,41.1,22.7,8.8,3.9,15.2,19.9,NBA Team Regular Season Stats 2002-03
16,Chicago Bulls,82,95.0,36.5,81.9,44.5,4.3,12.2,35.0,17.7,24.6,72.2,12.0,31.0,43.0,21.7,7.4,5.6,16.9,24.7,NBA Team Regular Season Stats 2002-03
17,Utah Jazz,82,94.7,35.3,75.5,46.8,2.7,7.8,34.9,21.3,28.6,74.5,12.5,29.0,41.5,25.6,8.6,5.7,16.8,22.4,NBA Team Regular Season Stats 2002-03
18,Atlanta Hawks,82,94.1,34.9,78.5,44.4,4.9,13.9,35.2,19.4,24.5,79.3,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,NBA Team Regular Season Stats 2002-03
19,New Orleans Hornets,82,93.9,35.5,81.6,43.5,4.9,13.1,37.6,17.9,23.3,76.8,13.4,30.2,43.6,22.0,8.0,4.8,14.8,21.6,NBA Team Regular Season Stats 2002-03
20,LA Clippers,82,93.8,34.6,79.1,43.7,4.8,14.4,33.1,19.9,26.5,75.0,12.3,30.0,42.3,19.6,7.0,5.6,15.7,21.8,NBA Team Regular Season Stats 2002-03
21,Houston Rockets,82,93.8,34.6,78.8,44.0,5.4,15.5,34.6,19.1,24.9,76.8,12.5,31.3,43.8,18.4,7.2,6.0,15.6,19.5,NBA Team Regular Season Stats 2002-03
22,Boston Celtics,82,92.7,32.9,79.4,41.5,8.8,26.3,33.4,18.0,24.3,74.2,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,NBA Team Regular Season Stats 2002-03
23,Seattle SuperSonics,82,92.1,35.2,80.5,43.7,5.6,15.7,35.3,16.2,21.7,74.4,11.7,29.1,40.8,21.6,8.3,3.6,13.2,20.9,NBA Team Regular Season Stats 2002-03
24,Washington Wizards,82,91.5,34.3,78.0,44.0,3.1,9.9,31.2,19.7,25.3,77.9,11.2,29.2,40.4,19.7,7.6,4.8,13.4,20.0,NBA Team Regular Season Stats 2002-03
25,Cleveland Cavaliers,82,91.4,34.8,82.3,42.2,3.6,10.9,32.7,18.3,24.5,74.7,13.6,31.0,44.6,20.9,7.8,6.4,18.3,22.7,NBA Team Regular Season Stats 2002-03
26,Detroit Pistons,82,91.4,32.9,76.5,43.0,6.5,18.1,35.8,19.0,24.6,77.1,10.8,29.8,40.6,19.8,6.8,5.7,13.5,21.3,NBA Team Regular Season Stats 2002-03
27,Toronto Raptors,82,90.9,34.7,81.3,42.7,5.0,14.5,34.3,16.5,22.9,71.8,12.5,28.7,41.2,19.3,7.4,4.8,14.4,21.5,NBA Team Regular Season Stats 2002-03
