Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
Dallas Mavericks,82,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18.0,22.6,79.6,14.3,31.0,45.3,23.9,8.0,5.3,12.2,19.6,NBA Team Regular Season Stats 2003-04
Sacramento Kings,82,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.6,10.8,30.4,41.2,26.2,8.7,4.0,13.9,19.3,NBA Team Regular Season Stats 2003-04
Los Angeles Lakers,82,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,NBA Team Regular Season Stats 2003-04
Milwaukee Bucks,82,98.0,36.2,81.1,44.7,4.9,14.0,35.0,20.7,26.7,77.5,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,NBA Team Regular Season Stats 2003-04
Denver Nuggets,82,97.2,36.5,82.5,44.3,4.0,12.0,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22.0,NBA Team Regular Season Stats 2003-04
Seattle SuperSonics,82,97.1,35.8,80.4,44.6,8.8,23.6,37.3,16.6,21.7,76.5,11.1,28.3,39.3,21.7,8.1,4.7,14.5,21.8,NBA Team Regular Season Stats 2003-04
Memphis Grizzlies,82,96.7,36.1,81.2,44.5,5.5,16.0,34.0,19.0,26.1,72.7,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,NBA Team Regular Season Stats 2003-04
Boston Celtics,82,95.3,34.7,78.2,44.3,6.7,19.5,34.6,19.2,25.5,75.0,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,NBA Team Regular Season Stats 2003-04
LA Clippers,82,94.8,34.4,80.2,42.8,4.0,12.5,32.1,22.0,28.1,78.5,14.0,29.5,43.5,20.2,7.2,4.6,16.4,22.1,NBA Team Regular Season Stats 2003-04
Minnesota Timberwolves,82,94.5,37.0,80.1,46.2,4.0,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,NBA Team Regular Season Stats 2003-04
Phoenix Suns,82,94.2,36.1,81.4,44.3,5.1,14.7,34.5,17.0,22.7,74.6,11.3,29.3,40.6,19.3,9.0,4.7,15.2,22.7,NBA Team Regular Season Stats 2003-04
Orlando Magic,82,94.0,35.4,82.5,42.9,5.2,15.2,34.4,18.0,24.4,73.7,12.2,28.7,40.9,19.3,6.7,3.8,13.7,21.3,NBA Team Regular Season Stats 2003-04
Golden State Warriors,82,93.3,35.1,79.4,44.2,5.2,15.6,33.4,17.9,24.7,72.5,12.2,30.9,43.1,20.5,7.0,4.7,14.8,20.6,NBA Team Regular Season Stats 2003-04
Cleveland Cavaliers,82,92.9,35.6,82.4,43.3,3.0,9.6,31.4,18.6,24.8,75.3,13.6,31.9,45.6,22.0,7.1,6.5,14.8,21.3,NBA Team Regular Season Stats 2003-04
Atlanta Hawks,82,92.8,34.5,79.6,43.3,5.1,15.2,33.5,18.7,24.1,77.6,12.1,30.6,42.7,20.1,7.6,5.0,16.5,22.3,NBA Team Regular Season Stats 2003-04
New York Knicks,82,92.0,35.1,79.4,44.2,5.0,13.6,36.4,16.8,21.1,79.3,11.6,31.0,42.6,20.7,7.4,4.8,15.7,23.1,NBA Team Regular Season Stats 2003-04
New Orleans Hornets,82,91.8,33.8,80.5,42.0,6.5,20.3,31.9,17.7,23.6,75.1,13.3,29.5,42.8,20.9,8.6,4.2,15.0,20.9,NBA Team Regular Season Stats 2003-04
Washington Wizards,82,91.8,33.6,80.0,42.1,5.3,15.5,34.1,19.3,27.0,71.4,13.6,29.2,42.8,18.7,8.9,5.0,17.5,20.9,NBA Team Regular Season Stats 2003-04
San Antonio Spurs,82,91.5,34.7,78.5,44.2,5.0,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,8.1,6.5,14.7,20.3,NBA Team Regular Season Stats 2003-04
Indiana Pacers,82,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,8.9,5.0,14.4,20.8,NBA Team Regular Season Stats 2003-04
Portland Trail Blazers,82,90.7,35.3,78.9,44.8,4.6,13.4,34.6,15.4,21.1,73.1,12.7,29.0,41.7,21.6,7.5,5.4,14.8,19.0,NBA Team Regular Season Stats 2003-04
Miami Heat,82,90.3,33.3,78.3,42.5,5.9,16.5,35.7,17.8,23.4,76.2,11.5,30.0,41.5,19.1,7.2,3.8,13.9,22.1,NBA Team Regular Season Stats 2003-04
New Jersey Nets,82,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17.0,22.6,75.3,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21.0,NBA Team Regular Season Stats 2003-04
Detroit Pistons,82,90.1,33.5,77.0,43.5,4.1,11.8,34.4,19.0,25.3,75.3,12.4,30.4,42.8,20.8,8.0,7.0,15.1,20.3,NBA Team Regular Season Stats 2003-04
