Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Detroit Pistons,25,4.7,2.4,5.0,0.3,-0.8,-2.6,0.1,0.6,-0.2,3.4,2.2,0.7,3.0,3.2,1.3,0.6,-2.0,-0.6,NBA Team Postseason Stats 2004-05
2,San Antonio Spurs,23,4.3,-1.1,-3.3,0.5,3.6,6.6,8.8,3.0,5.1,-3.3,0.4,2.3,2.8,1.9,-1.7,0.0,2.1,-2.0,NBA Team Postseason Stats 2004-05
3,Miami Heat,15,4.2,2.0,-9.1,7.8,0.1,-2.1,5.4,0.1,2.0,-4.4,-4.0,4.9,0.9,-0.3,-1.8,2.3,3.4,-0.8,NBA Team Postseason Stats 2004-05
4,Phoenix Suns,15,4.2,0.0,-4.6,2.5,1.3,0.3,6.4,2.8,2.6,3.4,-2.2,1.8,-0.4,1.0,-1.2,1.4,0.5,-1.6,NBA Team Postseason Stats 2004-05
5,Boston Celtics,7,-0.5,4.8,3.4,4.7,-2.0,-3.0,-5.7,-8.2,-9.2,-3.9,-0.1,0.1,0.0,-2.2,-0.5,-0.1,-0.4,3.7,NBA Team Postseason Stats 2004-05
6,Dallas Mavericks,13,-1.6,-0.9,2.0,-2.2,-1.5,-2.0,-4.0,1.7,1.8,1.1,2.0,-0.7,1.2,-1.7,0.1,-0.8,-0.8,-1.0,NBA Team Postseason Stats 2004-05
7,Seattle SuperSonics,11,-1.7,-0.5,-1.3,0.1,-0.9,-2.3,-1.0,0.2,-1.0,3.6,0.3,2.3,2.7,-2.8,1.0,-0.5,0.6,1.1,NBA Team Postseason Stats 2004-05
8,Chicago Bulls,6,-1.8,-0.8,2.1,-2.1,3.8,5.5,9.6,-4.0,-4.8,-1.4,1.3,-2.6,-1.3,2.5,-1.6,-1.5,1.0,2.8,NBA Team Postseason Stats 2004-05
9,Washington Wizards,10,-2.5,-1.5,1.5,-2.6,-3.0,-3.3,-9.1,3.5,3.7,2.4,0.4,-1.8,-1.4,-4.1,1.8,0.3,-2.4,-2.6,NBA Team Postseason Stats 2004-05
10,Houston Rockets,7,-2.7,0.7,-1.2,1.7,-0.4,0.2,-3.1,-3.7,-4.2,-1.0,-2.7,-0.8,-3.5,0.8,0.2,1.0,1.0,1.8,NBA Team Postseason Stats 2004-05
11,Indiana Pacers,13,-2.9,-3.5,-1.9,-3.7,1.0,3.1,0.5,3.0,3.0,3.0,-0.6,-1.2,-1.8,-0.3,0.3,-0.6,0.6,-0.6,NBA Team Postseason Stats 2004-05
12,Sacramento Kings,5,-4.3,1.6,7.4,-2.1,-0.6,1.8,-5.7,-7.0,-7.3,-3.4,0.0,-6.8,-6.7,0.1,0.4,-0.7,-2.6,2.8,NBA Team Postseason Stats 2004-05
13,Philadelphia 76ers,5,-8.0,-1.4,2.5,-3.2,0.1,1.3,-1.5,-5.4,-4.2,-9.7,-1.4,-6.8,-8.2,-2.8,2.0,-2.4,-3.5,2.1,NBA Team Postseason Stats 2004-05
14,Denver Nuggets,5,-10.2,-1.6,0.7,-2.4,-4.8,-9.9,-11.8,-2.2,-2.2,-1.7,-0.4,-4.8,-5.2,-3.4,1.4,-1.2,-1.1,2.1,NBA Team Postseason Stats 2004-05
15,Memphis Grizzlies,4,-11.0,1.7,8.7,-3.0,-2.7,-3.2,-6.4,-11.7,-15.0,-3.6,1.2,-4.7,-3.5,-2.7,1.0,-3.2,-0.2,7.0,NBA Team Postseason Stats 2004-05
16,New Jersey Nets,4,-12.7,-5.2,9.5,-11.9,-2.0,4.5,-19.4,-0.2,-5.0,9.6,4.2,-6.2,-2.0,-0.2,1.5,-2.2,-2.7,4.5,NBA Team Postseason Stats 2004-05
