Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Golden State Warriors,82,10.7,3.6,-2.0,5.2,5.3,8.0,8.3,-1.9,-2.7,0.6,-1.4,3.7,2.3,6.7,-0.2,1.9,1.0,0.9,NBA Team Regular Season Stats 2015-16
2,San Antonio Spurs,82,10.6,4.4,1.0,4.7,0.3,-1.4,4.4,1.4,0.7,4.4,0.2,3.1,3.3,3.6,1.0,2.0,-1.7,-2.0,NBA Team Regular Season Stats 2015-16
3,Oklahoma City Thunder,82,7.2,2.7,-1.3,3.8,0.1,0.0,0.6,1.7,1.4,2.5,1.8,6.6,8.4,1.4,-1.4,1.3,2.9,0.4,NBA Team Regular Season Stats 2015-16
4,Cleveland Cavaliers,82,6.0,1.8,1.8,1.2,2.8,6.9,1.4,-0.5,-0.8,0.4,1.3,2.1,3.4,1.2,-0.4,-0.5,0.0,-0.2,NBA Team Regular Season Stats 2015-16
5,Toronto Raptors,82,4.5,0.1,-0.7,0.6,-0.1,0.0,-0.3,4.2,4.6,2.8,0.6,1.9,2.6,-2.9,1.2,0.0,-0.7,-2.3,NBA Team Regular Season Stats 2015-16
6,LA Clippers,82,4.2,1.5,-2.2,3.0,1.8,3.4,2.6,-0.6,1.1,-5.8,-3.0,-1.6,-4.6,1.6,1.5,2.4,-2.2,-1.1,NBA Team Regular Season Stats 2015-16
7,Atlanta Hawks,82,3.6,1.4,-1.6,2.6,1.6,3.8,1.2,-1.0,-2.0,2.7,-3.2,-1.1,-4.4,3.5,0.5,0.9,-0.9,0.8,NBA Team Regular Season Stats 2015-16
8,Boston Celtics,82,3.2,1.7,4.2,-0.1,0.9,2.8,-0.1,-1.1,-2.5,3.2,0.2,-1.2,-1.0,3.2,1.5,-1.2,-2.3,0.9,NBA Team Regular Season Stats 2015-16
9,Charlotte Hornets,82,2.7,-0.7,-0.5,-0.5,1.7,4.0,1.3,2.4,2.5,2.1,0.0,-0.8,-0.7,-1.5,0.5,-0.1,-1.1,-2.2,NBA Team Regular Season Stats 2015-16
10,Utah Jazz,82,1.7,0.4,0.5,0.2,0.5,1.6,-0.1,0.3,0.5,-0.2,1.4,1.7,3.1,-0.1,-0.2,0.4,0.8,0.3,NBA Team Regular Season Stats 2015-16
11,Indiana Pacers,82,1.7,0.9,0.2,0.9,-0.1,-1.7,1.7,0.0,-0.3,1.2,-0.3,0.0,-0.3,0.4,1.3,0.3,-0.8,-0.4,NBA Team Regular Season Stats 2015-16
12,Miami Heat,82,1.6,1.1,-2.6,2.8,-1.3,-3.1,-1.0,0.6,1.5,-2.5,0.0,2.8,2.8,0.6,-0.7,2.3,0.9,-1.2,NBA Team Regular Season Stats 2015-16
13,Portland Trail Blazers,82,0.8,0.2,1.1,-0.3,2.0,5.4,0.0,-1.6,-2.9,2.0,0.9,0.8,1.7,-0.2,-0.8,-0.5,1.2,2.2,NBA Team Regular Season Stats 2015-16
14,Detroit Pistons,82,0.6,-0.8,2.2,-2.1,1.7,5.7,-1.0,0.5,4.5,-11.4,3.6,0.1,3.7,-2.0,-0.1,-0.7,0.0,-2.6,NBA Team Regular Season Stats 2015-16
15,Houston Rockets,82,0.1,-1.2,-1.5,-0.6,1.0,3.9,-1.4,1.7,4.7,-6.1,-0.4,-1.0,-1.5,-2.3,1.0,0.3,-0.5,-0.6,NBA Team Regular Season Stats 2015-16
16,Dallas Mavericks,82,-0.3,-0.9,-0.8,-0.6,0.7,2.0,0.1,0.8,-0.5,5.6,-1.4,-1.2,-2.7,0.1,-0.6,-0.6,-1.0,-1.9,NBA Team Regular Season Stats 2015-16
17,Washington Wizards,82,-0.5,0.8,2.0,-0.1,-0.3,0.0,-1.3,-1.8,-1.1,-3.9,-0.3,-2.0,-2.4,1.9,0.5,-0.4,-1.6,0.6,NBA Team Regular Season Stats 2015-16
18,Chicago Bulls,82,-1.4,-0.8,-1.9,0.0,0.0,-1.6,2.6,0.2,-1.1,4.9,-0.7,1.1,0.3,0.2,-1.9,0.0,2.0,0.1,NBA Team Regular Season Stats 2015-16
19,Orlando Magic,82,-1.6,1.1,3.2,-0.4,-1.1,-2.7,-0.8,-2.6,-3.9,1.1,0.1,-1.1,-0.9,0.4,0.6,-0.3,-0.9,2.4,NBA Team Regular Season Stats 2015-16
20,Memphis Grizzlies,82,-2.2,0.8,4.8,-1.6,-3.5,-8.0,-3.3,-0.4,-1.0,1.4,1.0,-2.6,-1.5,-1.1,1.8,-1.4,-2.7,0.6,NBA Team Regular Season Stats 2015-16
21,Sacramento Kings,82,-2.4,-0.5,-1.3,0.1,-2.1,-5.5,-0.7,0.7,2.2,-3.7,-0.7,0.0,-0.7,0.2,0.1,-0.8,0.0,-1.5,NBA Team Regular Season Stats 2015-16
22,New York Knicks,82,-2.7,-1.1,-1.8,-0.3,-0.1,-0.9,0.5,-0.2,-1.8,5.1,-0.4,0.6,0.1,-0.2,-1.4,1.5,1.8,1.1,NBA Team Regular Season Stats 2015-16
23,Denver Nuggets,82,-3.0,-1.0,1.2,-1.9,-1.1,-1.1,-3.3,0.2,0.1,0.4,1.7,0.2,1.9,-0.8,-0.6,-1.4,1.0,0.1,NBA Team Regular Season Stats 2015-16
24,Minnesota Timberwolves,82,-3.5,-2.2,-3.5,-0.6,-3.4,-9.0,-1.7,4.3,4.5,3.5,-0.6,0.3,-0.3,0.7,0.2,-0.6,0.1,-0.8,NBA Team Regular Season Stats 2015-16
25,New Orleans Pelicans,82,-3.7,-0.7,1.9,-2.0,-0.6,-1.1,-0.9,-1.5,-1.8,-0.6,0.6,-2.4,-1.8,-0.9,0.3,-0.9,-0.1,1.0,NBA Team Regular Season Stats 2015-16
