Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Boston Celtics,17,104.4,36.4,86.0,42.3,11.4,36.6,31.1,20.1,25.1,80.3,8.8,32.9,41.8,22.2,6.5,4.8,12.6,22.0,NBA Team Postseason Stats 2019-20
2,Toronto Raptors,11,105.3,36.8,85.9,42.9,13.5,40.3,33.6,18.1,23.6,76.5,7.9,38.2,46.1,23.5,6.2,5.0,15.3,20.3,NBA Team Postseason Stats 2019-20
3,Los Angeles Lakers,21,106.0,36.9,81.4,45.3,11.8,32.5,36.3,20.4,25.3,80.6,7.4,29.9,37.3,21.8,7.0,3.1,14.5,22.4,NBA Team Postseason Stats 2019-20
4,Houston Rockets,12,106.9,38.7,83.7,46.2,12.1,34.8,34.7,17.5,22.8,76.9,9.1,38.9,48.0,21.1,6.3,4.9,17.1,18.6,NBA Team Postseason Stats 2019-20
5,Miami Heat,21,108.0,38.7,84.8,45.6,12.4,35.8,34.7,18.2,23.1,78.8,9.9,32.9,42.7,23.8,7.3,4.5,14.1,22.6,NBA Team Postseason Stats 2019-20
6,Denver Nuggets,19,109.7,39.2,82.2,47.7,12.2,32.7,37.3,19.2,24.6,77.9,9.5,31.0,40.5,22.5,7.5,4.0,13.6,22.1,NBA Team Postseason Stats 2019-20
7,LA Clippers,13,109.8,39.8,84.8,46.9,12.5,34.7,35.9,17.8,23.6,75.2,8.3,34.5,42.8,22.0,6.9,4.1,13.7,22.3,NBA Team Postseason Stats 2019-20
8,Milwaukee Bucks,10,109.9,37.2,84.9,43.8,15.0,40.0,37.5,20.5,24.2,84.7,7.2,36.5,43.7,24.3,7.1,3.6,14.9,21.2,NBA Team Postseason Stats 2019-20
9,Utah Jazz,7,110.0,40.1,86.1,46.6,15.1,36.0,42.1,14.6,17.1,85.0,10.6,31.4,42.0,22.1,4.9,4.6,12.0,21.3,NBA Team Postseason Stats 2019-20
10,Oklahoma City Thunder,7,110.4,39.4,90.7,43.5,18.3,51.0,35.9,13.3,16.4,80.9,7.4,35.9,43.3,21.4,9.3,3.9,12.7,23.0,NBA Team Postseason Stats 2019-20
11,Indiana Pacers,4,111.3,37.5,80.8,46.4,13.0,33.3,39.1,23.3,29.8,78.2,9.3,36.3,45.5,24.0,8.8,4.3,14.3,15.8,NBA Team Postseason Stats 2019-20
12,Philadelphia 76ers,4,112.3,39.0,86.3,45.2,12.3,35.0,35.0,22.0,27.0,81.5,9.8,33.5,43.3,19.0,6.8,5.5,10.5,24.3,NBA Team Postseason Stats 2019-20
13,Orlando Magic,5,116.2,42.4,88.0,48.2,15.8,41.2,38.3,15.6,21.8,71.6,8.0,42.4,50.4,27.4,7.0,3.8,16.6,20.6,NBA Team Postseason Stats 2019-20
14,Portland Trail Blazers,5,117.2,42.8,88.4,48.4,12.0,35.0,34.3,19.6,28.0,70.0,12.4,36.0,48.4,26.0,8.8,5.8,15.0,22.8,NBA Team Postseason Stats 2019-20
15,Brooklyn Nets,4,126.3,45.0,91.0,49.5,17.8,41.0,43.3,18.5,23.5,78.7,9.3,41.8,51.0,30.5,7.0,5.5,12.0,22.5,NBA Team Postseason Stats 2019-20
16,Dallas Mavericks,6,126.7,45.2,90.2,50.1,14.0,34.7,40.4,22.3,27.5,81.2,8.7,37.7,46.3,21.2,7.2,3.3,12.0,24.5,NBA Team Postseason Stats 2019-20
