Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,San Antonio Spurs,82,90.1,34.9,78.8,44.3,4.5,13.4,33.4,15.9,21.4,74.0,10.1,29.0,39.1,17.3,7.1,4.1,14.3,21.2,NBA Team Regular Season Stats 2006-07
2,Detroit Pistons,82,91.8,34.4,77.3,44.5,5.0,14.7,33.9,18.1,24.5,74.0,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,NBA Team Regular Season Stats 2006-07
3,Houston Rockets,82,92.1,34.1,79.3,42.9,5.8,16.4,35.1,18.3,24.4,74.8,9.8,31.1,40.8,19.4,7.0,4.3,14.2,19.9,NBA Team Regular Season Stats 2006-07
4,Dallas Mavericks,82,92.8,34.0,76.1,44.7,4.6,13.1,34.9,20.2,27.0,74.6,10.2,27.9,38.1,17.9,6.9,3.8,14.5,22.1,NBA Team Regular Season Stats 2006-07
5,Cleveland Cavaliers,82,92.9,34.6,77.3,44.8,4.9,15.0,32.9,18.8,25.6,73.4,9.8,30.0,39.9,20.1,6.6,4.3,15.3,22.0,NBA Team Regular Season Stats 2006-07
6,Chicago Bulls,82,93.8,34.1,78.2,43.5,5.9,16.9,34.9,19.7,27.1,73.0,10.9,30.0,40.9,20.4,7.5,5.3,17.4,23.2,NBA Team Regular Season Stats 2006-07
7,Orlando Magic,82,94.0,33.4,75.5,44.2,5.6,15.9,35.3,21.6,28.4,76.0,10.5,27.0,37.6,19.6,8.3,4.6,15.0,23.4,NBA Team Regular Season Stats 2006-07
8,Miami Heat,82,95.5,35.3,79.5,44.4,6.5,18.2,35.5,18.5,24.9,74.2,11.2,30.1,41.3,20.2,6.9,3.8,14.5,21.8,NBA Team Regular Season Stats 2006-07
9,LA Clippers,82,96.1,35.5,78.5,45.2,5.5,16.4,33.9,19.5,26.1,74.8,10.3,29.0,39.3,21.0,7.1,3.9,13.8,22.3,NBA Team Regular Season Stats 2006-07
10,NO/Oklahoma City Hornets,82,97.1,36.6,80.2,45.7,6.8,19.2,35.5,17.0,22.4,75.9,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,NBA Team Regular Season Stats 2006-07
11,Philadelphia 76ers,82,98.0,37.1,80.1,46.3,6.1,17.4,35.3,17.7,23.5,75.4,11.8,29.3,41.1,22.3,7.4,3.9,15.6,22.0,NBA Team Regular Season Stats 2006-07
12,Indiana Pacers,82,98.0,35.7,78.2,45.7,5.3,14.3,37.2,21.2,28.2,75.3,11.2,30.5,41.6,20.0,7.9,5.0,15.7,23.7,NBA Team Regular Season Stats 2006-07
13,New Jersey Nets,82,98.3,35.5,79.0,45.0,6.3,17.7,35.7,21.0,27.6,76.2,10.6,30.8,41.4,22.0,7.1,4.5,14.5,23.0,NBA Team Regular Season Stats 2006-07
14,Portland Trail Blazers,82,98.4,36.1,76.7,47.1,5.7,15.8,36.1,20.5,26.3,77.8,10.4,28.6,39.0,20.8,6.6,4.6,13.7,21.3,NBA Team Regular Season Stats 2006-07
15,Atlanta Hawks,82,98.4,36.0,77.3,46.6,5.7,15.1,37.6,20.7,28.2,73.4,11.6,28.9,40.5,21.1,7.3,5.1,15.2,22.6,NBA Team Regular Season Stats 2006-07
16,Toronto Raptors,82,98.5,37.2,80.4,46.3,6.5,18.2,35.7,17.6,23.3,75.4,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,NBA Team Regular Season Stats 2006-07
17,Utah Jazz,82,98.6,34.4,75.5,45.5,6.2,17.4,35.5,23.7,30.9,76.7,9.9,27.1,37.0,18.9,7.6,5.3,15.0,24.5,NBA Team Regular Season Stats 2006-07
18,Boston Celtics,82,99.2,36.2,77.3,46.8,5.2,14.8,35.4,21.7,29.0,74.7,10.3,30.2,40.5,22.1,7.4,5.5,15.2,21.4,NBA Team Regular Season Stats 2006-07
19,Minnesota Timberwolves,82,99.7,37.5,81.6,46.0,6.3,18.1,34.8,18.4,24.2,76.0,11.7,29.7,41.4,21.7,7.1,4.4,14.2,20.5,NBA Team Regular Season Stats 2006-07
20,New York Knicks,82,100.3,36.8,80.1,46.0,7.0,18.6,37.6,19.7,26.0,75.6,10.8,28.0,38.8,21.3,7.5,5.0,13.7,22.9,NBA Team Regular Season Stats 2006-07
21,Charlotte Bobcats,82,100.6,36.6,78.7,46.5,5.5,15.2,36.3,22.0,29.3,75.0,11.3,31.2,42.6,20.9,7.4,5.3,15.8,21.8,NBA Team Regular Season Stats 2006-07
22,Seattle SuperSonics,82,102.0,38.1,80.1,47.6,6.3,17.5,36.1,19.5,25.9,75.1,11.6,29.4,41.0,22.8,7.2,4.2,15.0,19.9,NBA Team Regular Season Stats 2006-07
23,Phoenix Suns,82,102.9,39.5,86.4,45.7,6.1,16.9,36.3,17.8,23.2,76.7,12.3,30.5,42.8,18.9,6.9,3.7,15.1,21.5,NBA Team Regular Season Stats 2006-07
24,Sacramento Kings,82,103.1,38.4,81.4,47.2,6.8,18.6,36.5,19.5,25.8,75.7,11.1,32.3,43.4,22.4,7.0,4.9,16.3,24.3,NBA Team Regular Season Stats 2006-07
25,Los Angeles Lakers,82,103.4,37.8,81.9,46.1,6.4,17.8,35.8,21.5,28.3,76.0,11.6,30.6,42.2,21.9,7.9,5.0,14.7,23.4,NBA Team Regular Season Stats 2006-07
26,Denver Nuggets,82,103.7,39.7,86.4,46.0,6.8,19.1,35.3,17.5,23.7,73.9,12.3,30.0,42.3,24.5,8.3,5.2,16.4,23.7,NBA Team Regular Season Stats 2006-07
27,Milwaukee Bucks,82,104.0,39.0,81.4,48.0,6.9,18.7,36.8,19.1,25.7,74.2,13.0,30.1,43.0,25.3,7.5,5.3,15.7,21.0,NBA Team Regular Season Stats 2006-07
28,Washington Wizards,82,104.9,38.6,81.7,47.3,7.3,19.3,37.7,20.3,26.2,77.7,11.9,31.1,43.0,23.7,6.3,4.6,15.7,23.5,NBA Team Regular Season Stats 2006-07
29,Memphis Grizzlies,82,106.7,40.1,82.5,48.6,7.0,18.0,38.9,19.5,25.8,75.9,11.8,30.3,42.0,25.1,8.3,5.5,15.3,24.3,NBA Team Regular Season Stats 2006-07
30,Golden State Warriors,82,106.9,38.7,83.8,46.2,7.4,20.3,36.6,22.1,29.5,75.0,13.1,33.3,46.4,24.7,8.3,4.9,18.6,22.3,NBA Team Regular Season Stats 2006-07
