Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Mahdi Abdul-Rahman,G,6-2,185,22,LAL,62,0,UCLA,"1964 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
Jay Arnette,G,6-2,175,26,CIN,61,1,Texas,1960 Rnd 2 Pick 1,United States,NBA 1964-1965 Players Information
Al Attles,PG,6-0,175,28,GSW,73,4,North Carolina A&T,1960 Rnd 5 Pick 7,United States,NBA 1964-1965 Players Information
Jim Barnes,FC,6-8,210,23,NYK,75,0,UTEP,1964 Rnd 1 Pick 1,United States,NBA 1964-1965 Players Information
Dick Barnett,SG,6-4,190,28,LAL,74,4,Tennessee State,1959 Rnd 1 Pick 4,United States,NBA 1964-1965 Players Information
John Barnhill,G,6-1,180,26,STH,42,2,Tennessee State,1959 Rnd 11 Pick 6,United States,NBA 1964-1965 Players Information
Elgin Baylor,F,6-5,225,30,LAL,74,6,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1964-1965 Players Information
Zelmo Beaty,FC,6-9,225,25,STH,80,2,Prairie View A&M,1962 Rnd 1 Pick 3,United States,NBA 1964-1965 Players Information
Walt Bellamy,C,6-11,225,25,WAS,80,3,Indiana,1961 Rnd 1 Pick 1,United States,NBA 1964-1965 Players Information
Al Bianchi,G,6-3,185,32,PHI,59,8,Bowling Green,1954 Rnd 2 Pick 9,United States,NBA 1964-1965 Players Information
Bucky Bockhorn,G,6-4,195,31,CIN,19,6,Dayton,1958 Rnd 3 Pick 2,United States,NBA 1964-1965 Players Information
Ron Bonham,F,6-5,192,22,BOS,37,0,Cincinnati,1964 Rnd 2 Pick 9,United States,NBA 1964-1965 Players Information
Bob Boozer,PF,6-8,215,27,NYK,80,4,Kansas State,1959 Rnd 1 Pick 1,United States,NBA 1964-1965 Players Information
Gary Bradds,C,6-8,210,22,WAS,38,0,Ohio State,1964 Rnd 1 Pick 3,United States,NBA 1964-1965 Players Information
Bill Bridges,FC,6-6,228,25,STH,79,2,Kansas,1961 Rnd 3 Pick 9,United States,NBA 1964-1965 Players Information
Emmette Bryant,PG,6-1,175,26,NYK,76,0,DePaul,1964 Rnd 7 Pick 1,United States,NBA 1964-1965 Players Information
Dave Budd,SF,6-6,205,26,NYK,61,4,Wake Forest,1960 Rnd 2 Pick 2,United States,NBA 1964-1965 Players Information
Ed Burton,F,6-6,225,25,STH,6,1,Michigan State,"1961 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
