#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
5,Precious Achiuwa,SF,6-8,243,24,New York Knicks,3,Memphis,2020 Rnd 1 Pick 20,Nigeria,NBA 2023-2024 Players Information
12,Steven Adams,C,6-11,265,30,Houston Rockets,10,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2023-2024 Players Information
13,Bam Adebayo,C,6-9,255,26,Miami Heat,6,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
30,Ochai Agbaji,SF,6-5,215,23,Toronto Raptors,1,Kansas,2022 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
7,Santi Aldama,C,7-0,215,23,Memphis Grizzlies,2,Loyola (MD),2021 Rnd 1 Pick 30,Spain,NBA 2023-2024 Players Information
9,Nickeil Alexander-Walker,SG,6-5,205,25,Minnesota Timberwolves,4,Virginia Tech,2019 Rnd 1 Pick 17,Canada,NBA 2023-2024 Players Information
8,Grayson Allen,SG,6-4,198,28,Phoenix Suns,5,Duke,2018 Rnd 1 Pick 21,United States,NBA 2023-2024 Players Information
31,Jarrett Allen,C,6-9,243,25,Cleveland Cavaliers,6,Texas,2017 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
15,Jose Alvarado,G,6-0,179,25,New Orleans Pelicans,2,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico,NBA 2023-2024 Players Information
1,Kyle Anderson,PF,6-9,230,30,Minnesota Timberwolves,9,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2023-2024 Players Information
34,Giannis Antetokounmpo,F,6-11,243,29,Milwaukee Bucks,10,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2023-2024 Players Information
43,Thanasis Antetokounmpo,SF,6-7,219,31,Milwaukee Bucks,5,Delaware 87ers,2014 Rnd 2 Pick 21,GreeceNigeria,NBA 2023-2024 Players Information
50,Cole Anthony,PG,6-2,185,23,Orlando Magic,3,North Carolina,2020 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
8,OG Anunoby,SF,6-7,240,26,New York Knicks,6,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2023-2024 Players Information
8,Deni Avdija,SG,6-9,210,23,Washington Wizards,3,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel,NBA 2023-2024 Players Information
2,Deandre Ayton,C,7-0,247,25,Portland Trail Blazers,5,Arizona,2018 Rnd 1 Pick 1,Bahamas,NBA 2023-2024 Players Information
27,Udoka Azubuike,C,6-11,270,24,Phoenix Suns,3,Kansas,2020 Rnd 1 Pick 27,Nigeria,NBA 2023-2024 Players Information
41,Ibou Badji,C,7-0,240,21,Portland Trail Blazers,1,Forca Lleida CE (Spain),"2022 NBA Draft, Undrafted",Senegal,NBA 2023-2024 Players Information
35,Marvin Bagley III,PF,6-10,235,25,Washington Wizards,5,Duke,2018 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
10,Amari Bailey,G,6-3,185,20,Charlotte Hornets,0,UCLA,2023 Rnd 2 Pick 11,United States,NBA 2023-2024 Players Information
7,"Patrick Baldwin, Jr.",SG,6-9,220,21,Washington Wizards,1,Milwaukee,2022 Rnd 1 Pick 28,United States,NBA 2023-2024 Players Information
1,LaMelo Ball,G,6-7,180,22,Charlotte Hornets,3,Illawarra (Australia),2020 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
2,Lonzo Ball,PG,6-6,190,26,Chicago Bulls,6,UCLA,2017 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
5,Mohamed Bamba,C,7-0,231,25,Philadelphia Sixers,5,Texas,2018 Rnd 1 Pick 6,United States,NBA 2023-2024 Players Information
5,Paolo Banchero,C,6-10,250,21,Orlando Magic,1,Duke,2022 Rnd 1 Pick 1,United StatesItaly,NBA 2023-2024 Players Information
22,Desmond Bane,SG,6-5,215,25,Memphis Grizzlies,3,TCU,2020 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
5,Dalano Banton,PG,6-8,204,24,Portland Trail Blazers,2,Nebraska,2021 Rnd 2 Pick 16,Canada,NBA 2023-2024 Players Information
26,Dominick Barlow,F,6-9,215,20,San Antonio Spurs,1,Overtime Elite (Georgia),"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
