Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Larry Wright,WAS,78,"1,421.0",612,262,595,.440,-,-,-,88,115,.765,32,66,98,232,55,5,-,170,NBA 1976-1977 Regular_Season Players Statistic
Dave Wohl,NYN,51,986.0,293,116,290,.400,-,-,-,61,89,.685,16,65,81,142,39,6,-,115,NBA 1976-1977 Regular_Season Players Statistic
Willie Wise,DEN,75,"1,403.0",616,237,513,.462,-,-,-,142,218,.651,76,177,253,142,60,18,-,180,NBA 1976-1977 Regular_Season Players Statistic
Brian Winters,MIL,78,"2,717.0","1,509",652,"1,308",.498,-,-,-,205,242,.847,64,167,231,337,114,29,-,228,NBA 1976-1977 Regular_Season Players Statistic
Bobby Wilson,BOS,25,131.0,49,19,59,.322,-,-,-,11,13,.846,3,6,9,14,3,0,-,19,NBA 1976-1977 Regular_Season Players Statistic
Bill Willoughby,ATL,39,549.0,193,75,169,.444,-,-,-,43,63,.683,65,105,170,13,19,23,-,64,NBA 1976-1977 Regular_Season Players Statistic
John Williamson,IND,72,"2,481.0","1,495",618,"1,347",.459,-,-,-,259,329,.787,42,151,193,201,107,13,-,246,NBA 1976-1977 Regular_Season Players Statistic
Nate Williams,NOJ,79,"1,776.0",974,414,917,.451,-,-,-,146,194,.753,107,199,306,92,76,16,-,200,NBA 1976-1977 Regular_Season Players Statistic
Gus Williams,GSW,82,"1,930.0",762,325,701,.464,-,-,-,112,150,.747,72,161,233,292,121,19,-,218,NBA 1976-1977 Regular_Season Players Statistic
Earl Williams,NYN,1,7.0,3,0,2,.000,-,-,-,3,6,.500,1,1,2,1,0,1,-,2,NBA 1976-1977 Regular_Season Players Statistic
Chuckie Williams,CLE,22,65.0,37,14,47,.298,-,-,-,9,12,.750,3,1,4,7,1,0,-,7,NBA 1976-1977 Regular_Season Players Statistic
Chuck Williams,BUF,65,867.0,224,78,210,.371,-,-,-,68,87,.782,26,75,101,132,32,3,-,60,NBA 1976-1977 Regular_Season Players Statistic
Jamaal Wilkes,GSW,76,"2,579.0","1,343",548,"1,147",.478,-,-,-,247,310,.797,155,423,578,211,127,16,-,222,NBA 1976-1977 Regular_Season Players Statistic
Bob Wilkerson,SEA,78,"1,552.0",526,221,573,.386,-,-,-,84,122,.689,96,162,258,171,72,8,-,136,NBA 1976-1977 Regular_Season Players Statistic
Sidney Wicks,BOS,82,"2,642.0","1,238",464,"1,012",.458,-,-,-,310,464,.668,268,556,824,169,64,61,-,331,NBA 1976-1977 Regular_Season Players Statistic
Rudy White,HOU,46,368.0,109,47,106,.443,-,-,-,15,25,.600,13,28,41,35,11,1,-,39,NBA 1976-1977 Regular_Season Players Statistic
Jo Jo White,BOS,82,"3,333.0","1,609",638,"1,488",.429,-,-,-,333,383,.869,87,296,383,492,118,22,-,193,NBA 1976-1977 Regular_Season Players Statistic
Paul Westphal,PHX,81,"2,600.0","1,726",682,"1,317",.518,-,-,-,362,439,.825,57,133,190,459,134,21,-,171,NBA 1976-1977 Regular_Season Players Statistic
Bob Weiss,WAS,62,768.0,153,62,133,.466,-,-,-,29,37,.784,15,54,69,130,53,7,-,66,NBA 1976-1977 Regular_Season Players Statistic
Scott Wedman,KCK,81,"2,743.0","1,248",521,"1,133",.460,-,-,-,206,241,.855,187,319,506,227,100,23,-,226,NBA 1976-1977 Regular_Season Players Statistic
Marvin Webster,DEN,80,"1,276.0",539,198,400,.495,-,-,-,143,220,.650,152,332,484,62,23,118,-,149,NBA 1976-1977 Regular_Season Players Statistic
Nick Weatherspoon,SEA,62,"1,657.0",711,310,690,.449,-,-,-,91,144,.632,120,308,428,53,52,28,-,168,NBA 1976-1977 Regular_Season Players Statistic
Slick Watts,SEA,79,"2,627.0","1,028",428,"1,015",.422,-,-,-,172,293,.587,81,226,307,630,214,25,-,256,NBA 1976-1977 Regular_Season Players Statistic
Richard Washington,KCK,82,"2,265.0","1,069",446,"1,034",.431,-,-,-,177,254,.697,201,497,698,85,63,90,-,324,NBA 1976-1977 Regular_Season Players Statistic
Kermit Washington,LAL,53,"1,342.0",514,191,380,.503,-,-,-,132,187,.706,182,310,492,48,43,52,-,183,NBA 1976-1977 Regular_Season Players Statistic
Cornell Warner,LAL,14,170.0,54,25,53,.472,-,-,-,4,6,.667,21,48,69,11,1,2,-,28,NBA 1976-1977 Regular_Season Players Statistic
Henry Ward,SAS,27,171.0,83,34,90,.378,-,-,-,15,17,.882,10,23,33,6,6,5,-,30,NBA 1976-1977 Regular_Season Players Statistic
Lloyd Walton,MIL,53,678.0,229,88,188,.468,-,-,-,53,65,.815,15,36,51,141,40,2,-,52,NBA 1976-1977 Regular_Season Players Statistic
Bill Walton,POR,65,"2,264.0","1,210",491,930,.528,-,-,-,228,327,.697,211,723,934,245,66,211,-,174,NBA 1976-1977 Regular_Season Players Statistic
Wally Walker,POR,66,627.0,341,137,305,.449,-,-,-,67,100,.670,45,63,108,51,14,2,-,92,NBA 1976-1977 Regular_Season Players Statistic
Foots Walker,CLE,62,"1,216.0",403,157,349,.450,-,-,-,89,115,.774,55,105,160,254,83,4,-,124,NBA 1976-1977 Regular_Season Players Statistic
Andy Walker,NOJ,40,438.0,180,72,156,.462,-,-,-,36,47,.766,23,52,75,32,20,7,-,59,NBA 1976-1977 Regular_Season Players Statistic
Neal Walk,NYK,11,135.0,62,28,57,.491,-,-,-,6,7,.857,5,22,27,6,4,3,-,22,NBA 1976-1977 Regular_Season Players Statistic
Norm Van Lier,CHI,82,"3,097.0",838,300,729,.412,-,-,-,238,306,.778,108,262,370,636,129,16,-,268,NBA 1976-1977 Regular_Season Players Statistic
Jan Van Breda Kolff,NYN,72,"2,398.0",737,271,609,.445,-,-,-,195,228,.855,156,304,460,117,74,68,-,205,NBA 1976-1977 Regular_Season Players Statistic
Tom Van Arsdale,PHX,77,"1,425.0",444,171,395,.433,-,-,-,102,145,.703,47,137,184,67,20,3,-,163,NBA 1976-1977 Regular_Season Players Statistic
Dick Van Arsdale,PHX,78,"1,535.0",599,227,498,.456,-,-,-,145,166,.873,31,86,117,120,35,5,-,94,NBA 1976-1977 Regular_Season Players Statistic
Wes Unseld,WAS,82,"2,860.0",640,270,551,.490,-,-,-,100,166,.602,243,634,877,363,87,45,-,253,NBA 1976-1977 Regular_Season Players Statistic
Dave Twardzik,POR,74,"1,937.0",765,263,430,.612,-,-,-,239,284,.842,75,127,202,247,128,15,-,228,NBA 1976-1977 Regular_Season Players Statistic
George Trapp,DET,6,68.0,33,15,29,.517,-,-,-,3,4,.750,4,6,10,3,0,1,-,13,NBA 1976-1977 Regular_Season Players Statistic
Monte Towe,DEN,51,409.0,130,56,138,.406,-,-,-,18,25,.720,8,26,34,87,16,0,-,61,NBA 1976-1977 Regular_Season Players Statistic
Rudy Tomjanovich,HOU,81,"3,130.0","1,753",733,"1,437",.510,-,-,-,287,342,.839,172,512,684,172,57,27,-,198,NBA 1976-1977 Regular_Season Players Statistic
Dean Tolson,SEA,60,587.0,359,137,242,.566,-,-,-,85,159,.535,73,84,157,27,32,21,-,83,NBA 1976-1977 Regular_Season Players Statistic
Nate Thurmond,CLE,49,997.0,268,100,246,.407,-,-,-,68,106,.642,121,253,374,83,16,81,-,128,NBA 1976-1977 Regular_Season Players Statistic
David Thompson,DEN,82,"3,001.0","2,125",824,"1,626",.507,-,-,-,477,623,.766,138,196,334,337,114,53,-,236,NBA 1976-1977 Regular_Season Players Statistic
Claude Terry,ATL,45,545.0,228,96,191,.503,-,-,-,36,44,.818,12,34,46,58,20,1,-,48,NBA 1976-1977 Regular_Season Players Statistic
Chuck Terry,NYN,61,"1,075.0",304,128,318,.403,-,-,-,48,62,.774,43,100,143,39,58,10,-,120,NBA 1976-1977 Regular_Season Players Statistic
Ira Terrell,PHX,78,"1,751.0",665,277,545,.508,-,-,-,111,176,.631,99,288,387,103,41,47,-,165,NBA 1976-1977 Regular_Season Players Statistic
Fatty Taylor,DEN,79,"1,548.0",301,132,314,.420,-,-,-,37,65,.569,90,121,211,288,132,9,-,202,NBA 1976-1977 Regular_Season Players Statistic
Brian Taylor,KCK,72,"2,488.0","1,227",501,995,.504,-,-,-,225,275,.818,88,150,238,320,199,16,-,206,NBA 1976-1977 Regular_Season Players Statistic
Earl Tatum,LAL,68,"1,249.0",638,283,607,.466,-,-,-,72,100,.720,83,153,236,118,85,22,-,168,NBA 1976-1977 Regular_Season Players Statistic
Larry Steele,POR,81,"1,680.0",835,326,652,.500,-,-,-,183,227,.806,71,117,188,172,118,13,-,216,NBA 1976-1977 Regular_Season Players Statistic
Keith Starr,CHI,17,65.0,14,6,24,.250,-,-,-,2,2,1.000,6,4,10,6,1,0,-,11,NBA 1976-1977 Regular_Season Players Statistic
