Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Danny Young,SEA,14,208.0,57,21,52,.404,5,16,.313,10,10,1.000,4,12,16,48,16,0,7,21,NBA 1986-1987 Playoffs Players Statistic
James Worthy,LAL,18,681.0,425,176,298,.591,0,2,.000,73,97,.753,31,70,101,63,28,22,40,42,NBA 1986-1987 Playoffs Players Statistic
Randy Wittman,ATL,9,300.0,148,67,121,.554,0,0,.000,14,17,.824,3,15,18,30,4,4,12,22,NBA 1986-1987 Playoffs Players Statistic
David Wingate,PHI,5,90.0,41,15,37,.405,2,2,1.000,9,14,.643,5,7,12,9,5,1,9,11,NBA 1986-1987 Playoffs Players Statistic
Kevin Willis,ATL,9,356.0,141,60,115,.522,0,0,.000,21,31,.677,33,50,83,6,8,7,17,33,NBA 1986-1987 Playoffs Players Statistic
Kevin Williams,SEA,14,255.0,120,45,94,.479,0,2,.000,30,40,.750,19,15,34,30,14,1,10,44,NBA 1986-1987 Playoffs Players Statistic
John Williams,WAS,3,49.0,20,8,14,.571,0,1,.000,4,7,.571,4,7,11,2,2,0,2,3,NBA 1986-1987 Playoffs Players Statistic
Herb Williams,IND,4,134.0,47,20,34,.588,0,0,.000,7,13,.538,3,17,20,7,0,1,11,12,NBA 1986-1987 Playoffs Players Statistic
Dominique Wilkins,ATL,9,360.0,241,86,210,.410,3,10,.300,66,74,.892,27,43,70,25,16,8,26,25,NBA 1986-1987 Playoffs Players Statistic
Jerome Whitehead,GSW,10,100.0,22,9,27,.333,0,0,.000,4,10,.400,5,9,14,3,2,2,1,22,NBA 1986-1987 Playoffs Players Statistic
Ennis Whatley,WAS,2,32.0,6,3,12,.250,0,0,.000,0,0,.000,1,2,3,6,2,0,8,2,NBA 1986-1987 Playoffs Players Statistic
Bill Wennington,DAL,4,47.0,15,6,12,.500,0,0,.000,3,5,.600,4,6,10,4,0,3,3,9,NBA 1986-1987 Playoffs Players Statistic
Spud Webb,ATL,8,122.0,31,9,19,.474,0,1,.000,13,17,.765,1,7,8,38,6,0,18,10,NBA 1986-1987 Playoffs Players Statistic
Chris Washburn,GSW,5,29.0,11,3,7,.429,0,0,.000,5,6,.833,0,1,1,2,0,0,4,2,NBA 1986-1987 Playoffs Players Statistic
Bill Walton,BOS,12,102.0,29,12,25,.480,0,0,.000,5,14,.357,9,22,31,10,3,4,8,23,NBA 1986-1987 Playoffs Players Statistic
Darrell Walker,DEN,3,68.0,26,11,34,.324,0,0,.000,4,7,.571,3,7,10,5,2,0,4,4,NBA 1986-1987 Playoffs Players Statistic
Granville Waiters,CHI,2,8.0,0,0,0,.000,0,0,.000,0,0,.000,0,1,1,0,0,1,0,1,NBA 1986-1987 Playoffs Players Statistic
Danny Vranes,PHI,2,3.0,0,0,0,.000,0,0,.000,0,0,.000,0,3,3,0,0,0,0,1,NBA 1986-1987 Playoffs Players Statistic
Sam Vincent,BOS,17,141.0,74,23,56,.411,1,2,.500,27,35,.771,3,9,12,19,3,2,10,13,NBA 1986-1987 Playoffs Players Statistic
Jay Vincent,WAS,3,72.0,30,11,30,.367,0,0,.000,8,9,.889,2,7,9,3,2,0,4,10,NBA 1986-1987 Playoffs Players Statistic
Kiki Vandeweghe,POR,4,174.0,99,38,71,.535,1,4,.250,22,26,.846,5,8,13,11,1,1,11,10,NBA 1986-1987 Playoffs Players Statistic
Elston Turner,CHI,3,25.0,8,4,5,.800,0,0,.000,0,0,.000,1,1,2,1,2,0,0,3,NBA 1986-1987 Playoffs Players Statistic
Kelly Tripucka,UTA,5,70.0,32,14,20,.700,0,3,.000,4,4,1.000,1,6,7,3,4,0,7,6,NBA 1986-1987 Playoffs Players Statistic
Andrew Toney,PHI,5,107.0,28,13,34,.382,0,3,.000,2,2,1.000,2,7,9,27,2,2,16,16,NBA 1986-1987 Playoffs Players Statistic
Wayman Tisdale,IND,4,108.0,51,19,31,.613,0,0,.000,13,23,.565,5,11,16,9,1,0,5,17,NBA 1986-1987 Playoffs Players Statistic
Sedale Threatt,CHI,3,70.0,20,8,17,.471,0,0,.000,4,4,1.000,2,3,5,16,1,0,2,11,NBA 1986-1987 Playoffs Players Statistic
Mychal Thompson,LAL,18,401.0,158,62,137,.453,0,0,.000,34,50,.680,29,59,88,9,7,17,16,50,NBA 1986-1987 Playoffs Players Statistic
Billy Thompson,LAL,4,42.0,16,7,15,.467,0,0,.000,2,2,1.000,4,4,8,2,4,1,0,7,NBA 1986-1987 Playoffs Players Statistic
Isiah Thomas,DET,15,562.0,361,134,299,.448,10,33,.303,83,110,.755,21,46,67,130,39,4,42,51,NBA 1986-1987 Playoffs Players Statistic
Terry Teagle,GSW,10,233.0,144,57,124,.460,0,2,.000,30,38,.789,13,7,20,13,8,1,14,27,NBA 1986-1987 Playoffs Players Statistic
