Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Iftah Ziv,MAC,2,12.0,1,0,4,.000,0,1,.000,1,2,.500,0,1,1,1,1,0,0,2,NBA 2015-2016 Preseason Players Statistic
Tyler Zeller,BOS,7,105.6,59,24,45,.533,0,0,.000,11,13,.846,10,15,25,6,2,5,4,15,NBA 2015-2016 Preseason Players Statistic
Cody Zeller,CHA,8,176.6,59,20,33,.606,4,6,.667,15,26,.577,7,38,45,12,7,2,8,18,NBA 2015-2016 Preseason Players Statistic
Talib Zanna,OKC,4,23.6,8,3,3,1.000,0,0,.000,2,2,1.000,4,2,6,0,1,2,0,1,NBA 2015-2016 Preseason Players Statistic
Omer Yurtseven,FEN,2,27.2,12,5,8,.625,0,2,.000,2,2,1.000,4,8,12,1,1,1,2,3,NBA 2015-2016 Preseason Players Statistic
Thaddeus Young,BRK,5,126.8,63,26,50,.520,0,1,.000,11,15,.733,8,30,38,3,8,0,11,11,NBA 2015-2016 Preseason Players Statistic
Nick Young,LAL,8,169.6,83,28,74,.378,18,47,.383,9,12,.750,4,11,15,7,6,0,3,18,NBA 2015-2016 Preseason Players Statistic
Joe Young,IND,6,120.1,50,17,46,.370,3,16,.188,13,14,.929,2,9,11,20,5,0,12,11,NBA 2015-2016 Preseason Players Statistic
James Young,BOS,7,96.1,31,9,32,.281,7,20,.350,6,8,.750,1,9,10,3,2,2,4,9,NBA 2015-2016 Preseason Players Statistic
Delon Wright,TOR,7,72.3,21,9,22,.409,2,5,.400,1,3,.333,2,10,12,7,2,0,8,2,NBA 2015-2016 Preseason Players Statistic
Brandan Wright,MEM,5,97.5,38,17,31,.548,0,0,.000,4,6,.667,8,23,31,3,3,6,5,11,NBA 2015-2016 Preseason Players Statistic
Metta World Peace,LAL,6,84.5,22,6,22,.273,1,9,.111,9,11,.818,1,11,12,8,0,1,5,11,NBA 2015-2016 Preseason Players Statistic
Christian Wood,PHI,5,62.9,31,13,29,.448,1,7,.143,4,9,.444,5,19,24,1,1,2,2,5,NBA 2015-2016 Preseason Players Statistic
Jeff Withey,UTA,7,79.4,30,9,11,.818,0,0,.000,12,14,.857,6,15,21,4,4,9,1,10,NBA 2015-2016 Preseason Players Statistic
Justise Winslow,MIA,6,171.3,38,10,37,.270,2,11,.182,16,23,.696,7,26,33,20,6,3,10,17,NBA 2015-2016 Preseason Players Statistic
Jamil Wilson,DAL,7,122.8,17,5,26,.192,2,13,.154,5,6,.833,0,11,11,11,6,0,4,7,NBA 2015-2016 Preseason Players Statistic
Reggie Williams,SAS,6,64.7,23,7,16,.438,5,12,.417,4,5,.800,0,11,11,3,3,1,2,1,NBA 2015-2016 Preseason Players Statistic
Mo Williams,CLE,5,111.4,44,15,42,.357,5,19,.263,9,10,.900,2,15,17,16,2,0,13,8,NBA 2015-2016 Preseason Players Statistic
Marvin Williams,CHA,7,150.1,43,14,38,.368,7,22,.318,8,12,.667,5,28,33,9,5,1,5,8,NBA 2015-2016 Preseason Players Statistic
Lou Williams,LAL,6,150.1,101,27,70,.386,8,30,.267,39,45,.867,2,16,18,16,6,2,13,17,NBA 2015-2016 Preseason Players Statistic
Elliot Williams,CHA,2,26.1,11,4,10,.400,2,4,.500,1,2,.500,0,5,5,0,1,0,3,3,NBA 2015-2016 Preseason Players Statistic
Derrick Williams,NYK,6,127.2,97,34,60,.567,10,23,.435,19,27,.704,3,20,23,6,4,2,15,8,NBA 2015-2016 Preseason Players Statistic
Deron Williams,DAL,1,15.5,6,1,4,.250,0,2,.000,4,4,1.000,1,1,2,4,0,0,1,1,NBA 2015-2016 Preseason Players Statistic
Jefferson William,BAU,2,52.8,10,4,23,.174,2,19,.105,0,0,.000,1,3,4,2,1,0,1,5,NBA 2015-2016 Preseason Players Statistic
Damien Wilkins,CHA,3,51.4,15,6,10,.600,0,1,.000,3,4,.750,0,4,4,5,1,0,2,4,NBA 2015-2016 Preseason Players Statistic
C.J. Wilcox,LAC,5,30.9,10,4,11,.364,2,5,.400,0,0,.000,0,2,2,1,1,1,4,2,NBA 2015-2016 Preseason Players Statistic
Scottie Wilbekin,PHI,5,88.0,50,18,37,.486,10,27,.370,4,4,1.000,1,7,8,7,3,0,6,3,NBA 2015-2016 Preseason Players Statistic
Nick Wiggins,MIN,4,13.4,7,3,5,.600,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,NBA 2015-2016 Preseason Players Statistic
Andrew Wiggins,MIN,7,165.9,94,27,70,.386,9,18,.500,31,41,.756,9,11,20,13,2,4,12,11,NBA 2015-2016 Preseason Players Statistic
Shayne Whittington,IND,7,55.6,23,8,17,.471,1,6,.167,6,9,.667,5,11,16,3,0,1,4,13,NBA 2015-2016 Preseason Players Statistic
Greg Whittington,MIA,4,64.3,11,5,21,.238,1,10,.100,0,0,.000,5,14,19,2,2,2,9,7,NBA 2015-2016 Preseason Players Statistic
Hassan Whiteside,MIA,3,75.3,32,14,27,.519,0,0,.000,4,18,.222,12,17,29,1,0,13,6,12,NBA 2015-2016 Preseason Players Statistic
Terrico White,PHX,2,8.1,0,0,3,.000,0,2,.000,0,0,.000,2,0,2,0,1,1,0,0,NBA 2015-2016 Preseason Players Statistic
Russell Westbrook,OKC,5,125.4,87,33,65,.508,4,12,.333,17,24,.708,8,18,26,42,6,1,13,13,NBA 2015-2016 Preseason Players Statistic
Charlie Westbrook,MIL,1,8.9,4,1,3,.333,0,1,.000,2,4,.500,0,3,3,1,1,0,0,2,NBA 2015-2016 Preseason Players Statistic
David West,SAS,6,103.5,33,14,30,.467,0,0,.000,5,6,.833,7,17,24,8,4,6,9,17,NBA 2015-2016 Preseason Players Statistic
Dez Wells,OKC,1,4.6,1,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,1,0,0,0,NBA 2015-2016 Preseason Players Statistic
Sonny Weems,PHX,6,131.1,36,15,32,.469,3,12,.250,3,4,.750,1,13,14,23,4,0,4,12,NBA 2015-2016 Preseason Players Statistic
Corey Webster,NOP,3,21.5,4,2,7,.286,0,0,.000,0,0,.000,0,1,1,6,1,0,2,2,NBA 2015-2016 Preseason Players Statistic
C.J. Watson,ORL,6,155.2,30,10,38,.263,3,15,.200,7,12,.583,4,16,20,31,12,3,10,14,NBA 2015-2016 Preseason Players Statistic
Jason Washburn,CHA,4,18.2,0,0,1,.000,0,0,.000,0,0,.000,1,4,5,0,0,3,3,1,NBA 2015-2016 Preseason Players Statistic
T.J. Warren,PHX,6,149.4,82,36,76,.474,1,10,.100,9,12,.750,14,15,29,12,11,0,8,18,NBA 2015-2016 Preseason Players Statistic
John Wall,WAS,6,135.5,55,20,49,.408,4,13,.308,11,14,.786,3,15,18,51,7,0,22,8,NBA 2015-2016 Preseason Players Statistic
Kemba Walker,CHA,7,157.6,94,31,69,.449,8,23,.348,24,33,.727,1,9,10,23,6,0,13,8,NBA 2015-2016 Preseason Players Statistic
Chris Walker,HOU,3,24.8,17,8,16,.500,0,1,.000,1,2,.500,4,12,16,0,1,2,4,4,NBA 2015-2016 Preseason Players Statistic
