DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 17", Milwaukee ,W102-92  ,Johnson  22,Smith  10,Johnson  5,A,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Tue, Apr 20", Milwaukee ,W96-86  ,Johnson  27,Smith  14,Smith  9,A,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Sat, Apr 24",Milwaukee ,L107-89  ,Johnson  25,Smith  12,Johnson  4,H,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Mon, Apr 26",Milwaukee ,L111-104  ,Johnson  29,Smith  9,Johnson  9,H,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Wed, Apr 28", Milwaukee ,L91-87  ,Horford  25,Horford  11,Johnson  6,A,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Fri, Apr 30",Milwaukee ,W83-69  ,Crawford  24,Horford  15,Johnson  6,H,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Sun, May 2", Milwaukee ,W95-74  ,Crawford  22,Horford  15,Crawford  6,A,Atlanta Hawks 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Tue, May 4",Orlando ,L114-71  ,Smith  14,Pachulia  7,Johnson  3,H,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Thu, May 6",Orlando ,L112-98  ,Horford  24,Williams  11,Johnson  5,H,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Sat, May 8", Orlando ,L105-75  ,Crawford  22,Smith  11,Horford  3,A,Atlanta Hawks 2009-10 Postseason NBA Schedule
"Mon, May 10", Orlando ,L98-84  ,Crawford  18,Smith  8,Johnson  5,A,Atlanta Hawks 2009-10 Postseason NBA Schedule
