DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Thu, Oct 24",Detroit ,W117-100  ,1-0,Young  38,Collins  10,Young  9,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Oct 26", Orlando ,W103-99  ,2-0,Young  39,Collins  12,Young  9,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Oct 28", Philadelphia ,L105-103  ,2-1,Young  25,Hunter  9,Young  9,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Oct 29",Miami ,L112-97  ,2-2,Collins  30,Collins  7,Reddish  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Thu, Oct 31", Miami ,L106-97  ,2-3,Parker  23,Bembry  10,Bembry  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Nov 5", San Antonio ,W108-100  ,3-3,Young  29,Parker  8,Young  13,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Nov 6", Chicago ,L113-93  ,3-4,Parker  18,Fernando  6,Bembry  4,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Nov 8", Sacramento ,L121-109  ,3-5,Young  30,Parker  8,Young  12,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Nov 10",Portland ,L124-113 OT ,3-6,Young  35,Parker  11,Young  10,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Nov 12",Denver ,W125-121  ,4-6,Young  42,Parker  9,Young  11,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Thu, Nov 14",Phoenix ,L128-112  ,4-7,Parker  24,Len  10,Young  13,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Nov 16",LA ,L150-101  ,4-8,Young  20,Parker  8,Young  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Nov 17",Los Angeles ,L122-101  ,4-9,Young  31,Parker  8,Young  7,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Nov 20", Milwaukee ,L135-127  ,4-10,Hunter  27,Hunter  11,Young  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Nov 22",Detroit ,L128-103  ,4-11,Bembry  22,Young  6,Young  8,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Nov 23", Toronto ,L119-116  ,4-12,Young  30,Young  10,Young  10,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Nov 25", Minnesota ,L125-113  ,4-13,Young  37,Parker  7,Young  9,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Nov 27",Milwaukee ,L111-102  ,4-14,Parker  33,Parker  14,Young  7,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Nov 29",Indiana ,L105-104 OT ,4-15,Young  49,Bembry  12,Young  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Nov 30",Houston ,L158-111  ,4-16,Young  37,Hunter  5,Young  7,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Dec 2", Golden State ,W104-79  ,5-16,Young  24,Jones  8,Young  7,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Dec 4", Brooklyn ,L130-118  ,5-17,Young  39,Jones  8,Young  10,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Dec 8",Charlotte ,W122-107  ,6-17,Young  30,Len  10,Young  9,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Dec 10",Miami ,L135-121 OT ,6-18,Hunter  28,Parker  7,Young  9,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Dec 11",Chicago ,L136-102  ,6-19,Len  17,Parker  7,Young  13,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Dec 13", Indiana ,L110-100  ,6-20,Young  23,Len  13,Young  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Dec 15", Los Angeles ,L101-96  ,6-21,Young  30,Len  7,Young  7,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Dec 17",New York ,L143-120  ,6-22,Young  42,Hunter  5,Young  8,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Thu, Dec 19", Utah ,L111-106  ,6-23,Young  30,Parker  9,Young  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Dec 21",Brooklyn ,L122-112  ,6-24,Young  47,Len  14,Young  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Dec 23",Cleveland ,L121-118  ,6-25,Young  30,Collins  10,Young  11,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Dec 27", Milwaukee ,L112-86  ,6-26,Crabbe  20,Collins  16,Huerter  3,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Dec 28",Chicago ,L116-81  ,6-27,Collins  34,Collins  8,Reddish  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Dec 30",Orlando ,W101-93  ,7-27,Goodwin  21,Len  12,Goodwin  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Jan 3",Boston ,L109-106  ,7-28,Young  28,Collins  8,Young  10,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Jan 4", Indiana ,W116-111  ,8-28,Young  41,Len  9,Young  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Jan 6", Denver ,L123-115  ,8-29,Young  29,Huerter  8,Young  12,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Jan 8", Houston ,L122-115  ,8-30,Young  42,Collins  14,Young  10,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Jan 10",Washington ,L111-101  ,8-31,Young  19,Collins  15,Young  7,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Jan 12",Brooklyn ,L108-86  ,8-32,Reddish  20,Huerter  5,Huerter  5,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Jan 14", Phoenix ,W123-110  ,9-32,Young  36,Huerter  15,Young  10,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Jan 17",San Antonio ,W121-120  ,10-32,Young  31,Collins  10,Young  9,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Jan 18", Detroit ,L136-103  ,10-33,Collins  20,Young  8,Young  7,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Jan 20", Toronto ,L122-117  ,10-34,Young  42,Collins  11,Young  15,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Jan 22", LA ,W102-95  ,11-34,Collins  33,Collins  16,Teague  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Jan 24",Oklahoma City ,L140-111  ,11-35,Collins  28,Collins  6,Young  16,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Jan 26", Washington ,W152-133  ,12-35,Young  45,Fernando  12,Young  14,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Tue, Jan 28",Toronto ,L130-114  ,12-36,Collins  28,Collins  12,Young  13,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Thu, Jan 30", Philadelphia ,W127-117  ,13-36,Young  39,Collins  20,Young  18,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Feb 1",Dallas ,L123-100  ,13-37,Collins  26,Jones  12,Teague  8,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Feb 3", Boston ,L123-115  ,13-38,Young  34,Collins  11,Young  7,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Feb 5",Minnesota ,W127-120  ,14-38,Young  38,Collins  12,Young  11,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Fri, Feb 7",Boston ,L112-107  ,14-39,Collins  30,Collins  10,Huerter  6,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sun, Feb 9", New York ,W140-135 2OT ,15-39,Young  48,Collins  16,Young  13,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Feb 10",Orlando ,L135-126  ,15-40,Young  29,Dedmon  9,Teague  11,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Feb 12",Cleveland ,L127-105  ,15-41,Young  27,Hunter  8,Young  12,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Thu, Feb 20", Miami ,W129-124  ,16-41,Young  50,Dedmon  8,Young  8,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Sat, Feb 22", Dallas ,W111-107  ,17-41,Collins  35,Collins  17,Young  10,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Mon, Feb 24",Philadelphia ,L129-112  ,17-42,Young  28,Collins  9,Young  10,H,Atlanta Hawks 2019-20 Regular Season NBA Schedule
"Wed, Feb 26", Orlando ,L130-120  ,17-43,Young  37,Hunter  11,Young  11,A,Atlanta Hawks 2019-20 Regular Season NBA Schedule
