DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 18", Chicago ,L105-103 OT ,Rondo  29,Rondo  9,Rondo  7,A,Boston Celtics 2008-09 Postseason NBA Schedule
"Mon, Apr 20", Chicago ,W118-115  ,Allen  30,Rondo  12,Rondo  16,A,Boston Celtics 2008-09 Postseason NBA Schedule
"Thu, Apr 23",Chicago ,W107-86  ,Pierce  24,Rondo  11,Rondo  6,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Sun, Apr 26",Chicago ,L121-118 2OT ,Pierce  29,Rondo  11,Rondo  11,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Tue, Apr 28", Chicago ,W106-104 OT ,Rondo  28,Perkins  19,Rondo  11,A,Boston Celtics 2008-09 Postseason NBA Schedule
"Thu, Apr 30",Chicago ,L128-127 3OT ,Allen  51,Perkins  13,Rondo  19,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Sat, May 2", Chicago ,W109-99  ,Allen  23,Perkins  13,Rondo  11,A,Boston Celtics 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Mon, May 4", Orlando ,L95-90  ,Pierce  23,Perkins  16,Rondo  8,A,Boston Celtics 2008-09 Postseason NBA Schedule
"Wed, May 6", Orlando ,W112-94  ,House  31,Rondo  11,Rondo  18,A,Boston Celtics 2008-09 Postseason NBA Schedule
"Fri, May 8",Orlando ,L117-96  ,Pierce  27,Perkins  7,Pierce  6,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Sun, May 10",Orlando ,W95-94  ,Pierce  27,Rondo  14,Pierce  4,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Tue, May 12", Orlando ,W92-88  ,Davis  22,Perkins  11,Pierce  8,A,Boston Celtics 2008-09 Postseason NBA Schedule
"Thu, May 14",Orlando ,L83-75  ,Rondo  19,Rondo  16,Rondo  6,H,Boston Celtics 2008-09 Postseason NBA Schedule
"Sun, May 17", Orlando ,L101-82  ,Allen  23,Perkins  15,Rondo  10,A,Boston Celtics 2008-09 Postseason NBA Schedule
