DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 16", Philadelphia ,W105-87  ,1-0,Tatum  23,Morris Sr.  10,Irving  7,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Oct 19",Toronto ,L113-101  ,1-1,Irving  21,Horford  10,Horford  9,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Oct 20",New York ,W103-101  ,2-1,Tatum  24,Tatum  14,Irving  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Oct 22", Orlando ,L93-90  ,2-2,Irving  22,Tatum  10,Irving  5,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Thu, Oct 25",Oklahoma City ,W101-95  ,3-2,Tatum  24,Morris Sr.  10,Irving  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Oct 27",Detroit ,W109-89  ,4-2,Brown  19,Morris Sr.  8,Smart  9,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Tue, Oct 30", Detroit ,W108-105  ,5-2,Irving  31,Morris Sr.  9,Irving  5,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Thu, Nov 1", Milwaukee ,W117-113  ,6-2,Irving  28,Rozier  7,Horford  8,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Nov 3",Indiana ,L102-101  ,6-3,Morris Sr.  23,Tatum  7,Smart  9,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Nov 5",Denver ,L115-107  ,6-4,Irving  31,Hayward  9,Horford  6,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Thu, Nov 8",Phoenix ,W116-109 OT ,7-4,Irving  39,Morris Sr.  8,Irving  6,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Nov 9",Utah ,L123-115  ,7-5,Rozier  22,Rozier  6,Smart  10,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sun, Nov 11",Portland ,L100-94  ,7-6,Tatum  27,Hayward  9,Irving  6,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Nov 14", Chicago ,W111-82  ,8-6,Brown  18,Baynes  11,Irving  7,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Nov 16", Toronto ,W123-116 OT ,9-6,Irving  43,Horford  9,Irving  11,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Nov 17", Utah ,L98-86  ,9-7,Irving  20,Irving  8,Hayward  3,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Nov 19",Charlotte ,L117-112  ,9-8,Irving  27,Morris Sr.  8,Irving  11,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Nov 21", New York ,L117-109  ,9-9,Irving  22,Morris Sr.  8,Irving  13,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Nov 23",Atlanta ,W114-96  ,10-9,Baynes  16,Baynes  9,Smart  7,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Nov 24",Dallas ,L113-104  ,10-10,Tatum  21,Baynes  9,Irving  6,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Nov 26",New Orleans ,W124-107  ,11-10,Irving  26,Morris Sr.  11,Irving  10,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Nov 30", Cleveland ,W128-95  ,12-10,Irving  29,Baynes  9,Smart  7,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Dec 1",Minnesota ,W118-109  ,13-10,Hayward  30,Hayward  9,Irving  9,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Thu, Dec 6", New York ,W128-100  ,14-10,Irving  22,Horford  12,Irving  8,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Dec 8",Chicago ,W133-77  ,15-10,Brown  23,Theis  10,Hayward  6,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Dec 10", New Orleans ,W113-100  ,16-10,Morris Sr.  31,Williams III  11,Rozier  6,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Dec 12",Washington ,W130-125 OT ,17-10,Irving  38,Tatum  12,Irving  7,H,Boston Celtics 2018-19 Regular Season NBA Schedule
