DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 17", New York ,W107-83  ,Jefferson  21,Martin  12,Kidd  13,A,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Tue, Apr 20", New York ,W99-81  ,Martin  22,Martin  16,Kidd  8,A,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Thu, Apr 22",New York ,W81-78  ,Martin  19,Martin  15,Jefferson  10,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Sun, Apr 25",New York ,W100-94  ,Martin  36,Martin  13,Kidd  7,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Mon, May 3",Detroit ,L78-56  ,Kittles  15,Kidd  7,Kidd  6,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Fri, May 7",Detroit ,L95-80  ,Martin  19,Collins  10,Kidd  11,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Sun, May 9", Detroit ,W82-64  ,Jefferson  30,Martin  9,Kidd  12,A,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Tue, May 11", Detroit ,W94-79  ,Kidd  22,Martin  15,Kidd  11,A,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Fri, May 14",Detroit ,W127-120 3OT ,Jefferson  31,Jefferson  11,Kidd  8,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Sun, May 16", Detroit ,L81-75  ,Jefferson  23,Jefferson  7,Kidd  8,A,Brooklyn Nets 2003-04 Postseason NBA Schedule
"Thu, May 20",Detroit ,L90-69  ,Kittles  18,Martin  12,Kidd  7,H,Brooklyn Nets 2003-04 Postseason NBA Schedule
