DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 27", Detroit ,W101-98  ,1-0,Lopez  25,Favors  10,Harris  9,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Oct 29", Sacramento ,W106-100  ,2-0,Lopez  29,Humphries  8,Harris  10,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Oct 31", Miami ,L101-78  ,2-1,Lopez  20,Favors  13,Harris  6,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Nov 3", Charlotte ,L85-83  ,2-2,Harris  19,Favors  8,Harris  8,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Nov 5",Orlando ,L105-90  ,2-3,Outlaw  17,Outlaw  6,Farmar  7,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sat, Nov 6",Miami ,L101-89  ,2-4,Morrow  25,Morrow  7,Williams  9,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Nov 9", Cleveland ,L93-91  ,2-5,Outlaw  27,Murphy  11,Harris  6,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Nov 10",Cleveland ,W95-87  ,3-5,Harris  31,Humphries  18,Harris  9,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sat, Nov 13", Orlando ,L91-90  ,3-6,Harris  26,Outlaw  7,Harris  8,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Mon, Nov 15",LA ,W110-96  ,4-6,Lopez  24,Humphries  12,Farmar  12,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Nov 17",Utah ,L98-88  ,4-7,Morrow  24,Humphries  15,Harris  8,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Nov 19",Sacramento ,L86-81  ,4-8,Humphries  18,Humphries  10,Harris  8,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sat, Nov 20",Denver ,L107-103  ,4-9,Lopez  20,Lopez  8,Farmar  5,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Nov 23", Atlanta ,W107-101 OT ,5-9,Lopez  32,Humphries  14,Harris  9,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Nov 24",Boston ,L89-83  ,5-10,Harris  20,Humphries  11,Farmar  7,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sat, Nov 27",Philadelphia ,L102-86  ,5-11,Lopez  25,Humphries  15,Harris  6,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Nov 28", Portland ,W98-96  ,6-11,Harris  25,Humphries  8,Harris  8,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Nov 30",New York ,L111-100  ,6-12,Lopez  36,Humphries  7,Farmar  4,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Dec 1", Oklahoma City ,L123-120 3OT ,6-13,Lopez  28,Humphries  15,Farmar  9,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Dec 3",Charlotte ,L91-84 OT ,6-14,Outlaw  21,Humphries  8,Farmar  10,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Dec 5", Boston ,L100-75  ,6-15,Farmar  16,Petro  9,Harris  3,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Dec 7",Atlanta ,L116-101  ,6-16,Lopez  24,Humphries  7,Harris  13,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Thu, Dec 9",Dallas ,L102-89  ,6-17,Lopez  24,Humphries  13,Williams  4,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Dec 12", Los Angeles ,L99-92  ,6-18,Lopez  25,Humphries  11,Harris  10,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Dec 14", Philadelphia ,L82-77  ,6-19,Lopez  16,Favors  13,Harris  6,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Thu, Dec 16", Washington ,W97-89  ,7-19,Harris  29,Humphries  17,Harris  9,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Dec 17",Toronto ,L98-92  ,7-20,Lopez  20,Humphries  12,Harris  6,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sun, Dec 19", Atlanta ,W89-82  ,8-20,Harris  22,Graham  7,Harris  8,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Tue, Dec 21",Memphis ,W101-94  ,9-20,Lopez  26,Humphries  15,Farmar  6,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Dec 22",New Orleans ,L105-91  ,9-21,Harris  21,Murphy  7,Harris  8,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Mon, Dec 27", Orlando ,L104-88  ,9-22,Harris  24,Humphries  11,Harris  6,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Dec 29",Oklahoma City ,L114-93  ,9-23,Lopez  19,Humphries  7,Uzoh  5,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Dec 31",Chicago ,L90-81  ,9-24,Lopez  19,Lopez  8,Harris  9,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Sat, Jan 1",Minnesota ,L103-88  ,9-25,Vujacic  22,Humphries  14,Harris  8,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Wed, Jan 5", Chicago ,W96-94  ,10-25,Humphries  20,Humphries  11,Harris  11,A,Brooklyn Nets 2010-11 Regular Season NBA Schedule
"Fri, Jan 7",Washington ,L97-77  ,10-26,Farmar  14,Graham  9,Harris  3,H,Brooklyn Nets 2010-11 Regular Season NBA Schedule
