DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 29", Milwaukee ,W108-106 OT ,1-0,Walker  26,Stephenson  13,Stephenson  8,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Nov 1", Memphis ,L71-69  ,1-1,Jefferson  19,Kidd-Gilchrist  12,Walker  4,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Nov 2",New York ,L96-93  ,1-2,Jefferson  21,Stephenson  9,Stephenson  8,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Nov 4",New Orleans ,L100-91  ,1-3,Neal  21,Stephenson  7,Roberts  6,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Nov 5", Miami ,W96-89  ,2-3,Jefferson  28,Stephenson  13,Walker  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Nov 7", Atlanta ,W122-119 2OT ,3-3,Jefferson  34,Stephenson  13,Walker  10,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Nov 9",Los Angeles ,L107-92  ,3-4,Jefferson  23,Stephenson  11,Stephenson  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Nov 11",Portland ,L102-100  ,3-5,Jefferson  22,Stephenson  14,Walker  3,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Nov 14",Phoenix ,W103-95  ,4-5,Walker  19,Biyombo  10,Stephenson  7,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Nov 15",Golden State ,L112-87  ,4-6,Jefferson  19,Zeller  10,Walker  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Nov 17", Dallas ,L107-80  ,4-7,Henderson  18,Biyombo  8,Stephenson  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Nov 19",Indiana ,L88-86  ,4-8,Jefferson  28,Jefferson  8,Walker  7,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Nov 21", Orlando ,L105-100  ,4-9,Jefferson  24,Walker  12,Walker  8,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Nov 23",Miami ,L94-93  ,4-10,Jefferson  22,Jefferson  12,Stephenson  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Nov 24", LA ,L113-92  ,4-11,Zeller  17,Jefferson  9,Walker  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Nov 26", Portland ,L105-97  ,4-12,Jefferson  23,Jefferson  14,Walker  9,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Nov 28", Golden State ,L106-101  ,4-13,Roberts  20,Zeller  14,Walker  13,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Nov 29",Atlanta ,L105-75  ,4-14,Hairston  15,Biyombo  11,Walker  6,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Dec 3", Chicago ,L102-95  ,4-15,Walker  23,Stephenson  8,Walker  4,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Dec 5", New York ,W103-102  ,5-15,Henderson  22,Jefferson  13,Stephenson  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Dec 10", Boston ,W96-87  ,6-15,Jefferson  23,Jefferson  14,Walker  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Dec 12",Memphis ,L113-107 2OT ,6-16,Walker  28,Jefferson  9,Walker  7,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Dec 13", Brooklyn ,L114-87  ,6-17,Kidd-Gilchrist  15,Biyombo  10,Walker  4,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Dec 15",Cleveland ,L97-88  ,6-18,Walker  24,Jefferson  8,Neal  6,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Dec 17", Phoenix ,L111-106  ,6-19,Jefferson  28,Jefferson  10,Walker  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Dec 19",Philadelphia ,W109-91  ,7-19,Walker  30,Jefferson  12,Neal  6,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Dec 20", Utah ,W104-86  ,8-19,Walker  20,Kidd-Gilchrist  11,Walker  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Dec 22", Denver ,W110-82  ,9-19,Jefferson  22,Hairston  10,Walker  9,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Dec 23",Milwaukee ,W108-101  ,10-19,Walker  27,Jefferson  9,Walker  4,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Dec 26",Oklahoma City ,L98-75  ,10-20,Roberts  17,Zeller  7,Henderson  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Dec 27", Orlando ,L102-94  ,10-21,Walker  42,Jefferson  9,Walker  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Dec 29", Milwaukee ,L104-94 OT ,10-22,Walker  28,Williams  14,Henderson  5,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Dec 31",Houston ,L102-83  ,10-23,Kidd-Gilchrist  16,Kidd-Gilchrist  8,Walker  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Jan 2", Cleveland ,L91-87  ,10-24,Henderson  14,Kidd-Gilchrist  10,Walker  5,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Jan 3",Orlando ,W98-90  ,11-24,Walker  30,Kidd-Gilchrist  12,Walker  6,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Jan 5",Boston ,W104-95  ,12-24,Walker  33,Biyombo  10,Henderson  8,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Jan 7", New Orleans ,W98-94  ,13-24,Walker  31,Kidd-Gilchrist  12,Henderson  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Thu, Jan 8",Toronto ,W103-95  ,14-24,Henderson  31,Kidd-Gilchrist  12,Walker  8,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Jan 10",New York ,W110-82  ,15-24,Walker  28,Biyombo  12,Roberts  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Jan 14", San Antonio ,L98-93  ,15-25,Walker  28,Biyombo  15,Zeller  4,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Jan 17", Indiana ,W80-71 OT ,16-25,Henderson  20,Kidd-Gilchrist  16,Henderson  4,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Jan 19", Minnesota ,W105-80  ,17-25,Henderson  17,Williams  11,Stephenson  9,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Jan 21", Miami ,W78-76  ,18-25,Walker  15,Kidd-Gilchrist  14,Zeller  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Jan 23",Cleveland ,L129-90  ,18-26,Jefferson  22,Jefferson  11,Stephenson  9,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Jan 24", New York ,W76-71  ,19-26,Roberts  17,Zeller  8,Stephenson  4,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Jan 28",San Antonio ,L95-86  ,19-27,Henderson  18,Jefferson  16,Zeller  7,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Jan 31",Denver ,W104-86  ,20-27,Zeller  21,Kidd-Gilchrist  13,Stephenson  13,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Feb 2",Washington ,W92-88  ,21-27,Jefferson  18,Kidd-Gilchrist  13,Henderson  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Thu, Feb 5", Washington ,W94-87  ,22-27,Henderson  27,Jefferson  10,Roberts  5,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Feb 7",Philadelphia ,L89-81  ,22-28,Jefferson  18,Jefferson  9,Henderson  9,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Feb 8", Indiana ,L103-102  ,22-29,Jefferson  30,Jefferson  13,Henderson  8,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Feb 10", Detroit ,L106-78  ,22-30,Henderson  17,Jefferson  10,Henderson  5,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Feb 21", Oklahoma City ,L110-103  ,22-31,Williams  24,Jefferson  12,Williams  12,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Feb 22",Dallas ,L92-81  ,22-32,Williams  22,Jefferson  17,Stephenson  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Feb 25",Chicago ,W98-86  ,23-32,Kidd-Gilchrist  18,Kidd-Gilchrist  12,Williams  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Feb 27",Boston ,L106-98  ,23-33,Williams  31,Kidd-Gilchrist  11,Stephenson  7,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Mar 1",Orlando ,W98-83  ,24-33,Williams  23,Kidd-Gilchrist  13,Williams  11,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Mar 3", Los Angeles ,W104-103  ,25-33,Jefferson  21,Jefferson  16,Williams  13,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Mar 4",Brooklyn ,W115-91  ,26-33,Jefferson  19,Kidd-Gilchrist  13,Williams  14,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Mar 6", Toronto ,W103-94  ,27-33,Jefferson  23,Jefferson  13,Williams  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Mar 8",Detroit ,W108-101  ,28-33,Jefferson  24,Jefferson  8,Williams  9,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Mar 9", Washington ,L95-69  ,28-34,Williams  19,Biyombo  9,Williams  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Mar 11", Sacramento ,L113-106  ,28-35,Kidd-Gilchrist  23,Kidd-Gilchrist  9,Henderson  11,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Mar 13", Chicago ,W101-91  ,29-35,Henderson  20,Biyombo  10,Walker  7,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Mar 16",Utah ,L94-66  ,29-36,Stephenson  17,Jefferson  7,Williams  3,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Mar 17",LA ,L99-92  ,29-37,Jefferson  21,Williams  11,Williams  8,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Mar 20",Sacramento ,L101-91  ,29-38,Henderson  20,Kidd-Gilchrist  7,Williams  4,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Mar 22",Minnesota ,W109-98  ,30-38,Williams  24,Jefferson  11,Walker  8,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Mar 23",Chicago ,L98-86  ,30-39,Walker  29,Henderson  9,Williams  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Mar 25", Brooklyn ,L91-88  ,30-40,Jefferson  23,Jefferson  10,Walker  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Mar 27",Washington ,L110-107 2OT ,30-41,Jefferson  31,Henderson  14,Williams  10,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Mar 28", Atlanta ,W115-100  ,31-41,Walker  21,Biyombo  11,Walker  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Mar 30", Boston ,L116-104  ,31-42,Walker  28,Maxiell  8,Walker  12,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Apr 1", Detroit ,W102-78  ,32-42,Williams  18,Biyombo  10,Williams  6,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Apr 3",Indiana ,L93-74  ,32-43,Henderson  12,Biyombo  9,Williams  4,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sat, Apr 4", Philadelphia ,W92-91  ,33-43,Walker  24,Biyombo  9,Williams  5,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Tue, Apr 7",Miami ,L105-100  ,33-44,Henderson  29,Williams  13,Walker  4,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Apr 8", Toronto ,L92-74  ,33-45,Walker  15,Williams  8,Walker  3,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Fri, Apr 10",Atlanta ,L104-80  ,33-46,Daniels  15,Biyombo  11,Walker  6,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Sun, Apr 12",Detroit ,L116-77  ,33-47,Vonleh  16,Vonleh  12,Walker  7,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Mon, Apr 13", Houston ,L100-90  ,33-48,Roberts  23,Biyombo  13,Walker  5,A,Charlotte Hornets 2014-15 Regular Season NBA Schedule
"Wed, Apr 15",Toronto ,L92-87  ,33-49,Daniels  24,Vonleh  12,Roberts  5,H,Charlotte Hornets 2014-15 Regular Season NBA Schedule
