DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 21", Miami ,W96-91  ,Deng  33,Wallace  14,Gordon  11,A,Chicago Bulls 2006-07 Postseason NBA Schedule
"Tue, Apr 24", Miami ,W107-89  ,Gordon  27,Gordon  7,Hinrich  8,A,Chicago Bulls 2006-07 Postseason NBA Schedule
"Fri, Apr 27",Miami ,W104-96  ,Gordon  27,Deng  11,Hinrich  6,H,Chicago Bulls 2006-07 Postseason NBA Schedule
"Sun, Apr 29",Miami ,W92-79  ,Gordon  24,Deng  12,Gordon  4,H,Chicago Bulls 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Chicago Bulls 2006-07 Postseason NBA Schedule
"Sat, May 5",Detroit ,L95-69  ,Deng  18,Deng  8,Hinrich  6,H,Chicago Bulls 2006-07 Postseason NBA Schedule
"Mon, May 7",Detroit ,L108-87  ,Thomas  18,Wallace  7,Hinrich  7,H,Chicago Bulls 2006-07 Postseason NBA Schedule
"Thu, May 10", Detroit ,L81-74  ,Deng  21,Deng  14,Hinrich  7,A,Chicago Bulls 2006-07 Postseason NBA Schedule
"Sun, May 13", Detroit ,W102-87  ,Deng  25,Wallace  17,Hinrich  10,A,Chicago Bulls 2006-07 Postseason NBA Schedule
"Tue, May 15",Detroit ,W108-92  ,Gordon  28,Brown  8,Hinrich  13,H,Chicago Bulls 2006-07 Postseason NBA Schedule
"Thu, May 17", Detroit ,L95-85  ,Brown  20,Wallace  7,Hinrich  11,A,Chicago Bulls 2006-07 Postseason NBA Schedule
