DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 29",New York ,W104-80  ,1-0,Gibson  22,Gasol  11,Brooks  6,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Fri, Oct 31", Cleveland ,L114-108 OT ,1-1,Rose  20,Noah  13,Dunleavy  8,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sat, Nov 1",Minnesota ,W106-105  ,2-1,Butler  24,Noah  11,Brooks  5,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Tue, Nov 4", Orlando ,W98-90  ,3-1,Butler  21,Gasol  13,Brooks  8,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Wed, Nov 5",Milwaukee ,W95-86  ,4-1,Gibson  23,Gasol  14,Butler  7,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Fri, Nov 7",Philadelphia ,W118-115  ,5-1,Dunleavy  27,Gasol  12,Hinrich  7,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sat, Nov 8", Boston ,L106-101  ,5-2,Brooks  26,Noah  11,Brooks  8,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Mon, Nov 10", Detroit ,W102-91  ,6-2,Rose  24,Gasol  15,Rose  7,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Thu, Nov 13",Toronto ,W100-93  ,7-2,Gasol  27,Gasol  11,Butler  6,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sat, Nov 15", Indiana ,L99-90  ,7-3,Butler  32,Butler  6,Hinrich  7,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Mon, Nov 17",LA ,W105-89  ,8-3,Butler  22,Noah  16,Butler  8,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Thu, Nov 20",Sacramento ,L103-88  ,8-4,Butler  23,Noah  11,Hinrich  7,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Fri, Nov 21",Portland ,L105-87  ,8-5,Mirotic  24,Mirotic  11,Brooks  3,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
