DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17", Detroit ,W106-101  ,Irving  31,Love  13,James  11,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Wed, Apr 20", Detroit ,W107-90  ,James  27,Love  10,Dellavedova  9,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Fri, Apr 22",Detroit ,W101-91  ,Irving  26,James  13,James  7,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Sun, Apr 24",Detroit ,W100-98  ,Irving  31,Love  13,James  6,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Mon, May 2", Atlanta ,W104-93  ,James  25,Thompson  14,James  9,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Wed, May 4", Atlanta ,W123-98  ,James  27,Love  13,Irving  6,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Fri, May 6",Atlanta ,W121-108  ,Frye  27,Love  15,James  8,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Sun, May 8",Atlanta ,W100-99  ,Love  27,Love  13,James  9,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Tue, May 17", Toronto ,W115-84  ,Irving  27,Jefferson  11,Irving  5,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Thu, May 19", Toronto ,W108-89  ,Irving  26,Thompson  12,James  11,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Sat, May 21",Toronto ,L99-84  ,James  24,James  8,James  5,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Mon, May 23",Toronto ,L105-99  ,James  29,James  9,James  6,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Wed, May 25", Toronto ,W116-78  ,Love  25,Thompson  10,James  8,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Fri, May 27",Toronto ,W113-87  ,James  33,Love  12,Irving  9,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Thu, Jun 2",Golden State ,L104-89  ,Irving  26,Love  13,James  9,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Sun, Jun 5",Golden State ,L110-77  ,James  19,James  8,James  9,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Wed, Jun 8", Golden State ,W120-90  ,James  32,Thompson  13,Irving  8,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Fri, Jun 10", Golden State ,L108-97  ,Irving  34,James  13,James  9,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Mon, Jun 13",Golden State ,W112-97  ,James  41,James  16,James  7,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Thu, Jun 16", Golden State ,W115-101  ,James  41,Thompson  16,James  11,A,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
"Sun, Jun 19",Golden State ,W93-89  ,James  27,Love  14,James  11,H,Cleveland Cavaliers 2015-16 Postseason NBA Schedule
