DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Dec 23", Charlotte ,W121-114  ,1-0,Sexton  27,Drummond  14,Nance Jr.  8,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sat, Dec 26",Detroit ,W128-119 2OT ,2-0,Sexton  32,Drummond  16,Garland  12,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Dec 27", Philadelphia ,W118-94  ,3-0,Drummond  24,Drummond  14,Garland  7,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Tue, Dec 29", New York ,L95-86  ,3-1,Sexton  20,Drummond  17,Garland  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Thu, Dec 31",Indiana ,L119-99  ,3-2,Sexton  28,Drummond  13,Nance Jr.  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sat, Jan 2",Atlanta ,W96-91  ,4-2,Sexton  27,Drummond  11,Nance Jr.  6,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Jan 4",Orlando ,L103-83  ,4-3,Sexton  24,Drummond  13,Osman  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Jan 6",Orlando ,L105-94  ,4-4,Sexton  21,Drummond  15,Osman  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Thu, Jan 7",Memphis ,W94-90  ,5-4,Drummond  22,Drummond  15,Osman  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sat, Jan 9",Milwaukee ,L100-90  ,5-5,Drummond  26,Drummond  24,Dotson  8,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Jan 11", Memphis ,L101-91  ,5-6,Drummond  19,Drummond  14,Dotson  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Tue, Jan 12", Utah ,L117-87  ,5-7,Osman  17,McGee  9,Osman  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Jan 15", New York ,W106-103  ,6-7,Drummond  33,Drummond  23,Osman  5,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Jan 20", Brooklyn ,W147-135 2OT ,7-7,Sexton  42,Allen  11,Osman  7,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Jan 22", Brooklyn ,W125-113  ,8-7,Sexton  25,Drummond  16,Sexton  9,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Jan 24",Boston ,L141-103  ,8-8,Sexton  13,Allen  7,Prince  5,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Jan 25", Los Angeles ,L115-108  ,8-9,Drummond  25,Drummond  17,Sexton  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Jan 27", Detroit ,W122-107  ,9-9,Sexton  29,Drummond  16,Okoro  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Jan 29",New York ,L102-81  ,9-10,Garland  24,Drummond  15,Sexton  5,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Jan 31",Minnesota ,L109-104  ,9-11,Drummond  25,Drummond  22,Garland  5,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Feb 1", Minnesota ,W100-98  ,10-11,Sexton  26,Allen  18,Garland  11,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Feb 3", LA ,L121-99  ,10-12,Sexton  27,Allen  9,Sexton  5,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Feb 5", Milwaukee ,L123-105  ,10-13,Sexton  19,Drummond  9,Sexton  4,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sat, Feb 6", Milwaukee ,L124-99  ,10-14,Drummond  28,Drummond  11,Garland  9,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Feb 8",Phoenix ,L119-113  ,10-15,Sexton  23,Drummond  14,Garland  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Feb 10",Denver ,L133-95  ,10-16,Allen  18,Allen  10,Sexton  8,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Feb 12",Portland ,L129-110  ,10-17,Sexton  25,Windler  10,Sexton  5,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Feb 14",LA ,L128-111  ,10-18,Sexton  22,Allen  10,Garland  6,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Feb 15",Golden State ,L129-98  ,10-19,Sexton  23,Allen  14,Sexton  5,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Feb 19", Denver ,L120-103  ,10-20,Sexton  23,Allen  10,Osman  7,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Feb 21", Oklahoma City ,L117-101  ,10-21,Sexton  27,Allen  17,Garland  8,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Tue, Feb 23", Atlanta ,W112-111  ,11-21,Sexton  29,Allen  14,Garland  8,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Feb 24", Houston ,W112-96  ,12-21,Allen  26,Allen  18,Garland  10,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sat, Feb 27",Philadelphia ,W112-109 OT ,13-21,Sexton  28,Wade  12,Garland  9,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Mar 1",Houston ,W101-90  ,14-21,Sexton  39,Allen  15,Sexton  8,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Mar 3", Indiana ,L114-111  ,14-22,Sexton  32,Allen  11,Sexton  10,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Mar 12",New Orleans ,L116-82  ,14-23,Sexton  19,Allen  7,Dotson  3,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Mar 14",Atlanta ,L100-82  ,14-24,Sexton  15,Allen  11,Garland  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Tue, Mar 16",Miami ,L113-98  ,14-25,Sexton  21,Allen  10,Osman  7,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Mar 17", Boston ,W117-110  ,15-25,Sexton  29,Nance Jr.  10,Sexton  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Fri, Mar 19", San Antonio ,L116-110  ,15-26,Sexton  29,Allen  11,Garland  8,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Sun, Mar 21", Toronto ,W116-105  ,16-26,Sexton  36,Allen  15,Garland  6,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Mon, Mar 22", Sacramento ,L119-105  ,16-27,McGee  18,McGee  9,Sexton  7,A,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
"Wed, Mar 24",Chicago ,W103-94  ,17-27,Garland  22,Nance Jr.  14,Garland  9,H,Cleveland Cavaliers 2020-21 Regular Season NBA Schedule
