DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 23", Houston ,L98-86  ,Nowitzki  21,Howard  10,Nowitzki  3,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Mon, Apr 25", Houston ,L113-111  ,Nowitzki  26,Dampier  9,Terry  6,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Thu, Apr 28",Houston ,W106-102  ,Nowitzki  28,Nowitzki  6,Terry  4,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Sat, Apr 30",Houston ,W97-93  ,Terry  32,Nowitzki  7,Nowitzki  6,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Mon, May 2", Houston ,W103-100  ,Nowitzki  23,Nowitzki  13,Terry  7,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Thu, May 5",Houston ,L101-83  ,Stackhouse  21,Nowitzki  13,Nowitzki  4,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Sat, May 7", Houston ,W116-76  ,Terry  31,Nowitzki  14,Armstrong  4,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Mon, May 9",Phoenix ,L127-102  ,Nowitzki  28,Nowitzki  13,Nowitzki  4,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Wed, May 11",Phoenix ,W108-106  ,Finley  31,Nowitzki  12,Finley  5,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Fri, May 13", Phoenix ,L119-102  ,Nowitzki  21,Nowitzki  13,Terry  7,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Sun, May 15", Phoenix ,W119-109  ,Howard  29,Dampier  11,Terry  8,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Wed, May 18",Phoenix ,L114-108  ,Nowitzki  34,Dampier  14,Terry  8,H,Dallas Mavericks 2004-05 Postseason NBA Schedule
"Fri, May 20", Phoenix ,L130-126 OT ,Terry  36,Howard  14,Nowitzki  6,A,Dallas Mavericks 2004-05 Postseason NBA Schedule
