DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 29",Utah ,L98-94  ,0-1,Martin  18,Martin  6,Iverson  8,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Fri, Oct 31",LA ,W113-103 OT ,1-1,Iverson  25,Martin  13,Carter  6,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Sat, Nov 1", Los Angeles ,L104-97  ,1-2,Carter  20,Andersen  7,Iverson  7,A,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Wed, Nov 5",Golden State ,L111-101  ,1-3,Anthony  28,Hilario  15,Carter  11,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Fri, Nov 7", Dallas ,W108-105  ,2-3,Anthony  28,Anthony  8,Carter  7,A,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Sun, Nov 9", Memphis ,W100-90  ,3-3,Anthony  24,Hilario  12,Billups  10,A,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Tue, Nov 11",Charlotte ,W88-80  ,4-3,Anthony  25,Hilario  8,Carter  6,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Thu, Nov 13",Cleveland ,L110-99  ,4-4,Billups  26,Martin  10,Billups  6,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Fri, Nov 14",Boston ,W94-85  ,5-4,Anthony  18,Anthony  13,Billups  7,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Sun, Nov 16", Minnesota ,W90-84  ,6-4,Billups  26,Anthony  12,Billups  5,A,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Tue, Nov 18", Milwaukee ,W114-105  ,7-4,Kleiza  25,Hilario  6,Billups  5,A,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Wed, Nov 19",San Antonio ,W91-81  ,8-4,Billups  22,Anthony  9,Anthony  7,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
"Fri, Nov 21",Los Angeles ,L104-90  ,8-5,Smith  18,Anthony  10,Billups  9,H,Denver Nuggets 2008-09 Regular Season NBA Schedule
