DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 16", Minnesota ,W109-80  ,Murray  24,Jokic  14,Murray  8,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Wed, Apr 19", Minnesota ,W122-113  ,Murray  40,Gordon  10,Jokic  9,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Fri, Apr 21",Minnesota ,W120-111  ,Porter Jr.  25,Jokic  11,Jokic  12,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Sun, Apr 23",Minnesota ,L114-108 OT ,Jokic  43,Jokic  11,Jokic  6,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Tue, Apr 25", Minnesota ,W112-109  ,Murray  35,Jokic  17,Jokic  12,A,Denver Nuggets 2022-23 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Sat, Apr 29", Phoenix ,W125-107  ,Murray  34,Jokic  19,Murray  9,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Mon, May 1", Phoenix ,W97-87  ,Jokic  39,Jokic  16,Murray  8,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Fri, May 5",Phoenix ,L121-114  ,Murray  32,Jokic  17,Jokic  17,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Sun, May 7",Phoenix ,L129-124  ,Jokic  53,Porter Jr.  10,Jokic  11,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Tue, May 9", Phoenix ,W118-102  ,Jokic  29,Jokic  13,Jokic  12,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Thu, May 11",Phoenix ,W125-100  ,Jokic  32,Jokic  10,Jokic  12,H,Denver Nuggets 2022-23 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Tue, May 16", Los Angeles ,W132-126  ,Jokic  34,Jokic  21,Jokic  14,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Thu, May 18", Los Angeles ,W108-103  ,Murray  37,Jokic  17,Jokic  12,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Sat, May 20",Los Angeles ,W119-108  ,Murray  37,Porter Jr.  10,Jokic  8,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Mon, May 22",Los Angeles ,W113-111  ,Jokic  30,Jokic  14,Jokic  13,H,Denver Nuggets 2022-23 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Thu, Jun 1", Miami ,W104-93  ,Jokic  27,Porter Jr.  13,Jokic  14,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Sun, Jun 4", Miami ,L111-108  ,Jokic  41,Jokic  11,Murray  10,A,Denver Nuggets 2022-23 Postseason NBA Schedule
"Wed, Jun 7",Miami ,W109-94  ,Murray  34,Jokic  21,Murray  10,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Fri, Jun 9",Miami ,W108-95  ,Gordon  27,Jokic  12,Murray  12,H,Denver Nuggets 2022-23 Postseason NBA Schedule
"Mon, Jun 12", Miami ,W94-89  ,Jokic  28,Jokic  16,Murray  8,A,Denver Nuggets 2022-23 Postseason NBA Schedule
