DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 23", Philadelphia ,W106-85  ,Wallace  29,Wallace  10,Hamilton  5,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Tue, Apr 26", Philadelphia ,W99-84  ,Hamilton  23,Wallace  10,Billups  8,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Fri, Apr 29",Philadelphia ,L115-104  ,Wallace  29,Wallace  16,Hamilton  12,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Sun, May 1",Philadelphia ,W97-92 OT ,Billups  25,Wallace  12,Billups  7,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Tue, May 3", Philadelphia ,W88-78  ,Hamilton  23,Wallace  13,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Mon, May 9", Indiana ,W96-81  ,Hamilton  28,Wallace  15,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Wed, May 11", Indiana ,L92-83  ,Prince  24,Wallace  16,Billups  10,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Fri, May 13",Indiana ,L79-74  ,Billups  23,Wallace  14,Prince  6,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Sun, May 15",Indiana ,W89-76  ,Billups  29,Wallace  12,Hamilton  7,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Tue, May 17", Indiana ,W86-67  ,Wallace  19,Prince  12,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Thu, May 19",Indiana ,W88-79  ,Hamilton  28,Wallace  11,Billups  8,H,Detroit Pistons 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Mon, May 23",Miami ,W90-81  ,Wallace  20,Wallace  13,Arroyo  7,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Wed, May 25",Miami ,L92-86  ,Hamilton  21,Wallace  14,Billups  6,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Sun, May 29", Miami ,L113-104  ,Hamilton  33,Wallace  8,Hamilton  5,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Tue, May 31", Miami ,W106-96  ,Hamilton  28,Wallace  15,Hamilton  8,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Thu, Jun 2",Miami ,L88-76  ,Hamilton  21,McDyess  9,Hamilton  5,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Sat, Jun 4", Miami ,W91-66  ,Hamilton  24,Prince  9,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Mon, Jun 6",Miami ,W88-82  ,Hamilton  22,Wallace  9,Billups  8,H,Detroit Pistons 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Thu, Jun 9",San Antonio ,L84-69  ,Billups  25,Wallace  8,Billups  6,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Sun, Jun 12",San Antonio ,L97-76  ,McDyess  15,Wallace  8,Wallace  4,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Tue, Jun 14", San Antonio ,W96-79  ,Hamilton  24,Wallace  11,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Thu, Jun 16", San Antonio ,W102-71  ,Billups  17,Wallace  13,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Sun, Jun 19", San Antonio ,L96-95 OT ,Billups  34,Wallace  12,Billups  7,A,Detroit Pistons 2004-05 Postseason NBA Schedule
"Tue, Jun 21",San Antonio ,W95-86  ,Hamilton  23,Wallace  9,Billups  6,H,Detroit Pistons 2004-05 Postseason NBA Schedule
"Thu, Jun 23",San Antonio ,L81-74  ,Hamilton  15,Wallace  11,Billups  8,H,Detroit Pistons 2004-05 Postseason NBA Schedule
