DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Nov 2", Atlanta ,W122-97  ,1-0,Richardson  28,Murphy  9,Davis  7,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Nov 4", Utah ,L91-85  ,1-1,Richardson  18,Murphy  8,Fisher  6,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sun, Nov 6",New York ,W83-81  ,2-1,Richardson  24,Foyle  11,Davis  9,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Tue, Nov 8",Milwaukee ,W110-103  ,3-1,Murphy  25,Richardson  14,Davis  15,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Nov 9",Chicago ,L85-84  ,3-2,Davis  17,Fisher  7,Davis  5,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Nov 11", New York ,W86-84  ,4-2,Richardson  24,Murphy  11,Davis  12,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Nov 12",Phoenix ,L101-86  ,4-3,Davis  23,Murphy  17,Richardson  4,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Nov 14", Chicago ,W100-82  ,5-3,Richardson  32,Foyle  12,Davis  6,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Nov 16", Milwaukee ,L90-87  ,5-4,Richardson  21,Murphy  10,Davis  7,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Nov 18",Portland ,W91-80  ,6-4,Richardson  28,Foyle  11,Davis  11,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sun, Nov 20",LA ,L113-101  ,6-5,Davis  21,Foyle  10,Davis  13,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Nov 21", New Jersey ,W100-97  ,7-5,Richardson  25,Foyle  13,Davis  8,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Nov 23", San Antonio ,L113-89  ,7-6,Murphy  27,Cabarkapa  5,Davis  5,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Nov 25",Utah ,W94-90  ,8-6,Richardson  29,Murphy  7,Davis  10,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Nov 26", Toronto ,W117-91  ,9-6,Richardson  25,Murphy  7,Davis  14,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Nov 28"," NO/Oklahoma City
 ",W99-83  ,10-6,Richardson  17,Murphy  10,Davis  9,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Nov 30", Sacramento ,W113-106  ,11-6,Richardson  33,Foyle  13,Davis  16,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Dec 2", Charlotte ,W107-100  ,12-6,Richardson  22,Murphy  12,Davis  14,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Dec 7", Phoenix ,L118-110  ,12-7,Davis  28,Dunleavy  9,Davis  4,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Dec 9", Detroit ,L106-103  ,12-8,Richardson  36,Murphy  13,Davis  14,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Tue, Dec 13",Seattle ,W110-107 OT ,13-8,Fisher  26,Murphy  14,Davis  13,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Dec 14", Houston ,L111-105 OT ,13-9,Richardson  28,Richardson  9,Davis  13,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Dec 16",Toronto ,W108-98  ,14-9,Richardson  23,Murphy  8,Davis  11,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sun, Dec 18",New Jersey ,L118-90  ,14-10,Murphy  19,Murphy  6,Davis  5,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Dec 19",Boston ,L109-98  ,14-11,Murphy  27,Murphy  12,Davis  9,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Dec 21",Philadelphia ,L111-100  ,14-12,Richardson  24,Foyle  9,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Dec 23",Detroit ,L97-85  ,14-13,Diogu  27,Murphy  11,Davis  10,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Dec 26", Denver ,L118-112  ,14-14,Richardson  26,Richardson  12,Davis  11,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Dec 28", Boston ,W111-109  ,15-14,Richardson  36,Dunleavy  6,Davis  12,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Dec 30",Dallas ,W111-109  ,16-14,Davis  34,Murphy  14,Fisher  6,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Dec 31",Houston ,W94-89  ,17-14,Davis  23,Murphy  7,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Tue, Jan 3",Memphis ,L104-94  ,17-15,Richardson  20,Murphy  7,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Thu, Jan 5", Indiana ,L99-89  ,17-16,Dunleavy  19,Diogu  12,Davis  7,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Jan 11", Miami ,L110-96  ,17-17,Davis  26,Murphy  10,Davis  6,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Thu, Jan 12",Phoenix ,L112-99  ,17-18,Davis  22,Cabarkapa  11,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Jan 14", Los Angeles ,L110-104  ,17-19,Richardson  37,Davis  11,Davis  13,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Jan 16", Seattle ,W109-93  ,18-19,Richardson  26,Foyle  11,Davis  10,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Jan 20", Cleveland ,W99-79  ,19-19,Dunleavy  22,Murphy  11,Fisher  9,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sun, Jan 22",LA ,L105-92  ,19-20,Richardson  23,Dunleavy  6,Davis  5,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Jan 23", LA ,L96-93  ,19-21,Richardson  30,Murphy  20,Davis  10,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Jan 25", Dallas ,L102-93  ,19-22,Davis  26,Murphy  14,Davis  10,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Jan 27",Los Angeles ,L106-105 OT ,19-23,Davis  29,Murphy  14,Davis  10,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Jan 28", Portland ,W98-83  ,20-23,Davis  29,Murphy  21,Davis  16,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Feb 1",Seattle ,L111-107  ,20-24,Davis  35,Murphy  16,Davis  9,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Thu, Feb 2", San Antonio ,L89-86  ,20-25,Murphy  22,Biedrins  9,Davis  8,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Feb 4", Minnesota ,W109-77  ,21-25,Richardson  23,Murphy  8,Fisher  7,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Feb 6", Denver ,W122-114  ,22-25,Richardson  28,Murphy  13,Davis  12,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Feb 8",Washington ,L129-124  ,22-26,Richardson  31,Murphy  12,Davis  13,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Feb 10",Indiana ,L107-95  ,22-27,Pietrus  23,Richardson  7,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Feb 11",Cleveland ,W99-91  ,23-27,Richardson  31,Richardson  8,Fisher  6,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Feb 13", Memphis ,L81-79  ,23-28,Fisher  21,Richardson  10,Fisher  9,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Feb 15", LA ,W88-81  ,24-28,Fisher  21,Foyle  11,Fisher  9,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Tue, Feb 21",Sacramento ,L102-77  ,24-29,Pietrus  16,Biedrins  8,Fisher  8,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Feb 24",Houston ,L91-88  ,24-30,Richardson  39,Murphy  17,Richardson  4,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Feb 25",San Antonio ,L92-75  ,24-31,Ellis  16,Murphy  12,Ellis  3,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Mon, Feb 27", Utah ,L117-108 OT ,24-32,Richardson  35,Biedrins  10,Fisher  10,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Mar 1", Orlando ,W98-94  ,25-32,Richardson  25,Murphy  20,Fisher  10,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Mar 3", Los Angeles ,L106-94  ,25-33,Richardson  27,Murphy  7,Fisher  9,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sun, Mar 5",Minnesota ,L103-90  ,25-34,Richardson  36,Richardson  6,Davis  8,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Tue, Mar 7",Atlanta ,L113-106  ,25-35,Richardson  42,Murphy  12,Davis  6,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Wed, Mar 8",Charlotte ,L104-101  ,25-36,Richardson  27,Murphy  14,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Fri, Mar 10",Miami ,W111-106  ,26-36,Richardson  44,Murphy  12,Davis  6,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sat, Mar 11",Orlando ,L103-92  ,26-37,Fisher  20,Murphy  7,Davis  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Thu, Mar 16", Minnesota ,W105-97  ,27-37,Dunleavy  24,Murphy  17,Fisher  13,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Sun, Mar 19", Philadelphia ,W98-89  ,28-37,Dunleavy  28,Murphy  16,Fisher  9,A,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Tue, Mar 21",San Antonio ,L107-96  ,28-38,Fisher  27,Dunleavy  8,Richardson  3,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
"Thu, Mar 23",Dallas ,W122-121  ,29-38,Richardson  40,Dunleavy  8,Fisher  7,H,Golden State Warriors 2005-06 Regular Season NBA Schedule
