DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 9",Los Angeles ,W111-110  ,1-0,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
"Thu, Oct 11",Los Angeles ,W119-106  ,3-0,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
"Sun, Oct 14", LA ,L99-89  ,4-1,,,,A,Golden State Warriors 2007-08 Preseason NBA Schedule
"Mon, Oct 15",Zalgiris Kaunas,W107-88  ,5-1,,,,A,Golden State Warriors 2007-08 Preseason NBA Schedule
"Thu, Oct 18",San Antonio ,L116-111  ,5-2,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
"Tue, Oct 23",Seattle ,W126-122 OT ,6-2,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
"Fri, Oct 26",LA ,W109-103  ,7-2,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
DATE,PONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2007-08 Preseason NBA Schedule
"Tue, Oct 9",Los Angeles ,W111-110  ,2-0,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
"Fri, Oct 12",Los Angeles ,W119-106  ,4-0,,,,H,Golden State Warriors 2007-08 Preseason NBA Schedule
