DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 13", LA ,W121-104  ,Curry  38,Curry  15,Curry  7,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Mon, Apr 15", LA ,L135-131  ,Curry  29,Bogut  9,Green  9,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Thu, Apr 18",LA ,W132-105  ,Durant  38,Bogut  14,Green  10,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Sun, Apr 21",LA ,W113-105  ,Durant  33,Curry  10,Curry  7,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Wed, Apr 24", LA ,L129-121  ,Durant  45,Green  7,Iguodala  8,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Fri, Apr 26",LA ,W129-110  ,Durant  50,Green  14,Green  10,H,Golden State Warriors 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Sun, Apr 28", Houston ,W104-100  ,Durant  35,Green  9,Green  9,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Tue, Apr 30", Houston ,W115-109  ,Durant  29,Green  12,Green  7,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Sat, May 4",Houston ,L126-121 OT ,Durant  46,Green  11,Green  10,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Mon, May 6",Houston ,L112-108  ,Durant  34,Green  10,Curry  8,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Wed, May 8", Houston ,W104-99  ,Thompson  27,Green  12,Green  11,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Fri, May 10",Houston ,W118-113  ,Curry  33,Green  10,Green  7,H,Golden State Warriors 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Tue, May 14", Portland ,W116-94  ,Curry  36,Green  10,Curry  7,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Thu, May 16", Portland ,W114-111  ,Curry  37,Green  10,Curry  8,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Sat, May 18",Portland ,W110-99  ,Curry  36,Green  13,Green  12,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Mon, May 20",Portland ,W119-117 OT ,Curry  37,Green  14,Curry  11,H,Golden State Warriors 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Thu, May 30",Toronto ,L118-109  ,Curry  34,Green  10,Green  10,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Sun, Jun 2",Toronto ,W109-104  ,Thompson  25,Green  10,Green  9,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Wed, Jun 5", Toronto ,L123-109  ,Curry  47,Curry  8,Curry  7,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Fri, Jun 7", Toronto ,L105-92  ,Thompson  28,Green  9,Green  12,A,Golden State Warriors 2018-19 Postseason NBA Schedule
"Mon, Jun 10",Toronto ,W106-105  ,Curry  31,Green  10,Green  8,H,Golden State Warriors 2018-19 Postseason NBA Schedule
"Thu, Jun 13", Toronto ,L114-110  ,Thompson  30,Green  19,Green  13,A,Golden State Warriors 2018-19 Postseason NBA Schedule
