DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 17", New Orleans ,L131-112  ,0-1,Gordon  21,Harden  9,Harden  10,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Oct 20",Los Angeles ,W124-115  ,1-1,Harden  36,Capela  12,Paul  10,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sun, Oct 21",LA ,L115-112  ,1-2,Harden  31,Capela  6,Harden  14,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Oct 24", Utah ,L100-89  ,1-3,Harden  29,Capela  12,Harden  7,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Oct 26", LA ,L133-113  ,1-4,Anthony  24,Capela  15,Paul  8,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Oct 30", Portland ,L104-85  ,1-5,Paul  17,Capela  14,Paul  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Nov 2",Brooklyn ,W119-111  ,2-5,Paul  32,Capela  13,Paul  11,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Nov 3",Chicago ,W96-88  ,3-5,Harden  25,Capela  12,Paul  8,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Nov 5",Indiana ,W98-94  ,4-5,Harden  28,Capela  10,Paul  13,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Nov 8",Oklahoma City ,L98-80  ,4-6,Harden  19,Harden  8,Harden  5,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Nov 10",San Antonio ,L96-89  ,4-7,Harden  25,Capela  17,Paul  4,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sun, Nov 11", Indiana ,W115-103  ,5-7,Harden  40,Clark  8,Harden  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Nov 13",Denver ,W109-99  ,6-7,Capela  24,Capela  9,Harden  11,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Nov 15", Golden State ,W107-86  ,7-7,Harden  27,Capela  10,Paul  7,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Nov 17", Sacramento ,W132-112  ,8-7,Harden  34,Capela  16,Paul  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Nov 21", Detroit ,W126-124  ,9-7,Harden  43,Capela  15,Harden  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Nov 23",Detroit ,L116-111 OT ,9-8,Harden  33,Capela  21,Paul  9,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Nov 24",Cleveland ,L117-108  ,9-9,Harden  40,Capela  10,Harden  13,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Nov 26",Washington ,L135-131 OT ,9-10,Harden  54,Capela  14,Harden  13,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Nov 28", Dallas ,L128-108  ,9-11,Harden  25,Harden  11,Harden  17,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Nov 30",San Antonio ,W136-105  ,10-11,Capela  27,Capela  12,Harden  10,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Dec 1", Chicago ,W121-105  ,11-11,Harden  30,Capela  15,Paul  13,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Dec 3",Minnesota ,L103-91  ,11-12,Harden  29,Tucker  9,Harden  8,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Dec 6",Utah ,L118-91  ,11-13,Harden  15,Capela  10,Paul  5,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Dec 8",Dallas ,L107-104  ,11-14,Harden  35,Capela  13,Harden  8,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Dec 11", Portland ,W111-104  ,12-14,Harden  29,Paul  11,Paul  10,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Dec 13", Los Angeles ,W126-111  ,13-14,Harden  50,Capela  14,Harden  11,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Dec 15",Memphis ,W105-97  ,14-14,Harden  32,Harden  12,Harden  10,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Dec 17", Utah ,W102-97  ,15-14,Harden  47,Capela  14,Paul  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Dec 19", Washington ,W136-118  ,16-14,Harden  35,Capela  12,Harden  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Dec 20",Miami ,L101-99  ,16-15,Harden  35,Capela  14,Harden  12,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Dec 22", San Antonio ,W108-101  ,17-15,Harden  39,Capela  23,Harden  10,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Dec 25", Oklahoma City ,W113-109  ,18-15,Harden  41,Capela  23,Harden  7,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Dec 27", Boston ,W127-113  ,19-15,Harden  45,Capela  19,Harden  6,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Dec 29",New Orleans ,W108-104  ,20-15,Harden  41,Harden  9,Rivers  7,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Dec 31", Memphis ,W113-101  ,21-15,Harden  43,Capela  13,Harden  13,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Jan 3",Golden State ,W135-134 OT ,22-15,Harden  44,Capela  21,Harden  15,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Jan 5",Portland ,L110-101  ,22-16,Harden  38,Capela  21,Harden  7,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Jan 7", Denver ,W125-113  ,23-16,Harden  32,Capela  9,Harden  14,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Jan 9", Milwaukee ,L116-109  ,23-17,Harden  42,Capela  13,Tucker  7,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Jan 11", Cleveland ,W141-113  ,24-17,Harden  43,Harden  10,Harden  12,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sun, Jan 13",Orlando ,L116-109  ,24-18,Harden  38,Capela  10,Harden  12,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Jan 14", Memphis ,W112-94  ,25-18,Harden  57,Harden  9,Rivers  6,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Jan 16", Brooklyn ,L145-142 OT ,25-19,Harden  58,Harden  10,Harden  6,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Jan 19", Los Angeles ,W138-134 OT ,26-19,Harden  48,Tucker  9,Harden  6,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Jan 21",Philadelphia ,L121-93  ,26-20,Harden  37,Harden  6,Harden  3,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Jan 23",New York ,W114-110  ,27-20,Harden  61,Harden  15,Harden  4,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Jan 25", Toronto ,W121-119  ,28-20,Harden  35,Faried  14,Harden  7,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sun, Jan 27", Orlando ,W103-98  ,29-20,Harden  40,Harden  11,Harden  6,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Tue, Jan 29", New Orleans ,L121-116  ,29-21,Harden  37,Harden  11,Paul  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Fri, Feb 1",Denver ,L136-122  ,29-22,Harden  30,Harden  6,Harden  9,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Feb 2",Utah ,W125-98  ,30-22,Harden  43,Harden  12,Harden  5,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Feb 4",Phoenix ,W118-110  ,31-22,Harden  44,Faried  14,Harden  6,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Feb 6",Sacramento ,W127-101  ,32-22,Harden  36,Faried  11,Paul  11,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Sat, Feb 9", Oklahoma City ,L117-112  ,32-23,Harden  42,Faried  12,Paul  9,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Mon, Feb 11", Dallas ,W120-104  ,33-23,Harden  31,Harden  8,Paul  11,A,Houston Rockets 2018-19 Regular Season NBA Schedule
"Wed, Feb 13",Minnesota ,L121-111  ,33-24,Harden  42,Faried  11,Paul  8,H,Houston Rockets 2018-19 Regular Season NBA Schedule
"Thu, Feb 21",Los Angeles ,L111-106  ,33-25,Harden  30,Capela  11,Paul  9,H,Houston Rockets 2018-19 Regular Season NBA Schedule
