DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Aug 18", Oklahoma City ,W123-108  ,Harden  37,Harden  11,House Jr.  5,A,Houston Rockets 2019-20 Postseason NBA Schedule
"Thu, Aug 20", Oklahoma City ,W111-98  ,Harden  21,House Jr.  9,Harden  9,A,Houston Rockets 2019-20 Postseason NBA Schedule
"Sat, Aug 22",Oklahoma City ,L119-107 OT ,Harden  38,House Jr.  10,Harden  8,H,Houston Rockets 2019-20 Postseason NBA Schedule
"Mon, Aug 24",Oklahoma City ,L117-114  ,Harden  32,Tucker  11,Harden  15,H,Houston Rockets 2019-20 Postseason NBA Schedule
"Sat, Aug 29", Oklahoma City ,W114-80  ,Harden  31,Green  10,Westbrook  7,A,Houston Rockets 2019-20 Postseason NBA Schedule
"Mon, Aug 31",Oklahoma City ,L104-100  ,Harden  32,Tucker  11,Harden  7,H,Houston Rockets 2019-20 Postseason NBA Schedule
"Wed, Sep 2", Oklahoma City ,W104-102  ,Covington  21,Covington  10,Harden  9,A,Houston Rockets 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Houston Rockets 2019-20 Postseason NBA Schedule
"Fri, Sep 4",Los Angeles ,W112-97  ,Harden  36,Westbrook  9,Westbrook  6,H,Houston Rockets 2019-20 Postseason NBA Schedule
"Sun, Sep 6",Los Angeles ,L117-109  ,Harden  27,Westbrook  13,Harden  7,H,Houston Rockets 2019-20 Postseason NBA Schedule
"Tue, Sep 8", Los Angeles ,L112-102  ,Harden  33,Harden  9,Harden  9,A,Houston Rockets 2019-20 Postseason NBA Schedule
"Thu, Sep 10", Los Angeles ,L110-100  ,Westbrook  25,Green  7,Harden  10,A,Houston Rockets 2019-20 Postseason NBA Schedule
"Sat, Sep 12",Los Angeles ,L119-96  ,Harden  30,Harden  6,Westbrook  6,H,Houston Rockets 2019-20 Postseason NBA Schedule
