DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 19", Atlanta ,L101-93  ,George  24,George  10,George  5,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Tue, Apr 22", Atlanta ,W101-85  ,George  27,George  10,George  6,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Thu, Apr 24",Atlanta ,L98-85  ,Stephenson  21,George  14,West  5,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Sat, Apr 26",Atlanta ,W91-88  ,George  24,George  10,George  5,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Mon, Apr 28", Atlanta ,L107-97  ,George  26,George  12,West  7,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Thu, May 1",Atlanta ,W95-88  ,West  24,West  11,West  6,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Sat, May 3", Atlanta ,W92-80  ,George  30,Stephenson  14,Stephenson  5,A,Indiana Pacers 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Mon, May 5", Washington ,L102-96  ,George  18,West  12,George  5,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Wed, May 7", Washington ,W86-82  ,Hibbert  28,Hibbert  9,Stephenson  5,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Fri, May 9",Washington ,W85-63  ,George  23,George  8,Stephenson  5,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Sun, May 11",Washington ,W95-92  ,George  39,George  12,West  8,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Tue, May 13", Washington ,L102-79  ,West  17,West  6,West  3,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Thu, May 15",Washington ,W93-80  ,West  29,Hibbert  7,Stephenson  8,H,Indiana Pacers 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Sun, May 18", Miami ,W107-96  ,George  24,Hibbert  9,Stephenson  8,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Tue, May 20", Miami ,L87-83  ,Stephenson  25,Hibbert  13,Stephenson  7,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Sat, May 24",Miami ,L99-87  ,George  17,Stephenson  11,Stephenson  5,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Mon, May 26",Miami ,L102-90  ,George  23,West  12,West  4,H,Indiana Pacers 2013-14 Postseason NBA Schedule
"Wed, May 28", Miami ,W93-90  ,George  37,Hibbert  13,Stephenson  5,A,Indiana Pacers 2013-14 Postseason NBA Schedule
"Fri, May 30",Miami ,L117-92  ,George  29,George  8,Hill  3,H,Indiana Pacers 2013-14 Postseason NBA Schedule
