DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Dec 23", New York ,W121-107  ,1-0,Sabonis  32,Sabonis  13,Brogdon  8,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, Dec 26",Chicago ,W125-106  ,2-0,Warren  23,Sabonis  10,Sabonis  11,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Dec 27", Boston ,W108-107  ,3-0,Brogdon  25,Sabonis  10,McConnell  7,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Tue, Dec 29", Boston ,L116-111  ,3-1,Oladipo  24,Sabonis  11,Sabonis  8,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Thu, Dec 31", Cleveland ,W119-99  ,4-1,Sabonis  25,Sabonis  11,Oladipo  8,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, Jan 2", New York ,L106-102  ,4-2,Brogdon  33,Sabonis  13,Brogdon  7,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, Jan 4",New Orleans ,W118-116 OT ,5-2,Oladipo  25,Sabonis  11,Brogdon  11,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Jan 6", Houston ,W114-107  ,6-2,Brogdon  35,Sabonis  12,Brogdon  7,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, Jan 9", Phoenix ,L125-117  ,6-3,Sabonis  28,Sabonis  22,Brogdon  9,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, Jan 11",Sacramento ,L127-122  ,6-4,Sabonis  28,Sabonis  11,Brogdon  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Tue, Jan 12",Golden State ,W104-95  ,7-4,Turner  22,Sabonis  14,Holiday  12,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Thu, Jan 14",Portland ,W111-87  ,8-4,Brogdon  25,Sabonis  15,McConnell  8,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Jan 17",LA ,L129-96  ,8-5,McDermott  23,Sabonis  14,Brogdon  8,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Jan 20", Dallas ,L124-112  ,8-6,Brogdon  26,Sabonis  10,McConnell  6,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Fri, Jan 22", Orlando ,W120-118 OT ,9-6,Brogdon  23,Sabonis  11,Sabonis  9,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Jan 24", Toronto ,L107-102  ,9-7,Turner  25,Sabonis  19,McConnell  7,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, Jan 25", Toronto ,W129-114  ,10-7,Brogdon  36,Turner  9,Brogdon  9,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Jan 27",Charlotte ,W116-106  ,11-7,McDermott  28,Sabonis  11,Sabonis  10,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Fri, Jan 29",Charlotte ,L108-105  ,11-8,Sabonis  22,Sabonis  11,Brogdon  8,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
