DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 22", Denver ,W89-87  ,Brand  21,Kaman  13,Cassell  7,A,LA Clippers 2005-06 Postseason NBA Schedule
"Mon, Apr 24", Denver ,W98-87  ,Mobley  21,Brand  11,Cassell  11,A,LA Clippers 2005-06 Postseason NBA Schedule
"Thu, Apr 27",Denver ,L94-87  ,Maggette  23,Brand  8,Brand  4,H,LA Clippers 2005-06 Postseason NBA Schedule
"Sat, Apr 29",Denver ,W100-86  ,Maggette  19,Brand  10,Livingston  6,H,LA Clippers 2005-06 Postseason NBA Schedule
"Mon, May 1", Denver ,W101-83  ,Maggette  23,Brand  13,Livingston  14,A,LA Clippers 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,LA Clippers 2005-06 Postseason NBA Schedule
"Mon, May 8",Phoenix ,L130-123  ,Brand  40,Brand  9,Livingston  9,H,LA Clippers 2005-06 Postseason NBA Schedule
"Wed, May 10",Phoenix ,W122-97  ,Brand  27,Kaman  16,Cassell  6,H,LA Clippers 2005-06 Postseason NBA Schedule
"Fri, May 12", Phoenix ,L94-91  ,Brand  20,Maggette  14,Brand  8,A,LA Clippers 2005-06 Postseason NBA Schedule
"Sun, May 14", Phoenix ,W114-107  ,Brand  30,Maggette  15,Cassell  9,A,LA Clippers 2005-06 Postseason NBA Schedule
"Tue, May 16",Phoenix ,L125-118 2OT ,Brand  33,Brand  15,Brand  5,H,LA Clippers 2005-06 Postseason NBA Schedule
"Thu, May 18", Phoenix ,W118-106  ,Brand  30,Brand  12,Cassell  8,A,LA Clippers 2005-06 Postseason NBA Schedule
"Mon, May 22",Phoenix ,L127-107  ,Brand  36,Brand  9,Cassell  6,H,LA Clippers 2005-06 Postseason NBA Schedule
