DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 22", Los Angeles ,W112-102  ,1-0,Leonard  30,Beverley  10,Williams  7,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Thu, Oct 24",Golden State ,W141-122  ,2-0,Williams  22,Zubac  10,Leonard  9,H,LA Clippers 2019-20 Regular Season NBA Schedule
"Sat, Oct 26",Phoenix ,L130-122  ,2-1,Harrell  28,Leonard  8,Leonard  10,H,LA Clippers 2019-20 Regular Season NBA Schedule
"Mon, Oct 28", Charlotte ,W111-96  ,3-1,Leonard  30,Leonard  7,Leonard  6,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Wed, Oct 30",Utah ,L110-96  ,3-2,Williams  24,Green  8,Mann  5,H,LA Clippers 2019-20 Regular Season NBA Schedule
"Thu, Oct 31", San Antonio ,W103-97  ,4-2,Leonard  38,Leonard  12,Williams  5,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Sun, Nov 3", Utah ,W105-94  ,5-2,Leonard  30,Zubac  9,Leonard  3,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Wed, Nov 6", Milwaukee ,L129-124  ,5-3,Harrell  34,Harrell  13,Williams  11,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Thu, Nov 7", Portland ,W107-101  ,6-3,Leonard  27,Leonard  13,Williams  8,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Mon, Nov 11", Toronto ,W98-88  ,7-3,Williams  21,Green  12,Leonard  9,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Wed, Nov 13",Houston ,L102-93  ,7-4,Leonard  26,Green  14,Leonard  7,H,LA Clippers 2019-20 Regular Season NBA Schedule
"Thu, Nov 14",New Orleans ,L132-127  ,7-5,George  33,George  9,Williams  9,H,LA Clippers 2019-20 Regular Season NBA Schedule
"Sat, Nov 16", Atlanta ,W150-101  ,8-5,George  37,Zubac  9,Mann  8,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Mon, Nov 18", Oklahoma City ,W90-88  ,9-5,Harrell  28,Harrell  12,Williams  9,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Wed, Nov 20", Boston ,W107-104 OT ,10-5,Williams  27,Beverley  16,George  8,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Fri, Nov 22", Houston ,W122-119  ,11-5,Williams  26,Green  9,Williams  8,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Sun, Nov 24", New Orleans ,W134-109  ,12-5,Harrell  34,Harrell  12,Leonard  6,A,LA Clippers 2019-20 Regular Season NBA Schedule
"Tue, Nov 26",Dallas ,W114-99  ,13-5,Leonard  28,Leonard  8,Williams  6,H,LA Clippers 2019-20 Regular Season NBA Schedule
