DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 11", Golden State ,W101-93  ,1-0,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Wed, Oct 12", Golden State ,L112-81  ,1-1,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Tue, Oct 18", Washington ,W111-108 OT ,2-2,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Thu, Oct 20", Denver ,L105-94  ,2-3,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Fri, Oct 21", Charlotte ,W109-93  ,3-3,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Tue, Oct 25", Utah ,W95-85  ,5-3,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Fri, Oct 28", Sacramento ,W105-103  ,6-3,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
DATE,PONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Thu, Oct 13", Golden State ,L112-81  ,1-2,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
"Sun, Oct 23", Charlotte ,W98-97  ,4-3,,,,A,Los Angeles Lakers 2005-06 Preseason NBA Schedule
