DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 9", Golden State ,L111-110  ,0-1,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Thu, Oct 11", Golden State ,L119-106  ,0-3,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Thu, Oct 18", Seattle ,W126-106  ,1-4,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Sat, Oct 20", Charlotte ,W113-93  ,2-4,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Sun, Oct 21", LA ,L112-96  ,2-5,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Tue, Oct 23", Utah ,L102-81  ,2-6,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Fri, Oct 26", Sacramento ,W101-97  ,3-6,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
DATE,PONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Tue, Oct 9", Golden State ,L111-110  ,0-2,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
"Fri, Oct 12", Golden State ,L119-106  ,0-4,,,,A,Los Angeles Lakers 2007-08 Preseason NBA Schedule
