DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 28", Minnesota ,L112-111  ,0-1,Bryant  24,Randle  11,Hibbert  4,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Oct 30",Sacramento ,L132-114  ,0-2,Clarkson  22,Kelly  6,Williams  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Nov 1", Dallas ,L103-93  ,0-3,Randle  22,Randle  15,Randle  4,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Nov 3", Denver ,L120-109  ,0-4,Clarkson  30,Black  8,Russell  6,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Nov 6",Brooklyn ,W104-98  ,1-4,Bryant  18,Randle  7,Bryant  3,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Nov 8",New York ,L99-95  ,1-5,Hibbert  18,Randle  11,Williams  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Nov 10",Miami ,L101-88  ,1-6,Young  17,Randle  7,Randle  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Wed, Nov 11",Orlando ,L101-99  ,1-7,Hibbert  15,Randle  8,Huertas  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Nov 13",Dallas ,L90-82  ,1-8,Clarkson  21,Bass  10,Russell  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Nov 15", Detroit ,W97-85  ,2-8,Bryant  17,Bryant  8,Bryant  9,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Mon, Nov 16",Phoenix ,L120-101  ,2-9,Clarkson  20,Hibbert  7,Hibbert  3,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Nov 20", Toronto ,L102-91  ,2-10,Randle  18,Randle  12,Bryant  5,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Nov 22", Portland ,L107-93  ,2-11,Clarkson  19,Randle  13,Russell  6,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Nov 24",Golden State ,L111-77  ,2-12,Randle  10,Randle  6,World Peace  3,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sat, Nov 28",Portland ,L108-96  ,2-13,Bryant  21,Randle  6,Russell  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Nov 29", Indiana ,L107-103  ,2-14,Clarkson  22,Randle  12,Clarkson  6,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Dec 1",Philadelphia ,L103-91  ,2-15,Bryant  20,Randle  11,Russell  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Wed, Dec 2",Washington ,W108-104  ,3-15,Bryant  31,Randle  19,Williams  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Dec 4",Atlanta ,L100-87  ,3-16,Williams  18,Russell  10,Bryant  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Dec 6",Detroit ,L111-91  ,3-17,Williams  21,Randle  11,Huertas  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Mon, Dec 7",Toronto ,L102-93  ,3-18,Bryant  21,Randle  11,Bryant  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Wed, Dec 9",Minnesota ,L123-122 OT ,3-19,Russell  23,Randle  12,Williams  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Dec 11",San Antonio ,L109-87  ,3-20,Russell  24,Randle  7,Russell  6,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sat, Dec 12",Houston ,L126-97  ,3-21,Bryant  25,Randle  10,Bryant  6,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Dec 15", Milwaukee ,W113-95  ,4-21,Bryant  22,Randle  14,Russell  7,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Thu, Dec 17", Houston ,L107-87  ,4-22,Bryant  22,Randle  10,Russell  7,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sat, Dec 19",Oklahoma City ,L118-78  ,4-23,Williams  20,Russell  7,Russell  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Dec 22",Denver ,W111-107  ,5-23,Bryant  31,Randle  10,Bryant  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Wed, Dec 23", Oklahoma City ,L120-85  ,5-24,Bryant  19,Clarkson  6,Huertas  4,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Dec 25", LA ,L94-84  ,5-25,Russell  16,Randle  8,Bryant  3,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Dec 27",Memphis ,L112-96  ,5-26,Bryant  19,Randle  13,Bryant  3,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Mon, Dec 28",Charlotte ,L108-98  ,5-27,Bryant  20,Hibbert  8,Williams  7,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Wed, Dec 30",Boston ,W112-104  ,6-27,Clarkson  24,Randle  12,Randle  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Jan 1", Philadelphia ,W93-84  ,7-27,Williams  24,Nance Jr.  14,Williams  5,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Jan 3", Phoenix ,W97-77  ,8-27,Williams  30,Nance Jr.  14,Clarkson  7,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Jan 5", Golden State ,L109-88  ,8-28,Clarkson  23,Randle  9,Huertas  5,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Thu, Jan 7",Sacramento ,L118-115  ,8-29,Bryant  28,Randle  10,Russell  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Jan 8", Oklahoma City ,L117-113  ,8-30,Williams  44,Randle  8,Bryant  6,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Jan 10", Utah ,L86-74  ,8-31,Williams  18,Nance Jr.  11,Williams  6,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Jan 12", New Orleans ,W95-91  ,9-31,Williams  19,Randle  11,Williams  8,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Thu, Jan 14",Golden State ,L116-98  ,9-32,Clarkson  22,Randle  9,Williams  3,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sat, Jan 16",Utah ,L109-82  ,9-33,Williams  20,Brown  7,Russell  4,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Jan 17", Houston ,L112-95  ,9-34,Williams  20,Randle  11,Bryant  9,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Wed, Jan 20", Sacramento ,L112-93  ,9-35,Bass  18,Randle  12,Russell  5,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Jan 22", San Antonio ,L108-95  ,9-36,Russell  18,Randle  14,Bryant  6,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sat, Jan 23",Portland ,L121-103  ,9-37,Russell  21,Randle  9,Williams  3,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Jan 26", Dallas ,L92-90  ,9-38,Clarkson  18,Randle  11,Clarkson  7,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Thu, Jan 28", Chicago ,L114-91  ,9-39,Clarkson  16,Randle  8,Clarkson  4,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Fri, Jan 29",LA ,L105-93  ,9-40,Randle  23,Randle  14,Russell  5,H,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Sun, Jan 31", Charlotte ,L101-82  ,9-41,Bryant  23,Randle  11,Bryant  3,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
"Tue, Feb 2", Minnesota ,W119-115  ,10-41,Bryant  38,Randle  12,Bryant  5,A,Los Angeles Lakers 2015-16 Regular Season NBA Schedule
