DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Aug 18", Portland ,L100-93  ,Davis  28,James  17,James  16,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Thu, Aug 20", Portland ,W111-88  ,Davis  31,Davis  11,James  7,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sat, Aug 22",Portland ,W116-108  ,James  38,James  12,James  8,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Mon, Aug 24",Portland ,W135-115  ,James  30,Howard  8,James  10,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sat, Aug 29", Portland ,W131-122  ,Davis  43,James  10,James  10,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Fri, Sep 4", Houston ,L112-97  ,Davis  25,Davis  14,James  7,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sun, Sep 6", Houston ,W117-109  ,Davis  34,James  11,James  9,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Tue, Sep 8",Houston ,W112-102  ,James  36,Davis  15,Rondo  9,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Thu, Sep 10",Houston ,W110-100  ,Davis  29,James  15,James  9,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sat, Sep 12", Houston ,W119-96  ,James  29,James  11,James  7,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Fri, Sep 18", Denver ,W126-114  ,Davis  37,Davis  10,James  12,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sun, Sep 20", Denver ,W105-103  ,Davis  31,James  11,Rondo  9,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Tue, Sep 22",Denver ,L114-106  ,James  30,James  10,James  11,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Thu, Sep 24",Denver ,W114-108  ,Davis  34,Howard  11,James  8,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sat, Sep 26", Denver ,W117-107  ,James  38,James  16,James  10,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Wed, Sep 30", Miami ,W116-98  ,Davis  34,James  13,James  9,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Fri, Oct 2", Miami ,W124-114  ,James  33,Davis  14,Rondo  10,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sun, Oct 4",Miami ,L115-104  ,James  25,James  10,James  8,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Tue, Oct 6",Miami ,W102-96  ,James  28,James  12,James  8,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Fri, Oct 9", Miami ,L111-108  ,James  40,James  13,James  7,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule
"Sun, Oct 11",Miami ,W106-93  ,James  28,Davis  15,James  10,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule
