DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 16", Minnesota ,L130-117  ,Morant  32,Clarke  12,Morant  8,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Tue, Apr 19", Minnesota ,W124-96  ,Morant  23,Morant  9,Morant  10,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Thu, Apr 21",Minnesota ,W104-95  ,Bane  26,Morant  10,Morant  10,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Sat, Apr 23",Minnesota ,L119-118  ,Bane  34,Morant  8,Morant  15,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Tue, Apr 26", Minnesota ,W111-109  ,Morant  30,Clarke  15,Morant  9,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Fri, Apr 29",Minnesota ,W114-106  ,Bane  23,Jackson Jr.  14,Morant  11,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Sun, May 1", Golden State ,L117-116  ,Morant  34,Jackson Jr.  10,Morant  10,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Tue, May 3", Golden State ,W106-101  ,Morant  47,Morant  8,Morant  8,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Sat, May 7",Golden State ,L142-112  ,Morant  34,Bane  4,Morant  7,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Mon, May 9",Golden State ,L101-98  ,Jackson Jr.  21,Adams  15,Brooks  8,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Wed, May 11", Golden State ,W134-95  ,Jackson Jr.  21,Adams  13,Jones  9,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule
"Fri, May 13",Golden State ,L110-96  ,Brooks  30,Adams  10,Jones  8,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule
