DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 19", New York ,W115-112 OT ,1-0,Morant  34,Adams  14,Morant  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Oct 21",Houston ,W129-122  ,2-0,Morant  49,Aldama  9,Morant  8,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Oct 22",Dallas ,L137-96  ,2-1,Morant  20,Aldama  6,Jones  5,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Oct 24", Brooklyn ,W134-124  ,3-1,Morant  38,Adams  13,Morant  7,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Thu, Oct 27",Sacramento ,W125-110  ,4-1,Bane  31,Adams  11,Morant  6,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Oct 29",Utah ,L124-123  ,4-2,Bane  32,Adams  10,Jones  10,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Oct 31",Utah ,L121-105  ,4-3,Morant  37,Adams  9,Morant  4,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Nov 2",Portland ,W111-106  ,5-3,Bane  29,Adams  11,Morant  7,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Nov 4", Charlotte ,W130-99  ,6-3,Brooks  23,Adams  19,Morant  11,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Nov 6", Washington ,W103-97  ,7-3,Bane  28,Aldama  10,Morant  6,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Nov 7", Boston ,L109-106  ,7-4,Morant  30,Morant  8,Morant  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Nov 9",San Antonio ,W124-122 OT ,8-4,Bane  32,Adams  19,Bane  6,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Nov 11", Minnesota ,W114-103  ,9-4,Morant  28,Morant  10,Morant  8,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Nov 13",Washington ,L102-92  ,9-5,Brooks  19,Adams  10,Adams  6,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Nov 15",New Orleans ,L113-102  ,9-6,Morant  36,Clarke  13,Morant  4,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Nov 18", Oklahoma City ,W121-110  ,10-6,Jackson Jr.  25,Jackson Jr.  12,Morant  11,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Nov 20",Brooklyn ,L127-115  ,10-7,Brooks  31,Adams  10,Konchar  7,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Nov 22", Sacramento ,L113-109  ,10-8,Morant  34,Adams  16,Morant  6,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Nov 25", New Orleans ,W132-111  ,11-8,Brooks  25,Adams  11,Morant  11,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Nov 27",New York ,W127-123  ,12-8,Morant  27,Morant  10,Morant  14,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Nov 30",Minnesota ,L109-101  ,12-9,Morant  24,Adams  12,Morant  6,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Dec 2", Philadelphia ,W117-109  ,13-9,Morant  28,Adams  16,Adams  6,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Dec 4",Detroit ,W122-112  ,14-9,Morant  33,Clarke  14,Morant  10,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Dec 5", Miami ,W101-93  ,15-9,Jones  28,Aldama  10,Jones  10,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Dec 7", Oklahoma City ,W123-102  ,16-9,Morant  26,Morant  13,Morant  11,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Dec 9", Detroit ,W114-103  ,17-9,Jackson Jr.  20,Adams  8,Morant  12,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Dec 12", Atlanta ,W128-103  ,18-9,Jones  22,Jackson Jr.  7,Jones  11,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Thu, Dec 15", Milwaukee ,W142-101  ,19-9,Morant  25,Morant  10,Morant  10,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Dec 17",Oklahoma City ,L115-109  ,19-10,Brooks  32,Jackson Jr.  8,Konchar  3,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Dec 20",Denver ,L105-91  ,19-11,Morant  35,Adams  10,Morant  10,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Fri, Dec 23",Phoenix ,W125-100  ,20-11,Jackson Jr.  24,Adams  11,Morant  11,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Dec 25",Golden State ,L123-109  ,20-12,Morant  36,Adams  14,Morant  8,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Tue, Dec 27", Phoenix ,L125-108  ,20-13,Morant  34,Adams  9,Morant  6,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Thu, Dec 29",Toronto ,W119-106  ,21-13,Brooks  25,Adams  17,Morant  17,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sat, Dec 31", New Orleans ,W116-101  ,22-13,Morant  32,Adams  21,Morant  8,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Jan 1", Sacramento ,W118-108  ,23-13,Morant  35,Adams  23,Jones  8,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Jan 4",Charlotte ,W131-107  ,24-13,Morant  23,Adams  15,Morant  8,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Thu, Jan 5",Orlando ,W123-115  ,25-13,Morant  32,Jackson Jr.  10,Jones  8,H,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Sun, Jan 8", Utah ,W123-118  ,26-13,Bane  24,Tillman  9,Bane  9,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Mon, Jan 9", San Antonio ,W121-113  ,27-13,Jones  24,Adams  15,Jones  6,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
"Wed, Jan 11", San Antonio ,W135-129  ,28-13,Morant  38,Adams  18,Adams  5,A,Memphis Grizzlies 2022-23 Regular Season NBA Schedule
