DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 24", New Jersey ,W116-98  ,Wade  32,O'Neal  11,Wade  8,A,Miami Heat 2004-05 Postseason NBA Schedule
"Tue, Apr 26", New Jersey ,W104-87  ,Mourning  21,O'Neal  10,Wade  10,A,Miami Heat 2004-05 Postseason NBA Schedule
"Thu, Apr 28",New Jersey ,W108-105 2OT ,O'Neal  25,Haslem  19,Wade  8,H,Miami Heat 2004-05 Postseason NBA Schedule
"Sun, May 1",New Jersey ,W110-97  ,Wade  34,Haslem  11,Wade  9,H,Miami Heat 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2004-05 Postseason NBA Schedule
"Sun, May 8", Washington ,W105-86  ,Wade  20,Jones  8,Wade  7,A,Miami Heat 2004-05 Postseason NBA Schedule
"Tue, May 10", Washington ,W108-102  ,Wade  31,Haslem  13,Wade  15,A,Miami Heat 2004-05 Postseason NBA Schedule
"Thu, May 12",Washington ,W102-95  ,Wade  31,Mourning  13,Wade  6,H,Miami Heat 2004-05 Postseason NBA Schedule
"Sat, May 14",Washington ,W99-95  ,Wade  42,Haslem  13,Jones  6,H,Miami Heat 2004-05 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2004-05 Postseason NBA Schedule
"Mon, May 23", Detroit ,L90-81  ,Jones  22,Jones  8,Jones  5,A,Miami Heat 2004-05 Postseason NBA Schedule
"Wed, May 25", Detroit ,W92-86  ,Wade  40,O'Neal  10,Wade  6,A,Miami Heat 2004-05 Postseason NBA Schedule
"Sun, May 29",Detroit ,W113-104  ,Wade  36,Wade  7,O'Neal  5,H,Miami Heat 2004-05 Postseason NBA Schedule
"Tue, May 31",Detroit ,L106-96  ,Wade  28,Jones  10,Wade  6,H,Miami Heat 2004-05 Postseason NBA Schedule
"Thu, Jun 2", Detroit ,W88-76  ,O'Neal  20,Haslem  13,Jones  6,A,Miami Heat 2004-05 Postseason NBA Schedule
"Sat, Jun 4",Detroit ,L91-66  ,O'Neal  24,O'Neal  13,Jones  6,H,Miami Heat 2004-05 Postseason NBA Schedule
"Mon, Jun 6", Detroit ,L88-82  ,O'Neal  27,Haslem  10,Wade  4,A,Miami Heat 2004-05 Postseason NBA Schedule
