DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 29",Minnesota ,L95-89  ,0-1,Redd  16,Skinner  10,Strickland  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Oct 31",Indiana ,W93-79  ,1-1,Redd  21,Ford  11,Ford  7,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Nov 1", Chicago ,W98-68  ,2-1,Smith  19,Redd  11,Jones  8,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Nov 4", Los Angeles ,L113-107  ,2-2,Redd  36,Thomas  11,Ford  7,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Wed, Nov 5",New York ,W106-90  ,3-2,Thomas  22,Kukoc  8,Kukoc  5,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Nov 7",Detroit ,L105-99  ,3-3,Redd  28,Gadzuric  9,Ford  5,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Nov 8", New York ,W90-87  ,4-3,Thomas  23,Smith  15,Ford  6,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Wed, Nov 12", Seattle ,L104-99  ,4-4,Kukoc  20,Thomas  13,Kukoc  5,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Nov 15", Utah ,W100-95  ,5-4,Redd  25,Smith  8,Ford  6,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Nov 18", Atlanta ,L101-93  ,5-5,Thomas  17,Smith  9,Ford  7,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Wed, Nov 19",Denver ,L94-86  ,5-6,Thomas  25,Smith  11,Jones  8,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Nov 21",Utah ,L99-90  ,5-7,Redd  28,Redd  8,Jones  5,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sun, Nov 23",Toronto ,W82-62  ,6-7,Kukoc  15,Smith  10,Ford  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Nov 25", Philadelphia ,W95-91  ,7-7,Redd  26,Smith  9,Ford  9,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Nov 28",Boston ,L106-96  ,7-8,Redd  20,Gadzuric  8,Mason  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Nov 29", Boston ,W100-94  ,8-8,Redd  23,Smith  11,Redd  6,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Mon, Dec 1",Chicago ,L97-87  ,8-9,Redd  26,Mason  11,Jones  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Dec 2",Atlanta ,W106-94  ,9-9,Redd  25,Gadzuric  6,Jones  10,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Dec 5",New Jersey ,L93-86  ,9-10,Redd  24,Smith  10,Strickland  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Dec 6", Washington ,L114-109 OT ,9-11,Redd  28,Redd  9,Ford  12,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Mon, Dec 8",New Orleans ,L91-85  ,9-12,Mason  17,Smith  15,Ford  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Wed, Dec 10", Golden State ,W94-89 OT ,10-12,Redd  25,Smith  14,Mason  4,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Dec 12", Chicago ,W109-95  ,11-12,Redd  30,Mason  11,Jones  9,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sun, Dec 14",Seattle ,L108-102  ,11-13,Redd  27,Mason  10,Ford  9,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Dec 16",Portland ,W106-99  ,12-13,Thomas  23,Smith  9,Jones  12,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Wed, Dec 17",LA ,L93-83  ,12-14,Gadzuric  16,Smith  12,Jones  9,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Dec 20", New Jersey ,W92-87  ,13-14,Thomas  21,Smith  10,Ford  9,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Dec 23", Detroit ,W83-78  ,14-14,Smith  18,Smith  17,Ford  9,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Dec 26", Indiana ,W101-96  ,15-14,Redd  26,Kukoc  5,Kukoc  7,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sun, Dec 28",San Antonio ,L89-74  ,15-15,Redd  22,Smith  8,Ford  6,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
