DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 14", Detroit ,W121-86  ,Antetokounmpo  24,Antetokounmpo  17,Brown  7,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Wed, Apr 17", Detroit ,W120-99  ,Bledsoe  27,Antetokounmpo  12,Middleton  8,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Sat, Apr 20",Detroit ,W119-103  ,Middleton  20,Antetokounmpo  10,Bledsoe  5,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Mon, Apr 22",Detroit ,W127-104  ,Antetokounmpo  41,Brown  13,Brown  6,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Sun, Apr 28", Boston ,L112-90  ,Antetokounmpo  22,Middleton  10,Middleton  6,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Tue, Apr 30", Boston ,W123-102  ,Antetokounmpo  29,Connaughton  11,Bledsoe  5,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Fri, May 3",Boston ,W123-116  ,Antetokounmpo  32,Antetokounmpo  13,Antetokounmpo  8,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Mon, May 6",Boston ,W113-101  ,Antetokounmpo  39,Antetokounmpo  16,Middleton  7,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Wed, May 8", Boston ,W116-91  ,Antetokounmpo  20,Mirotic  11,Antetokounmpo  8,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Wed, May 15", Toronto ,W108-100  ,Lopez  29,Antetokounmpo  14,Antetokounmpo  6,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Fri, May 17", Toronto ,W125-103  ,Antetokounmpo  30,Antetokounmpo  17,Bledsoe  7,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Sun, May 19",Toronto ,L118-112 2OT ,Hill  24,Antetokounmpo  23,Antetokounmpo  7,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Tue, May 21",Toronto ,L120-102  ,Middleton  30,Antetokounmpo  10,Middleton  7,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Thu, May 23", Toronto ,L105-99  ,Antetokounmpo  24,Brogdon  11,Middleton  10,A,Milwaukee Bucks 2018-19 Postseason NBA Schedule
"Sat, May 25",Toronto ,L100-94  ,Antetokounmpo  21,Antetokounmpo  11,Bledsoe  7,H,Milwaukee Bucks 2018-19 Postseason NBA Schedule
