DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 18", Denver ,W106-92  ,Cassell  40,Garnett  20,Garnett  4,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Wed, Apr 21", Denver ,W95-81  ,Sprewell  31,Garnett  22,Garnett  10,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Sat, Apr 24",Denver ,L107-86  ,Sprewell  25,Garnett  11,Garnett  8,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Tue, Apr 27",Denver ,W84-82  ,Garnett  27,Garnett  14,Garnett  5,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Fri, Apr 30", Denver ,W102-91  ,Garnett  28,Garnett  7,Garnett  8,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Tue, May 4", Sacramento ,L104-98  ,Cassell  40,Garnett  18,Garnett  7,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Sat, May 8", Sacramento ,W94-89  ,Garnett  28,Garnett  11,Cassell  7,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Mon, May 10",Sacramento ,W114-113 OT ,Garnett  30,Garnett  15,Sprewell  6,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Wed, May 12",Sacramento ,L87-81  ,Garnett  19,Garnett  21,Garnett  6,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Fri, May 14", Sacramento ,W86-74  ,Sprewell  34,Madsen  13,Cassell  7,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Sun, May 16",Sacramento ,L104-87  ,Sprewell  27,Garnett  10,Garnett  5,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Wed, May 19", Sacramento ,W83-80  ,Garnett  32,Garnett  21,Cassell  7,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Fri, May 21", Los Angeles ,L97-88  ,Sprewell  23,Olowokandi  11,Cassell  8,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Sun, May 23", Los Angeles ,W89-71  ,Garnett  24,Garnett  11,Sprewell  8,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Tue, May 25",Los Angeles ,L100-89  ,Garnett  22,Garnett  11,Garnett  7,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Thu, May 27",Los Angeles ,L92-85  ,Garnett  28,Garnett  13,Garnett  9,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Sat, May 29", Los Angeles ,W98-96  ,Garnett  30,Garnett  19,Sprewell  5,A,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
"Mon, May 31",Los Angeles ,L96-90  ,Sprewell  27,Garnett  17,Sprewell  5,H,Minnesota Timberwolves 2003-04 Postseason NBA Schedule
