DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Dec 26", Oklahoma City ,L104-100  ,0-1,Beasley  24,Love  12,Rubio  6,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Tue, Dec 27",Milwaukee ,L98-95  ,0-2,Love  31,Love  20,Barea  4,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Fri, Dec 30", Miami ,L103-101  ,0-3,Love  25,Love  12,Rubio  12,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sun, Jan 1", Dallas ,W99-82  ,1-3,Love  25,Love  17,Rubio  7,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Mon, Jan 2", San Antonio ,W106-96  ,2-3,Love  24,Love  15,Ridnour  9,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Wed, Jan 4", Memphis ,L90-86  ,2-4,Love  27,Love  14,Rubio  10,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Fri, Jan 6", Cleveland ,L98-87  ,2-5,Love  29,Love  14,Ridnour  6,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sun, Jan 8",Washington ,W93-72  ,3-5,Love  20,Love  16,Rubio  14,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Mon, Jan 9",Toronto ,L97-87  ,3-6,Barea  16,Love  14,Rubio  6,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Tue, Jan 10", Chicago ,L111-100  ,3-7,Ridnour  22,Love  13,Rubio  12,A,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Fri, Jan 13",New Orleans ,W87-80  ,4-7,Love  34,Love  15,Rubio  9,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
"Sat, Jan 14",Atlanta ,L93-91  ,4-8,Love  30,Love  13,Rubio  12,H,Minnesota Timberwolves 2011-12 Regular Season NBA Schedule
