DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 14",Portland ,W97-95  ,Davis  35,Davis  14,Rondo  17,H,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Tue, Apr 17",Portland ,W111-102  ,Holiday  33,Davis  12,Holiday  9,H,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Thu, Apr 19", Portland ,W119-102  ,Mirotic  30,Davis  11,Rondo  11,A,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Sat, Apr 21", Portland ,W131-123  ,Davis  47,Mirotic  11,Rondo  16,A,New Orleans Pelicans 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Sat, Apr 28",Golden State ,L123-101  ,Davis  21,Davis  10,Rondo  11,H,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Tue, May 1",Golden State ,L121-116  ,Davis  25,Davis  15,Rondo  12,H,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Fri, May 4", Golden State ,W119-100  ,Davis  33,Davis  18,Rondo  21,A,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Sun, May 6", Golden State ,L118-92  ,Davis  26,Davis  12,Rondo  6,A,New Orleans Pelicans 2017-18 Postseason NBA Schedule
"Tue, May 8",Golden State ,L113-104  ,Davis  34,Davis  19,Holiday  11,H,New Orleans Pelicans 2017-18 Postseason NBA Schedule
