DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Dec 23",Toronto ,W113-99  ,1-0,Ingram  24,Williamson  10,Ingram  11,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Dec 25",Miami ,L111-98  ,1-1,Williamson  32,Williamson  14,Ball  6,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Dec 27", San Antonio ,W98-95  ,2-1,Ingram  28,Ingram  11,Ingram  6,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, Dec 29",Phoenix ,L111-86  ,2-2,Williamson  20,Adams  8,Ingram  6,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Thu, Dec 31",Oklahoma City ,W113-80  ,3-2,Ingram  20,Hart  11,Ball  9,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sat, Jan 2", Toronto ,W120-116  ,4-2,Ingram  31,Adams  10,Bledsoe  10,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Mon, Jan 4", Indiana ,L118-116 OT ,4-3,Ingram  31,Bledsoe  11,Ingram  8,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Jan 6", Oklahoma City ,L111-110  ,4-4,Williamson  29,Ingram  11,Adams  10,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Jan 8", Charlotte ,L118-110  ,4-5,Williamson  26,Williamson  8,Ingram  8,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Jan 13",LA ,L111-106  ,4-6,Alexander-Walker  37,Hayes  10,Adams  5,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Jan 15",Los Angeles ,L112-95  ,4-7,Williamson  21,Williamson  12,Ingram  5,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Jan 17",Sacramento ,W128-123  ,5-7,Williamson  31,Adams  15,Alexander-Walker  5,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, Jan 19",Utah ,L118-102  ,5-8,Williamson  32,Adams  9,Ingram  4,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Thu, Jan 21",Utah ,L129-118  ,5-9,Williamson  27,Adams  16,Ball  5,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sat, Jan 23",Minnesota ,L120-110  ,5-10,Ingram  30,Williamson  11,Ball  7,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Jan 27", Washington ,W124-106  ,6-10,Ingram  32,Adams  18,Ingram  8,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Jan 29", Milwaukee ,W131-126  ,7-10,Ingram  28,Adams  20,Ball  8,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sat, Jan 30", Houston ,L126-112  ,7-11,Williamson  26,Ball  8,Bledsoe  5,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Mon, Feb 1", Sacramento ,L118-109  ,7-12,Ingram  20,Hart  13,Ball  5,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Feb 3", Phoenix ,W123-101  ,8-12,Williamson  28,Adams  13,Williamson  6,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Feb 5",Indiana ,W114-113  ,9-12,Ingram  30,Adams  12,Ingram  7,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sat, Feb 6", Memphis ,W118-109  ,10-12,Williamson  29,Ingram  12,Ball  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, Feb 9", Houston ,W130-101  ,11-12,Ingram  22,Hart  17,Williamson  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Feb 10",Chicago ,L129-116  ,11-13,Williamson  29,Hart  6,Ball  7,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Feb 12",Dallas ,L143-130  ,11-14,Williamson  36,Hernangomez  9,Ball  7,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Feb 14",Detroit ,L123-112  ,11-15,Williamson  26,Adams  12,Ingram  7,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, Feb 16",Memphis ,W144-113  ,12-15,Williamson  31,Hart  9,Ingram  7,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Feb 17", Portland ,L126-124  ,12-16,Williamson  36,Hernangomez  17,Ingram  6,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Feb 19", Phoenix ,L132-114  ,12-17,Ingram  25,Hernangomez  13,Ball  12,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Feb 21", Boston ,W120-115 OT ,13-17,Ingram  33,Hernangomez  13,Williamson  4,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
