DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Nov 2",Boston ,L114-100 OT ,0-1,Marbury  22,Curry  8,Marbury  7,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Nov 4", Washington ,L86-75  ,0-2,Marbury  19,Davis  14,Marbury  3,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Nov 6", Golden State ,L83-81  ,0-3,Marbury  15,Lee  11,Marbury  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Nov 9",Portland ,L95-83  ,0-4,Crawford  15,Curry  9,Marbury  4,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Nov 11",Golden State ,L86-84  ,0-5,Marbury  22,Curry  11,Crawford  5,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Nov 13",Sacramento ,W105-95  ,1-5,Frye  19,Curry  8,Marbury  7,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Nov 14",Utah ,W73-62  ,2-5,Crawford  20,Curry  9,Marbury  5,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Nov 16",Los Angeles ,L97-92  ,2-6,Frye  21,Lee  11,Marbury  10,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Nov 18",Denver ,L95-86  ,2-7,Frye  22,Lee  11,Marbury  9,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Nov 20", Portland ,W103-92  ,3-7,Marbury  27,Rose  7,Marbury  8,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Nov 23",Charlotte ,L108-95  ,3-8,Marbury  21,Frye  6,Marbury  8,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Sat, Nov 26", Philadelphia ,W105-102 OT ,4-8,Marbury  33,Frye  11,Marbury  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Nov 28",Miami ,L107-94  ,4-9,Marbury  19,Richardson  6,Marbury  6,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Nov 30", Chicago ,W109-101  ,5-9,Crawford  28,Frye  8,Marbury  8,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Dec 2",Detroit ,L106-98  ,5-10,Crawford  22,Butler  6,Marbury  11,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Dec 4", Boston ,L102-99  ,5-11,Marbury  35,Richardson  13,Marbury  9,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Tue, Dec 6",Seattle ,W104-101  ,6-11,Crawford  31,Frye  7,Marbury  8,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Dec 7",LA ,L84-79  ,6-12,Curry  24,Curry  11,Rose  3,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Dec 9",Phoenix ,L85-81  ,6-13,Marbury  28,Frye  9,Crawford  4,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Dec 12", Milwaukee ,L112-92  ,6-14,Frye  30,Frye  7,Marbury  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Dec 14", Orlando ,L105-90  ,6-15,Curry  23,Frye  9,Crawford  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Dec 16",Atlanta ,L122-111  ,6-16,Crawford  23,Woods  8,Marbury  4,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Sat, Dec 17", Indiana ,L102-96  ,6-17,Marbury  25,Frye  12,Marbury  5,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Dec 21", San Antonio ,L109-96  ,6-18,Crawford  16,Crawford  6,Marbury  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Dec 23", Utah ,W98-90  ,7-18,Crawford  28,Rose  5,Marbury  7,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Dec 26", New Jersey ,L109-101  ,7-19,Robinson  21,Frye  8,Crawford  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Dec 28",Orlando ,L105-95  ,7-20,Curry  29,Curry  9,Crawford  3,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Dec 30",Milwaukee ,L113-108  ,7-21,Marbury  23,Curry  12,Marbury  12,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Mon, Jan 2", Phoenix ,W140-133 3OT ,8-21,Marbury  32,Lee  15,Marbury  10,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Jan 6", Washington ,W113-92  ,9-21,Frye  30,Lee  8,Marbury  11,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Sun, Jan 8", Seattle ,W120-116  ,10-21,Taylor  23,Ariza  7,Marbury  15,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Tue, Jan 10",Cleveland ,W92-84  ,11-21,Crawford  26,Crawford  10,Marbury  5,H,New York Knicks 2005-06 Regular Season NBA Schedule
"Wed, Jan 11", Dallas ,W117-115 OT ,12-21,Marbury  28,Davis  9,Marbury  6,A,New York Knicks 2005-06 Regular Season NBA Schedule
"Fri, Jan 13", Atlanta ,W105-94  ,13-21,Crawford  23,Lee  10,Marbury  9,A,New York Knicks 2005-06 Regular Season NBA Schedule
