DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 20", Boston ,W85-78  ,Anthony  36,Martin  9,Felton  6,A,New York Knicks 2012-13 Postseason NBA Schedule
"Tue, Apr 23", Boston ,W87-71  ,Anthony  34,Martin  11,Prigioni  5,A,New York Knicks 2012-13 Postseason NBA Schedule
"Fri, Apr 26",Boston ,W90-76  ,Anthony  26,Chandler  8,Felton  10,H,New York Knicks 2012-13 Postseason NBA Schedule
"Sun, Apr 28",Boston ,L97-90 OT ,Anthony  36,Shumpert  12,Felton  3,H,New York Knicks 2012-13 Postseason NBA Schedule
"Wed, May 1", Boston ,L92-86  ,Anthony  22,Chandler  11,Felton  4,A,New York Knicks 2012-13 Postseason NBA Schedule
"Fri, May 3",Boston ,W88-80  ,Anthony  21,Chandler  12,Felton  7,H,New York Knicks 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,New York Knicks 2012-13 Postseason NBA Schedule
"Sun, May 5", Indiana ,L102-95  ,Anthony  27,Anthony  11,Prigioni  6,A,New York Knicks 2012-13 Postseason NBA Schedule
"Tue, May 7", Indiana ,W105-79  ,Anthony  32,Anthony  9,Prigioni  4,A,New York Knicks 2012-13 Postseason NBA Schedule
"Sat, May 11",Indiana ,L82-71  ,Anthony  21,Shumpert  10,Prigioni  4,H,New York Knicks 2012-13 Postseason NBA Schedule
"Tue, May 14",Indiana ,L93-82  ,Anthony  24,Chandler  10,Felton  6,H,New York Knicks 2012-13 Postseason NBA Schedule
"Thu, May 16", Indiana ,W85-75  ,Anthony  28,Chandler  8,Felton  4,A,New York Knicks 2012-13 Postseason NBA Schedule
"Sat, May 18",Indiana ,L106-99  ,Anthony  39,Smith  10,Prigioni  6,H,New York Knicks 2012-13 Postseason NBA Schedule
