DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 21", Houston ,W120-91  ,Durant  24,Westbrook  8,Westbrook  10,A,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Wed, Apr 24", Houston ,W105-102  ,Westbrook  29,Ibaka  11,Durant  9,A,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Sat, Apr 27",Houston ,W104-101  ,Durant  41,Durant  14,Durant  4,H,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Mon, Apr 29",Houston ,L105-103  ,Durant  38,Durant  8,Durant  6,H,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Wed, May 1", Houston ,L107-100  ,Durant  36,Ibaka  9,Durant  7,A,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Fri, May 3",Houston ,W103-94  ,Durant  27,Collison  9,Jackson  8,H,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Sun, May 5", Memphis ,W93-91  ,Durant  35,Durant  15,Durant  6,A,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Tue, May 7", Memphis ,L99-93  ,Durant  36,Durant  11,Durant  9,A,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Sat, May 11",Memphis ,L87-81  ,Durant  25,Durant  11,Durant  5,H,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Mon, May 13",Memphis ,L103-97 OT ,Durant  27,Ibaka  14,Jackson  8,H,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
"Wed, May 15", Memphis ,L88-84  ,Durant  21,Jackson  9,Durant  6,A,Oklahoma City Thunder 2012-13 Postseason NBA Schedule
