DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 30",Utah ,W101-98  ,1-0,Durant  42,Ibaka  10,Jackson  3,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Nov 1",Minnesota ,L100-81  ,1-1,Lamb  16,Ibaka  9,Jackson  4,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Nov 3", Phoenix ,W103-96  ,2-1,Durant  33,Durant  10,Westbrook  7,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Nov 6", Dallas ,W107-93  ,3-1,Durant  23,Ibaka  13,Durant  10,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Nov 8",Detroit ,W119-110  ,4-1,Durant  37,Adams  10,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Nov 10", Washington ,W106-105 OT ,5-1,Durant  33,Durant  13,Durant  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Nov 13",LA ,L111-103  ,5-2,Durant  33,Durant  6,Durant  10,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Nov 14",Golden State ,L116-115  ,5-3,Westbrook  31,Ibaka  13,Durant  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sat, Nov 16",Milwaukee ,W92-79  ,6-3,Westbrook  26,Ibaka  20,Westbrook  4,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Mon, Nov 18", Denver ,W115-113  ,7-3,Durant  38,Westbrook  12,Westbrook  7,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Nov 21", LA ,W105-91  ,8-3,Durant  28,Adams  7,Durant  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Nov 24", Utah ,W95-73  ,9-3,Durant  19,Ibaka  11,Jackson  7,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Nov 27", San Antonio ,W94-88  ,10-3,Durant  24,Durant  13,Westbrook  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Nov 29", Golden State ,W113-112 OT ,11-3,Westbrook  34,Durant  13,Westbrook  7,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Dec 1", Minnesota ,W113-103  ,12-3,Durant  32,Durant  10,Durant  12,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Dec 3",Sacramento ,W97-95  ,13-3,Durant  27,Durant  11,Westbrook  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Dec 4",Portland ,L111-104  ,13-4,Durant  33,Ibaka  10,Westbrook  5,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Dec 6",New Orleans ,W109-95  ,14-4,Durant  29,Ibaka  13,Durant  4,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Dec 8", Indiana ,W118-94  ,15-4,Durant  36,Durant  10,Westbrook  13,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Dec 10",Atlanta ,W101-92  ,16-4,Durant  30,Durant  10,Westbrook  11,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Dec 11",Memphis ,W116-100  ,17-4,Westbrook  27,Ibaka  7,Westbrook  9,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Dec 13", Los Angeles ,W122-97  ,18-4,Durant  31,Ibaka  10,Westbrook  12,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Dec 15", Orlando ,W101-98  ,19-4,Durant  28,Westbrook  12,Westbrook  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Dec 17",Denver ,W105-93  ,20-4,Durant  30,Westbrook  13,Westbrook  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Dec 19", Chicago ,W107-95  ,21-4,Durant  32,Durant  9,Westbrook  10,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sat, Dec 21",San Antonio ,W113-100  ,22-4,Westbrook  31,Ibaka  14,Westbrook  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Dec 22", Toronto ,L104-98  ,22-5,Westbrook  27,Westbrook  9,Westbrook  5,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Dec 25",New York ,W123-94  ,23-5,Durant  29,Westbrook  13,Westbrook  10,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Dec 27",Charlotte ,W89-85  ,24-5,Durant  34,Durant  12,Durant  6,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Dec 29", Houston ,W117-86  ,25-5,Durant  33,Durant  13,Jackson  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Dec 31", Portland ,L98-94  ,25-6,Durant  37,Durant  14,Jackson  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Jan 2", Brooklyn ,L95-93  ,25-7,Durant  24,Ibaka  11,Jackson  5,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sat, Jan 4",Minnesota ,W115-111  ,26-7,Durant  48,Adams  9,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Jan 5", Boston ,W119-96  ,27-7,Jackson  27,Ibaka  11,Durant  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Jan 7",Utah ,L112-101  ,27-8,Durant  48,Durant  7,Jackson  6,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Jan 9",Denver ,L101-88  ,27-9,Durant  30,Ibaka  10,Jackson  5,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sat, Jan 11", Milwaukee ,W101-85  ,28-9,Durant  33,Ibaka  17,Durant  7,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Jan 14",Memphis ,L90-87  ,28-10,Durant  37,Ibaka  9,Durant  4,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Jan 16",Houston ,W104-92  ,29-10,Durant  36,Ibaka  15,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Jan 17", Golden State ,W127-121  ,30-10,Durant  54,Perkins  12,Durant  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Jan 19", Sacramento ,W108-93  ,31-10,Durant  30,Collison  7,Durant  9,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Jan 21", Portland ,W105-97  ,32-10,Durant  46,Perkins  8,Jackson  5,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Jan 22",San Antonio ,W111-105  ,33-10,Durant  36,Ibaka  9,Jackson  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Jan 24",Boston ,W101-83  ,34-10,Ibaka  21,Perkins  9,Jackson  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sat, Jan 25",Philadelphia ,W103-91  ,35-10,Durant  32,Durant  14,Durant  10,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Mon, Jan 27", Atlanta ,W111-109  ,36-10,Durant  41,Perkins  7,Durant  5,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Jan 29",Miami ,W112-95  ,37-10,Durant  33,Ibaka  8,Durant  5,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Jan 31",Brooklyn ,W120-95  ,38-10,Durant  26,Ibaka  9,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sat, Feb 1",Washington ,L96-81  ,38-11,Durant  26,Ibaka  8,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Mon, Feb 3", Memphis ,W86-77  ,39-11,Durant  31,Ibaka  12,Durant  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Feb 5", Minnesota ,W106-97  ,40-11,Durant  26,Perkins  12,Jackson  9,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Feb 7",Orlando ,L103-102  ,40-12,Durant  29,Ibaka  6,Durant  12,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Feb 9", New York ,W112-100  ,41-12,Durant  41,Perkins  11,Durant  9,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Feb 11",Portland ,W98-95  ,42-12,Durant  36,Ibaka  11,Jackson  5,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Feb 13",Los Angeles ,W107-103  ,43-12,Durant  43,Durant  12,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Feb 20", Miami ,L103-81  ,43-13,Durant  28,Durant  8,Jackson  5,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Feb 23", LA ,L125-117  ,43-14,Durant  42,Ibaka  6,Durant  10,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Feb 26", Cleveland ,L114-104  ,43-15,Durant  28,Ibaka  13,Durant  9,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Feb 28", Memphis ,W113-107  ,44-15,Durant  37,Ibaka  9,Westbrook  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Mar 2", Charlotte ,W116-99  ,45-15,Durant  28,Ibaka  10,Durant  5,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Mar 4", Philadelphia ,W125-92  ,46-15,Durant  42,Westbrook  10,Westbrook  14,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Mar 6",Phoenix ,L128-122  ,46-16,Westbrook  36,Westbrook  9,Westbrook  9,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Mar 9",Los Angeles ,L114-110  ,46-17,Durant  27,Ibaka  15,Durant  12,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Mar 11", Houston ,W106-98  ,47-17,Durant  42,Ibaka  16,Westbrook  7,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Mar 13", Los Angeles ,W131-102  ,48-17,Durant  29,Ibaka  13,Westbrook  9,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Mar 16", Dallas ,L109-86  ,48-18,Durant  30,Collison  7,Durant  4,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Mon, Mar 17",Chicago ,W97-85  ,49-18,Durant  35,Durant  12,Westbrook  9,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Mar 20",Cleveland ,W102-95  ,50-18,Durant  35,Durant  11,Durant  6,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Mar 21",Toronto ,W119-118 2OT ,51-18,Durant  51,Durant  12,Durant  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Mon, Mar 24", Denver ,W117-96  ,52-18,Durant  27,Ibaka  7,Jackson  11,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Mar 25",Dallas ,L128-119 OT ,52-19,Durant  43,Westbrook  7,Westbrook  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Mar 28", Sacramento ,W94-81  ,53-19,Durant  29,Ibaka  8,Durant  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Mar 30", Utah ,W116-96  ,54-19,Durant  31,Adams  8,Durant  9,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Thu, Apr 3", San Antonio ,W106-94  ,55-19,Durant  28,Ibaka  12,Westbrook  6,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Apr 4",Houston ,L111-107  ,55-20,Durant  28,Durant  12,Jackson  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Apr 6",Phoenix ,L122-115  ,55-21,Durant  38,Durant  11,Westbrook  8,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Tue, Apr 8",Sacramento ,W107-92  ,56-21,Butler  23,Collison  7,Jackson  5,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Apr 9",LA ,W107-101  ,57-21,Westbrook  30,Westbrook  11,Westbrook  6,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Fri, Apr 11", New Orleans ,W116-94  ,58-21,Durant  27,Ibaka  10,Jackson  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Sun, Apr 13",Indiana ,L102-97  ,58-22,Durant  38,Westbrook  9,Westbrook  7,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Mon, Apr 14",New Orleans ,L101-89  ,58-23,Durant  25,Ibaka  16,Durant  6,H,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
"Wed, Apr 16", Detroit ,W112-111  ,59-23,Durant  42,Ibaka  15,Westbrook  8,A,Oklahoma City Thunder 2013-14 Regular Season NBA Schedule
