DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 18", Charlotte ,W98-89  ,Nelson  32,Howard  7,Nelson  6,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Wed, Apr 21", Charlotte ,W92-77  ,Carter  19,Howard  9,Nelson  5,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Sat, Apr 24",Charlotte ,W90-86  ,Nelson  32,Howard  8,Nelson  3,H,Orlando Magic 2009-10 Postseason NBA Schedule
"Mon, Apr 26",Charlotte ,W99-90  ,Carter  21,Howard  13,Carter  4,H,Orlando Magic 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Orlando Magic 2009-10 Postseason NBA Schedule
"Tue, May 4", Atlanta ,W114-71  ,Howard  21,Howard  12,Nelson  5,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Thu, May 6", Atlanta ,W112-98  ,Howard  29,Howard  17,Lewis  6,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Sat, May 8",Atlanta ,W105-75  ,Lewis  22,Howard  16,Nelson  4,H,Orlando Magic 2009-10 Postseason NBA Schedule
"Mon, May 10",Atlanta ,W98-84  ,Carter  22,Howard  8,Nelson  9,H,Orlando Magic 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Orlando Magic 2009-10 Postseason NBA Schedule
"Sun, May 16", Boston ,L92-88  ,Carter  23,Howard  12,Carter  2,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Tue, May 18", Boston ,L95-92  ,Howard  30,Howard  8,Redick  4,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Sat, May 22",Boston ,L94-71  ,Carter  15,Howard  7,Carter  2,H,Orlando Magic 2009-10 Postseason NBA Schedule
"Mon, May 24",Boston ,W96-92 OT ,Howard  32,Howard  16,Nelson  9,H,Orlando Magic 2009-10 Postseason NBA Schedule
"Wed, May 26", Boston ,W113-92  ,Nelson  24,Howard  10,Nelson  5,A,Orlando Magic 2009-10 Postseason NBA Schedule
"Fri, May 28",Boston ,L96-84  ,Howard  28,Howard  12,Nelson  4,H,Orlando Magic 2009-10 Postseason NBA Schedule
