DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 26", Miami ,L108-96  ,0-1,Fournier  20,Vucevic  14,Payton  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Oct 28",Detroit ,L108-82  ,0-2,Gordon  17,Vucevic  14,Payton  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Oct 29",Cleveland ,L105-99  ,0-3,Fournier  22,Green  10,Fournier  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Nov 1",Philadelphia ,W103-101  ,1-3,Vucevic  24,Vucevic  14,Payton  10,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Nov 3", Sacramento ,W102-94  ,2-3,Fournier  29,Gordon  10,Payton  11,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Nov 5", Washington ,W88-86  ,3-3,Green  18,Biyombo  12,Augustin  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Nov 7",Chicago ,L112-80  ,3-4,Gordon  15,Ibaka  7,Payton  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Nov 9", Minnesota ,L123-107  ,3-5,Vucevic  24,Vucevic  14,Payton  7,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Nov 11", Utah ,L87-74  ,3-6,Fournier  21,Ibaka  8,Fournier  4,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Nov 13",Oklahoma City ,W119-117  ,4-6,Ibaka  31,Ibaka  9,Payton  9,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Nov 14",Indiana ,L88-69  ,4-7,Fournier  14,Ibaka  13,Fournier  2,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Nov 16", New Orleans ,W89-82  ,5-7,Ibaka  16,Vucevic  14,Payton  4,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Nov 19", Dallas ,W95-87  ,6-7,Augustin  18,Vucevic  12,Augustin  6,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Nov 21",Milwaukee ,L93-89  ,6-8,Ibaka  21,Vucevic  11,Payton  7,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Nov 23", Phoenix ,L92-87  ,6-9,Fournier  25,Vucevic  14,Payton  7,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Nov 25", Washington ,L94-91  ,6-10,Ibaka  19,Vucevic  17,Payton  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Nov 27", Milwaukee ,L104-96  ,6-11,Fournier  27,Vucevic  16,Fournier  7,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Nov 29",San Antonio ,W95-83  ,7-11,Ibaka  18,Vucevic  10,Fournier  7,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Dec 1",Memphis ,L95-94  ,7-12,Fournier  28,Biyombo  14,Payton  5,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Dec 2",Philadelphia ,W105-88  ,8-12,Gordon  20,Biyombo  13,Vucevic  5,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Dec 4",Detroit ,W98-92  ,9-12,Ibaka  21,Vucevic  8,Ibaka  4,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Dec 6",Washington ,W124-116  ,10-12,Payton  25,Biyombo  13,Payton  9,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Dec 7", Boston ,L117-87  ,10-13,Augustin  15,Vucevic  10,Fournier  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Dec 9",Charlotte ,L109-88  ,10-14,Fournier  14,Ibaka  6,Payton  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Dec 10", Denver ,L121-113  ,10-15,Fournier  24,Biyombo  6,Augustin  7,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Dec 13",Atlanta ,W131-120  ,11-15,Ibaka  29,Biyombo  9,Payton  14,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Dec 14", LA ,L113-108  ,11-16,Gordon  33,Biyombo  12,Payton  9,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Dec 16", Brooklyn ,W118-111  ,12-16,Vucevic  21,Ibaka  11,Payton  5,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Dec 18", Toronto ,L109-79  ,12-17,Fournier  15,Biyombo  12,Fournier  3,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Tue, Dec 20",Miami ,W136-130 2OT ,13-17,Vucevic  26,Vucevic  12,Payton  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Thu, Dec 22",New York ,L106-95  ,13-18,Ibaka  23,Ibaka  10,Vucevic  6,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Dec 23", Los Angeles ,W109-90  ,14-18,Payton  25,Ibaka  11,Payton  9,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Dec 26", Memphis ,W112-102  ,15-18,Gordon  30,Biyombo  10,Payton  7,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Dec 28", Charlotte ,L120-101  ,15-19,Vucevic  21,Ibaka  7,Vucevic  4,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Jan 1",Indiana ,L117-104  ,15-20,Vucevic  18,Vucevic  11,Payton  7,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Jan 2",New York ,W115-103  ,16-20,Meeks  23,Vucevic  13,Payton  14,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Jan 4", Atlanta ,L111-92  ,16-21,Gordon  15,Ibaka  11,Payton  6,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Jan 6", Houston ,L100-93  ,16-22,Augustin  19,Ibaka  12,Gordon  7,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Jan 8",Los Angeles ,L111-95  ,16-23,Ibaka  19,Biyombo  11,Augustin  8,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Jan 11",LA ,L105-96  ,16-24,Gordon  28,Vucevic  12,Vucevic  4,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Jan 13",Portland ,W115-109  ,17-24,Vucevic  30,Vucevic  10,Payton  7,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sat, Jan 14",Utah ,L114-107  ,17-25,Payton  28,Payton  9,Payton  9,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Mon, Jan 16",Denver ,L125-112  ,17-26,Payton  20,Biyombo  9,Payton  12,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Wed, Jan 18",New Orleans ,L118-98  ,17-27,Gordon  14,Gordon  8,Vucevic  5,H,Orlando Magic 2016-17 Regular Season NBA Schedule
"Fri, Jan 20", Milwaukee ,W112-96  ,18-27,Payton  20,Biyombo  13,Augustin  8,A,Orlando Magic 2016-17 Regular Season NBA Schedule
"Sun, Jan 22", Golden State ,L118-98  ,18-28,Payton  23,Biyombo  13,Payton  10,A,Orlando Magic 2016-17 Regular Season NBA Schedule
