DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 29",Orlando ,L95-88  ,0-1,Van Horn  19,Van Horn  10,McKie  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Oct 30", Milwaukee ,W95-93  ,1-1,Iverson  28,MacCulloch  14,Iverson  7,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Nov 1", New York ,W98-86  ,2-1,Iverson  35,McKie  13,McKie  7,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Nov 6", LA ,W101-99 OT ,3-1,Iverson  34,Van Horn  11,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Nov 8", Cleveland ,W108-84  ,4-1,Van Horn  28,Buckner  8,Snow  11,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Nov 9",Milwaukee ,L110-105 OT ,4-2,Iverson  31,Van Horn  13,Snow  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Nov 13",Boston ,L91-81  ,4-3,Iverson  25,MacCulloch  8,Snow  13,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Thu, Nov 14", San Antonio ,W99-94  ,5-3,Iverson  37,Skinner  11,Snow  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Nov 16",New York ,W93-92  ,6-3,Iverson  17,Van Horn  12,Iverson  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Nov 17", Washington ,W100-84  ,7-3,Iverson  28,Skinner  8,Snow  12,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Tue, Nov 19",New Orleans ,L99-98  ,7-4,Iverson  38,Skinner  7,Snow  9,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Nov 20",Memphis ,W95-88  ,8-4,Iverson  33,MacCulloch  13,Iverson  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Nov 22", Toronto ,W90-80  ,9-4,Iverson  31,Van Horn  10,Snow  7,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Nov 24",Toronto ,W94-84  ,10-4,Iverson  37,Van Horn  9,Snow  8,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Nov 25", New Orleans ,W108-87  ,11-4,Iverson  29,Van Horn  8,Snow  10,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Nov 27", Miami ,W83-74  ,12-4,Iverson  36,Snow  7,Iverson  5,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Nov 29",Cleveland ,W106-99  ,13-4,Iverson  29,MacCulloch  12,Snow  9,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Nov 30",Washington ,W95-94  ,14-4,Iverson  35,MacCulloch  9,Snow  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Dec 4", Boston ,W99-93  ,15-4,Iverson  27,Van Horn  13,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Dec 6",San Antonio ,L98-93  ,15-5,Iverson  21,Van Horn  6,Iverson  2,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Dec 7",Houston ,L97-72  ,15-6,Van Horn  15,Van Horn  7,Snow  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Dec 11", Seattle ,L92-88  ,15-7,Iverson  26,Snow  8,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Dec 13", Phoenix ,L99-91  ,15-8,Iverson  22,Van Horn  10,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Dec 15",Indiana ,L107-97  ,15-9,Iverson  32,Van Horn  9,Snow  8,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Dec 16", Denver ,W93-71  ,16-9,Iverson  23,MacCulloch  7,McKie  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Dec 18", Minnesota ,W99-94  ,17-9,Iverson  41,Van Horn  10,Snow  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Dec 20", Los Angeles ,W107-104 OT ,18-9,Iverson  32,Van Horn  11,Snow  12,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Dec 21",Atlanta ,L79-77  ,18-10,Van Horn  18,Thomas  13,Snow  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Dec 28",Utah ,L98-69  ,18-11,Iverson  13,Thomas  7,McKie  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Dec 30",Golden State ,L104-98  ,18-12,Iverson  23,Skinner  11,McKie  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Tue, Dec 31",LA ,W83-75  ,19-12,Iverson  27,Van Horn  13,Iverson  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Thu, Jan 2",Phoenix ,L96-78  ,19-13,Thomas  20,Thomas  6,Thomas  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Jan 4",Dallas ,L102-83  ,19-14,Iverson  25,Thomas  8,Snow  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Jan 6", Indiana ,L105-104 OT ,19-15,Iverson  32,Coleman  14,Snow  7,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Jan 8", Detroit ,L103-94 OT ,19-16,Iverson  25,Van Horn  11,Iverson  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Jan 10", New York ,L114-112  ,19-17,Iverson  30,Thomas  12,Iverson  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Jan 12", Orlando ,L107-105  ,19-18,Iverson  32,Van Horn  7,McKie  11,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Jan 15", New Jersey ,W108-107  ,20-18,Iverson  34,Iverson  7,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Jan 17", Milwaukee ,L99-95  ,20-19,Van Horn  22,Skinner  13,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Jan 18",Washington ,W88-80  ,21-19,Iverson  26,Van Horn  11,McKie  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Jan 20", Boston ,L100-99  ,21-20,Iverson  29,McKie  9,Snow  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Jan 22",Detroit ,W92-83  ,22-20,Iverson  21,McKie  8,Iverson  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Thu, Jan 23", Dallas ,L107-94  ,22-21,Van Horn  25,MacCulloch  10,Salmons  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Jan 25",Miami ,W97-91  ,23-21,Van Horn  26,Iverson  7,Iverson  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Tue, Jan 28",Milwaukee ,W108-81  ,24-21,Van Horn  24,Skinner  14,Snow  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Jan 29", Atlanta ,L97-83  ,24-22,Iverson  37,Snow  8,Snow  15,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Jan 31", Miami ,W104-99  ,25-22,Van Horn  33,McKie  8,Snow  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Feb 2",Minnesota ,L99-91  ,25-23,Iverson  21,Coleman  11,Iverson  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Feb 5", New Jersey ,L111-85  ,25-24,Iverson  28,Van Horn  11,Snow  5,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Feb 12", Chicago ,W119-111 OT ,26-24,Iverson  36,Van Horn  13,Snow  11,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Feb 14", Orlando ,W99-98  ,27-24,Coleman  22,Coleman  9,Snow  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Feb 16",New Jersey ,W90-83  ,28-24,Iverson  32,Coleman  16,Snow  8,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Feb 19",Chicago ,W110-82  ,29-24,Iverson  28,Thomas  14,Iverson  9,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Feb 21",Cleveland ,W119-99  ,30-24,Iverson  41,Coleman  12,Snow  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Feb 23", Cleveland ,W116-103  ,31-24,Iverson  23,Coleman  13,Iverson  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Feb 26", Memphis ,W111-107  ,32-24,Iverson  34,Snow  10,Snow  11,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Feb 28", Utah ,W104-83  ,33-24,Iverson  24,Van Horn  12,Snow  11,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Mar 2",Denver ,W100-94  ,34-24,Snow  25,Thomas  12,McKie  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Mar 3",Sacramento ,L107-99  ,34-25,Iverson  35,Coleman  10,Snow  10,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Thu, Mar 6",Portland ,W88-60  ,35-25,Iverson  36,Coleman  8,McKie  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Mar 7",Seattle ,W108-99  ,36-25,Iverson  40,Coleman  14,Snow  10,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Mar 9",Los Angeles ,L106-92  ,36-26,Iverson  30,Van Horn  8,McKie  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Mar 12", Indiana ,W96-93  ,37-26,Iverson  31,Coleman  14,Snow  8,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Mar 14", Portland ,W90-79  ,38-26,Iverson  22,Coleman  10,Iverson  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Mar 16",New Jersey ,W92-87  ,39-26,Iverson  31,Snow  5,Iverson  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Tue, Mar 18",Miami ,W103-83  ,40-26,Iverson  32,Van Horn  7,Iverson  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Thu, Mar 20",Detroit ,L113-85  ,40-27,Coleman  19,Coleman  11,Iverson  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Mar 21", Atlanta ,L114-105  ,40-28,Iverson  25,Coleman  10,Iverson  12,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Mar 23",Toronto ,W112-95  ,41-28,Iverson  32,Coleman  8,Snow  11,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Mar 26",Indiana ,W91-85  ,42-28,Iverson  22,Coleman  11,Iverson  10,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Mar 28", Golden State ,L102-98  ,42-29,Iverson  28,Thomas  18,Iverson  10,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sat, Mar 29",Atlanta ,W110-89  ,43-29,Iverson  38,Thomas  11,Iverson  9,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Mon, Mar 31",Orlando ,W118-113 OT ,44-29,Iverson  42,Thomas  20,Snow  7,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Apr 2", Chicago ,W108-101  ,45-29,Iverson  24,Thomas  14,Iverson  12,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Apr 4", Houston ,L88-79  ,45-30,Thomas  17,Thomas  10,Snow  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Apr 6", Sacramento ,L97-81  ,45-31,Iverson  24,Coleman  10,Iverson  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Tue, Apr 8", Detroit ,W91-74  ,46-31,Iverson  37,Thomas  15,Snow  9,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Thu, Apr 10",Boston ,W99-78  ,47-31,Iverson  25,Thomas  20,Snow  5,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Fri, Apr 11",New York ,L108-103  ,47-32,Iverson  20,Hill  11,Iverson  11,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Sun, Apr 13", New Orleans ,L94-89  ,47-33,Iverson  30,Thomas  13,Iverson  10,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Tue, Apr 15",Chicago ,L115-106  ,47-34,Iverson  42,Iverson  8,Iverson  6,H,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
"Wed, Apr 16", Washington ,W107-87  ,48-34,Iverson  35,Buckner  7,Iverson  6,A,Philadelphia 76ers 2002-03 Regular Season NBA Schedule
