DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, May 23", Washington ,W125-118  ,Harris  37,Simmons  15,Simmons  15,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Wed, May 26", Washington ,W120-95  ,Simmons  22,Howard  11,Simmons  8,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Sat, May 29",Washington ,W132-103  ,Embiid  36,Harris  13,Simmons  9,H,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Mon, May 31",Washington ,L122-114  ,Harris  21,Harris  13,Harris  5,H,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Wed, Jun 2", Washington ,W129-112  ,Curry  30,Simmons  10,Simmons  11,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Sun, Jun 6", Atlanta ,L128-124  ,Embiid  39,Harris  10,Simmons  10,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Tue, Jun 8", Atlanta ,W118-102  ,Embiid  40,Embiid  13,Green  8,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Fri, Jun 11",Atlanta ,W127-111  ,Embiid  27,Embiid  9,Embiid  8,H,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Mon, Jun 14",Atlanta ,L103-100  ,Harris  20,Embiid  21,Simmons  9,H,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Wed, Jun 16", Atlanta ,L109-106  ,Embiid  37,Embiid  13,Simmons  9,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Fri, Jun 18",Atlanta ,W104-99  ,Harris  24,Embiid  13,Simmons  5,H,Philadelphia 76ers 2020-21 Postseason NBA Schedule
"Sun, Jun 20", Atlanta ,L103-96  ,Embiid  31,Harris  14,Simmons  13,A,Philadelphia 76ers 2020-21 Postseason NBA Schedule
