DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 23", Los Angeles ,W107-102  ,Thomas  22,Thomas  15,Nash  10,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Wed, Apr 26", Los Angeles ,L99-93  ,Nash  29,Marion  9,Nash  9,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Fri, Apr 28",Los Angeles ,L99-92  ,Marion  20,Marion  7,Nash  11,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Sun, Apr 30",Los Angeles ,L99-98 OT ,Nash  22,Marion  12,Nash  11,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Tue, May 2", Los Angeles ,W114-97  ,Diaw  25,Diaw  10,Diaw  9,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Thu, May 4",Los Angeles ,W126-118 OT ,Nash  32,Marion  12,Nash  13,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Sat, May 6", Los Angeles ,W121-90  ,Barbosa  26,Marion  10,Diaw  9,A,Phoenix Suns 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Mon, May 8", LA ,W130-123  ,Nash  31,Marion  15,Nash  12,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Wed, May 10", LA ,L122-97  ,Bell  20,Marion  6,Nash  8,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Fri, May 12",LA ,W94-91  ,Marion  32,Marion  19,Nash  10,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Sun, May 14",LA ,L114-107  ,Bell  33,Marion  10,Nash  11,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Tue, May 16", LA ,W125-118 2OT ,Marion  36,Marion  20,Nash  13,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Thu, May 18",LA ,L118-106  ,Marion  34,Marion  9,Nash  11,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Mon, May 22", LA ,W127-107  ,Marion  30,Marion  9,Nash  11,A,Phoenix Suns 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Wed, May 24",Dallas ,W121-118  ,Diaw  34,Marion  13,Nash  16,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Fri, May 26",Dallas ,L105-98  ,Diaw  25,Marion  19,Nash  11,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Sun, May 28", Dallas ,L95-88  ,Nash  21,Marion  18,Nash  7,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Tue, May 30", Dallas ,W106-86  ,Barbosa  24,Diaw  9,Nash  7,A,Phoenix Suns 2005-06 Postseason NBA Schedule
"Thu, Jun 1",Dallas ,L117-101  ,Thomas  26,Marion  10,Nash  11,H,Phoenix Suns 2005-06 Postseason NBA Schedule
"Sat, Jun 3", Dallas ,L102-93  ,Diaw  30,Diaw  11,Nash  9,A,Phoenix Suns 2005-06 Postseason NBA Schedule
