DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Nov 1", Dallas ,L111-108 2OT ,0-1,Nash  30,Marion  16,Nash  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Nov 3",Los Angeles ,W122-112  ,1-1,Marion  30,Marion  11,Nash  17,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Nov 5",Utah ,W97-88  ,2-1,Marion  20,Marion  14,Nash  11,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Nov 6", Sacramento ,L118-117  ,2-2,Barbosa  23,Marion  14,Nash  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Thu, Nov 10", Detroit ,L111-104  ,2-3,Barbosa  21,Marion  10,Nash  8,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Nov 12", Golden State ,W101-86  ,3-3,Marion  22,Marion  15,Nash  10,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Nov 16", Memphis ,L115-103  ,3-4,Marion  23,Marion  11,Nash  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Nov 18", Utah ,W102-94  ,4-4,House  31,Marion  7,Nash  10,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Nov 19",San Antonio ,L97-91  ,4-5,Marion  22,Marion  15,Nash  10,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Nov 22", Toronto ,W90-82  ,5-5,Marion  28,Marion  18,Nash  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Nov 23",Houston ,W100-88  ,6-5,Marion  19,Marion  12,Nash  14,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Nov 25", New Jersey ,W92-81  ,7-5,Nash  27,Thomas  19,Diaw  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Nov 30", Indiana ,W109-91  ,8-5,Nash  31,Marion  12,Nash  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Dec 2", Denver ,W102-97  ,9-5,Marion  22,Thomas  16,Nash  10,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sun, Dec 4", Atlanta ,W112-94  ,10-5,Marion  20,Thomas  11,Diaw  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Dec 6", Portland ,W130-85  ,11-5,Jones  22,Thomas  13,Diaw  13,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Dec 7",Golden State ,W118-110  ,12-5,Nash  28,Thomas  17,Nash  14,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Dec 9", New York ,W85-81  ,13-5,Nash  19,Thomas  12,Nash  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Dec 10",LA ,L101-91  ,13-6,Marion  20,Thomas  17,Nash  11,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Dec 12"," NO/Oklahoma City
 ",L91-87  ,13-7,Bell  24,Marion  10,Nash  16,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Dec 14",Dallas ,L102-96  ,13-8,Marion  23,Marion  19,Nash  5,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Dec 16","NO/Oklahoma City
 ",W101-88  ,14-8,House  26,Marion  15,Nash  9,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Dec 17",Memphis ,L91-87  ,14-9,House  21,Marion  17,Diaw  8,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Tue, Dec 20", Seattle ,W111-83  ,15-9,Marion  29,Diaw  8,Diaw  8,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Dec 23", Washington ,L112-111  ,15-10,Nash  27,Marion  9,Nash  9,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Dec 26",Minnesota ,W103-89  ,16-10,Diaw  31,Marion  16,Nash  12,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Dec 28",Washington ,W104-99  ,17-10,Marion  28,Diaw  8,Nash  16,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Fri, Dec 30",Charlotte ,W110-100  ,18-10,House  26,Marion  13,Nash  13,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Sat, Dec 31",Chicago ,W107-98 OT ,19-10,Marion  28,Marion  16,Nash  10,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Mon, Jan 2",New York ,L140-133 3OT ,19-11,Marion  39,Marion  14,Nash  22,H,Phoenix Suns 2005-06 Regular Season NBA Schedule
"Wed, Jan 4", Philadelphia ,W105-85  ,20-11,Nash  24,Marion  13,Diaw  10,A,Phoenix Suns 2005-06 Regular Season NBA Schedule
