DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Nov 3",Golden State ,W78-75  ,1-0,Van Exel  20,Randolph  10,Anderson  5,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Fri, Nov 5", LA ,W94-81  ,2-0,Abdur-Rahim  22,Randolph  14,Stoudamire  11,A,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Sun, Nov 7",Toronto ,L101-97  ,2-1,Randolph  33,Randolph  15,Randolph  4,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Tue, Nov 9",New Jersey ,L64-60  ,2-2,Randolph  16,Abdur-Rahim  12,Stoudamire  7,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Wed, Nov 10",Boston ,L90-88  ,2-3,Randolph  22,Abdur-Rahim  9,Stoudamire  8,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Sat, Nov 13", Toronto ,W105-102  ,3-3,Randolph  27,Randolph  16,Stoudamire  9,A,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Wed, Nov 17", Memphis ,L101-82  ,3-4,Randolph  16,Randolph  7,Telfair  6,A,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Fri, Nov 19", Milwaukee ,W110-98  ,4-4,Stoudamire  33,Randolph  18,Stoudamire  6,A,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Sun, Nov 21", Houston ,L97-93  ,4-5,Randolph  28,Randolph  14,Stoudamire  7,A,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Tue, Nov 23",Miami ,W99-87  ,5-5,Randolph  24,Abdur-Rahim  8,Anderson  4,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Wed, Nov 24",Orlando ,W89-83  ,6-5,Randolph  27,Abdur-Rahim  14,Stoudamire  8,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Fri, Nov 26",Dallas ,L92-83  ,6-6,Anderson  23,Randolph  9,Stoudamire  10,H,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
"Sun, Nov 28", New Jersey ,W83-71  ,7-6,Randolph  23,Randolph  15,Stoudamire  6,A,Portland Trail Blazers 2004-05 Regular Season NBA Schedule
