DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17",LA ,L115-95  ,Lillard  21,Aminu  12,Lillard  8,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Wed, Apr 20",LA ,L102-81  ,Plumlee  17,Plumlee  10,Plumlee  7,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Sat, Apr 23", LA ,W96-88  ,Lillard  32,Plumlee  21,Plumlee  9,A,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Mon, Apr 25", LA ,W98-84  ,Aminu  30,Plumlee  14,Plumlee  10,A,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Wed, Apr 27",LA ,W108-98  ,McCollum  27,Plumlee  15,Lillard  5,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Fri, Apr 29", LA ,W106-103  ,Lillard  28,Plumlee  14,Lillard  7,A,Portland Trail Blazers 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Sun, May 1",Golden State ,L118-106  ,Lillard  30,Plumlee  12,Plumlee  6,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Tue, May 3",Golden State ,L110-99  ,Lillard  25,Plumlee  11,Lillard  6,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Sat, May 7", Golden State ,W120-108  ,Lillard  40,Aminu  10,Lillard  10,A,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Mon, May 9", Golden State ,L132-125 OT ,Lillard  36,Plumlee  15,Lillard  10,A,Portland Trail Blazers 2015-16 Postseason NBA Schedule
"Wed, May 11",Golden State ,L125-121  ,Lillard  28,Aminu  9,Lillard  7,H,Portland Trail Blazers 2015-16 Postseason NBA Schedule
